PLAYER,TEAM,AGE,Restricted Area FGM,Restricted Area FGA,Restricted Area FG PCT,In The Paint (Non-RA) FGM,In The Paint (Non-RA) FGA,In The Paint (Non-RA) FG PCT,Mid-Range FGM,Mid-Range FGA,Mid-Range FG PCT,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG PCT,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG PCT,Corner 3 FGM,Corner 3 FGA,Corner 3 FG PCT,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG PCT
AJ Price,CLE,28,0.1,0.3,28.6,0.5,1.0,54.2,0.8,2.0,42.9,0.1,0.3,20.0,0.0,0.1,0.0,0.1,0.4,25.0,0.6,2.0,28.0
Aaron Brooks,CHI,30,1.5,3.1,48.4,0.6,1.4,43.9,0.6,1.7,36.8,0.1,0.3,19.0,0.1,0.3,52.9,0.2,0.6,33.3,1.3,3.3,39.6
Aaron Gordon,ORL,19,1.3,2.2,61.8,0.3,0.7,35.3,0.1,0.5,20.8,0.1,0.3,20.0,0.2,0.4,43.8,0.3,0.7,42.9,0.1,0.4,19.0
Adreian Payne,MIN,24,1.1,2.1,51.5,0.7,1.6,44.0,1.1,3.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.3,12.5
Al Horford,ATL,29,2.9,4.0,72.9,1.0,2.6,40.1,2.7,5.6,48.4,0.0,0.1,27.3,0.1,0.2,44.4,0.1,0.3,33.3,0.0,0.1,0.0
Al Jefferson,CHA,30,3.0,4.9,61.3,2.2,5.0,45.2,2.2,5.6,39.2,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,-,0.0,0.1,25.0
Al-Farouq Aminu,DAL,24,1.3,2.1,59.1,0.2,0.5,28.9,0.1,0.5,22.2,0.1,0.5,27.3,0.2,0.5,33.3,0.3,1.0,30.0,0.2,0.8,24.6
Alan Anderson,BKN,32,1.0,1.5,67.0,0.3,0.6,46.3,0.4,1.1,37.5,0.3,0.7,40.4,0.2,0.5,45.2,0.5,1.2,41.7,0.5,1.7,31.5
Alec Burks,UTA,23,1.7,3.6,47.9,0.6,1.9,30.0,1.3,3.2,39.5,0.1,0.3,50.0,0.2,0.4,45.5,0.3,0.7,42.9,0.7,1.8,36.7
Alex Kirk,CLE,23,0.3,0.5,50.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-,-,-,0.0,0.0,-,0.0,0.0,0.0
Alex Len,PHX,22,1.9,3.0,63.8,0.2,0.8,32.7,0.4,1.3,31.9,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Alexey Shved,NYK,26,1.7,3.0,54.7,0.1,0.5,14.3,0.3,1.1,27.7,0.0,0.1,25.0,0.1,0.2,42.9,0.1,0.3,33.3,1.0,3.0,34.4
