PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
A.J. Guyton,GSW,25,2,1,1,4.3,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron McKie,PHI,30,80,47,33,29.7,83.2,16.8,69.1,26.1,15.4,23.4,15.5,20.7,43.0,59.0,41.0,100,0.0,64.3,35.7
Aaron Williams,NJN,31,81,49,32,19.8,99.8,0.2,79.6,12.4,0.0,5.6,20.4,18.0,67.2,62.3,37.7,0.0,0.0,62.3,37.7
Adam Harrington,DEN,22,19,13,6,5.8,62.2,37.8,40.0,26.7,50.0,0.0,10.0,43.3,13.3,83.3,16.7,100,0.0,90.9,9.1
Adonal Foyle,GSW,28,82,38,44,21.8,99.7,0.3,84.1,11.4,0.0,7.0,15.9,15.0,72.7,60.5,39.5,0.0,0.0,60.5,39.5
Adrian Griffin,DAL,28,74,56,18,18.5,92.9,7.1,86.2,42.5,5.5,13.2,8.3,20.9,43.7,65.0,35.0,100,0.0,66.4,33.6
Al Harrington,IND,23,82,48,34,30.1,94.9,5.1,75.0,36.7,3.9,14.5,21.1,17.7,38.3,53.2,46.8,100,0.0,54.8,45.2
Alan Henderson,ATL,30,82,35,47,18.2,99.4,0.6,77.7,18.3,0.0,10.2,22.3,13.2,59.4,59.5,40.5,0.0,0.0,59.5,40.5
Allan Houston,NYK,32,82,37,45,37.9,69.3,30.7,51.4,41.3,28.9,5.4,19.7,13.5,10.1,39.7,60.3,84.8,15.2,52.0,48.0
Allen Iverson,PHI,28,82,48,34,42.5,84.4,15.6,63.7,30.6,11.1,20.1,25.2,24.5,33.1,38.5,61.5,78.6,21.4,42.7,57.3
Alton Ford,PHX,22,11,3,8,2.7,100,0.0,85.7,57.1,0.0,0.0,14.3,0.0,28.6,66.7,33.3,0.0,0.0,66.7,33.3
Alvin Williams,TOR,28,78,24,54,33.9,83.9,16.1,67.8,44.4,14.0,15.5,18.2,16.7,23.4,36.2,63.8,45.8,54.2,37.4,62.6
Amal McCaskill,ATL,29,11,4,7,6.3,100,0.0,72.7,0.0,0.0,0.0,27.3,9.1,72.7,50.0,50.0,0.0,0.0,50.0,50.0
Amar'e Stoudemire,PHX,20,82,44,38,31.3,98.8,1.2,70.5,4.0,0.5,7.2,28.9,16.3,66.5,55.4,44.6,50.0,50.0,55.4,44.6
Andre Miller,LAC,27,80,27,53,36.4,88.4,11.6,65.1,23.3,6.3,13.1,28.6,17.0,41.7,26.8,73.2,78.3,21.7,30.0,70.0
Andrei Kirilenko,UTA,22,80,46,34,27.7,82.2,17.8,57.7,11.8,11.5,17.3,30.7,21.3,45.9,68.3,31.7,89.2,10.8,70.8,29.2
Andrew DeClercq,ORL,30,77,38,39,17.3,100,0.0,81.6,2.7,0.0,8.5,18.4,19.7,78.9,72.5,27.5,0.0,0.0,72.5,27.5
Anfernee Hardaway,PHX,31,58,34,24,30.6,87.3,12.7,74.8,42.3,12.7,10.9,12.5,17.1,32.5,54.3,45.7,92.3,7.7,58.2,41.8
Ansu Sesay,SEA,26,45,21,24,9.9,100,0.0,87.2,31.9,0.0,6.4,12.8,19.1,55.3,61.0,39.0,0.0,0.0,61.0,39.0
Antawn Jamison,GSW,27,82,38,44,39.4,85.8,14.2,68.7,25.2,10.7,14.7,20.6,12.6,43.5,66.9,33.1,98.5,1.5,69.9,30.1
Anthony Carter,MIA,28,49,11,38,18.6,96.6,3.4,83.4,43.2,0.0,20.6,16.6,22.1,40.2,50.6,49.4,0.0,0.0,50.6,49.4
Anthony Goldwire,WAS,31,15,9,6,5.8,64.0,36.0,48.0,32.0,36.0,12.0,16.0,24.0,16.0,33.3,66.7,100,0.0,55.6,44.4
Anthony Johnson,NJN,28,66,41,25,12.8,84.8,15.2,66.7,25.9,14.4,19.6,18.9,19.6,40.7,45.6,54.4,92.3,7.7,51.5,48.5
Anthony Mason,MIL,36,65,33,32,32.6,99.7,0.3,82.0,23.6,0.0,2.1,18.0,7.5,58.4,58.6,41.4,0.0,0.0,58.6,41.4
Anthony Peeler,MIN,33,82,51,31,27.4,65.2,34.8,52.4,35.6,41.4,14.9,6.2,16.5,16.8,64.8,35.2,95.4,4.6,75.4,24.6
Antoine Rigaudeau,DAL,31,11,8,3,8.1,85.7,14.3,82.4,35.3,17.6,11.8,0.0,47.1,47.1,85.7,14.3,100,0.0,87.5,12.5
Antoine Walker,BOS,26,78,42,36,41.5,62.5,37.5,52.9,7.3,35.9,9.7,11.2,21.1,45.6,35.4,64.6,87.2,12.8,51.6,48.4
Antonio Daniels,POR,28,67,39,28,13.0,68.3,31.7,52.6,13.5,21.5,27.5,25.9,33.1,39.0,43.9,56.1,77.8,22.2,51.2,48.8
Antonio Davis,TOR,34,53,19,34,35.8,100,0.0,70.7,33.3,0.0,11.2,29.3,13.0,37.4,65.5,34.5,0.0,0.0,65.5,34.5
Antonio Harvey,ATL,32,4,3,1,8.2,100,0.0,100,0.0,0.0,0.0,0.0,0.0,100,100,0.0,0.0,0.0,100,0.0
Art Long,TOR,30,26,14,12,8.1,96.0,4.0,86.7,26.7,10.0,13.3,3.3,10.0,60.0,69.2,30.8,50.0,50.0,67.9,32.1
Arvydas Sabonis,POR,38,78,48,30,15.4,98.3,1.7,71.0,18.5,1.9,1.3,27.1,13.4,52.5,74.0,26.0,100,0.0,74.4,25.6
Austin Croshere,IND,28,49,29,20,12.9,67.0,33.0,46.8,20.6,32.1,11.9,21.0,9.9,26.2,61.0,39.0,88.9,11.1,69.8,30.2
Avery Johnson,DAL,38,48,39,9,8.9,98.7,1.3,80.8,17.9,0.0,14.7,19.2,14.7,62.8,30.2,69.8,0.0,0.0,30.2,69.8
Baron Davis,NOH,24,50,28,22,37.9,64.5,35.5,54.4,16.8,34.7,17.5,10.9,21.7,37.6,35.2,64.8,69.7,30.3,45.5,54.5
Ben Wallace,DET,28,73,45,28,39.3,98.6,1.4,82.6,10.7,0.6,4.5,16.8,13.6,71.9,63.2,36.8,100,0.0,63.3,36.7
