PLAYER,TEAM,AGE,Restricted Area FGM,Restricted Area FGA,Restricted Area FG PCT,In The Paint (Non-RA) FGM,In The Paint (Non-RA) FGA,In The Paint (Non-RA) FG PCT,Mid-Range FGM,Mid-Range FGA,Mid-Range FG PCT,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG PCT,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG PCT,Corner 3 FGM,Corner 3 FGA,Corner 3 FG PCT,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG PCT
Darius Songaila,NOH,32,1.2,1.8,64.5,0.4,0.9,45.7,1.6,3.7,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.1,20.0
Darko Milicic,MIN,25,1.0,1.3,76.2,1.4,3.4,41.9,0.8,1.8,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Darnell Jackson,MIL,24,0.2,0.6,37.5,0.1,0.2,50.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.2,25.0
Darrell Arthur,MEM,22,0.8,1.8,46.4,0.5,1.2,45.9,0.6,1.6,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Darren Collison,NOH,22,2.0,3.5,55.4,0.6,1.6,39.2,1.8,3.8,47.0,0.1,0.2,33.3,0.2,0.2,71.4,0.3,0.4,75.0,0.4,1.2,36.8
David Andersen,HOU,30,0.5,0.9,52.5,0.5,1.0,43.8,1.0,2.2,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.4,1.2,35.5
David Lee,NYK,27,4.9,7.4,65.9,0.9,1.9,45.1,2.7,6.1,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.1,0.0
David West,NOH,29,3.3,5.5,60.0,1.4,2.7,52.3,2.8,6.5,43.0,0.0,0.1,50.0,0.0,0.1,0.0,0.0,0.2,0.0,0.1,0.2,26.3
DeAndre Jordan,LAC,21,1.9,3.0,64.4,0.1,0.3,42.1,0.0,0.1,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
DeJuan Blair,SAS,21,2.8,4.5,60.9,0.4,1.1,37.9,0.2,0.4,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
DeMar DeRozan,TOR,20,1.9,3.1,61.0,0.4,0.7,54.4,0.9,2.6,36.9,0.0,0.1,50.0,0.0,0.1,33.3,0.0,0.2,0.0,0.0,0.1,0.0
DeMarre Carroll,MEM,23,0.6,1.1,53.3,0.1,0.4,17.4,0.7,1.8,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.1,0.0
DeSagana Diop,CHA,28,0.6,0.7,75.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
DeShawn Stevenson,DAL,29,0.2,0.3,52.4,0.0,0.0,0.0,0.3,0.8,30.8,0.1,0.5,19.0,0.1,0.4,35.3,0.2,0.9,22.2,0.1,0.8,18.4
Delonte West,CLE,26,1.3,2.5,54.1,0.4,1.0,40.0,1.1,2.5,43.0,0.1,0.2,44.4,0.1,0.3,22.2,0.2,0.5,40.0,0.3,0.8,34.7
Derek Fisher,LAL,35,0.3,0.9,37.3,0.1,0.4,32.4,1.2,2.7,42.2,0.2,0.6,39.0,0.2,0.4,40.6,0.4,1.0,40.0,0.6,1.8,32.5
Deron Williams,UTA,26,2.6,4.4,60.5,0.6,1.6,40.3,2.0,4.5,43.4,0.1,0.2,50.0,0.0,0.1,40.0,0.1,0.3,33.3,1.2,3.2,36.4
