PLAYER,TEAM,AGE,Less Than 5 ft. FGM,Less Than 5 ft. FGA,Less Than 5 ft. FG PCT,5-9 ft. FGM,5-9 ft. FGA,5-9 ft. FG PCT,10-14 ft. FGM,10-14 ft. FGA,10-14 ft. FG PCT,15-19 ft. FGM,15-19 ft. FGA,15-19 ft. FG PCT,20-24 ft. FGM,20-24 ft. FGA,20-24 ft. FG PCT,25-29 ft. FGM,25-29 ft. FGA,25-29 ft. FG PCT
Devin Robinson,WAS,24,1.9,2.6,72.2,0.5,0.7,75.0,0.1,0.4,33.3,0.1,0.4,33.3,0.1,0.3,50.0,0.0,0.3,0.0
Devonte' Graham,CHA,24,0.6,1.2,50.0,0.0,0.2,28.6,0.1,0.3,28.6,0.2,0.5,33.3,0.3,0.8,37.1,0.5,1.7,28.2
Dewayne Dedmon,ATL,29,2.2,3.3,67.3,0.2,0.7,32.6,0.2,0.4,42.3,0.1,0.3,31.8,0.6,1.5,39.2,0.7,2.0,37.0
Deyonta Davis,ATL,22,1.6,1.9,82.4,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.3,33.3,0.0,0.1,0.0,0.0,0.0,0.0
Dillon Brooks,MEM,23,1.2,2.5,46.7,0.3,0.8,35.7,0.2,0.5,33.3,0.2,0.5,33.3,0.3,0.9,31.3,0.7,1.6,42.9
Dion Waiters,MIA,27,1.5,2.9,51.6,0.1,0.2,57.1,0.0,0.3,7.7,0.3,0.7,41.9,1.3,3.2,40.3,1.3,3.5,37.2
Dirk Nowitzki,DAL,41,0.1,0.1,66.7,0.1,0.4,27.3,0.5,0.9,52.2,0.5,1.4,37.1,0.5,1.6,32.5,0.9,2.9,32.9
Domantas Sabonis,IND,23,4.0,5.7,69.6,0.7,1.5,48.7,0.2,0.7,32.0,0.5,1.1,42.7,0.1,0.3,33.3,0.1,0.2,53.8
Donatas Motiejunas,SAS,28,0.3,0.7,50.0,0.3,0.7,50.0,0.3,0.3,100,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donovan Mitchell,UTA,22,3.3,6.1,54.7,1.0,2.9,32.6,1.1,2.3,46.7,0.6,1.3,48.5,1.0,2.6,37.7,1.5,4.2,35.8
Donte DiVincenzo,MIL,22,1.0,1.2,78.8,0.0,0.1,0.0,0.0,0.1,50.0,0.0,0.1,0.0,0.3,0.9,34.8,0.6,2.2,25.0
Donte Grantham,OKC,24,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Dorian Finney-Smith,DAL,26,1.6,2.7,59.5,0.1,0.2,31.6,0.0,0.1,30.0,0.1,0.3,38.1,0.5,1.6,33.3,0.5,1.6,29.7
Doug McDermott,IND,27,1.1,1.7,66.9,0.1,0.2,58.8,0.1,0.2,46.2,0.1,0.5,28.2,0.6,1.4,45.4,0.6,1.5,39.3
Dragan Bender,PHX,21,1.3,1.8,74.7,0.1,0.2,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.1,22.4,0.2,1.1,21.2
Draymond Green,GSW,29,1.7,2.6,65.7,0.2,0.6,33.3,0.1,0.4,36.0,0.1,0.3,33.3,0.2,0.7,33.3,0.5,1.9,27.2
Drew Eubanks,SAS,22,0.2,0.6,41.7,0.5,0.7,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duncan Robinson,MIA,25,0.5,0.5,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,33.3,0.4,1.3,33.3,0.4,1.4,27.8
Dusty Hannahs,MEM,25,1.5,2.5,60.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0
Dwayne Bacon,CHA,23,1.5,2.2,67.0,0.2,0.7,24.1,0.3,0.7,35.7,0.1,0.5,26.3,0.4,0.9,43.2,0.5,1.2,45.1
Dwight Howard,WAS,33,4.1,5.7,72.5,0.2,0.8,28.6,0.0,0.3,0.0,0.3,0.8,42.9,0.1,0.1,100,0.0,0.0,0.0
Dwight Powell,DAL,27,3.1,4.1,75.5,0.1,0.3,39.1,0.0,0.1,20.0,0.0,0.1,0.0,0.2,0.6,37.0,0.3,1.1,26.4
Dwyane Wade,MIA,37,2.4,4.0,60.7,0.6,1.5,41.1,0.8,2.2,39.4,0.6,1.7,33.6,0.7,1.9,37.7,0.6,1.9,28.8
Dzanan Musa,BKN,20,0.6,0.7,83.3,0.3,0.4,66.7,0.0,0.1,0.0,0.1,0.3,50.0,0.0,0.6,0.0,0.1,0.8,16.7
E'Twaun Moore,NOP,30,1.7,2.8,61.0,0.9,1.9,46.1,0.5,1.1,46.6,0.3,0.6,46.9,0.8,2.1,37.8,0.7,1.5,43.9
Ed Davis,BKN,30,2.2,3.5,64.3,0.1,0.2,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edmond Sumner,IND,23,0.5,1.2,40.7,0.1,0.2,33.3,0.1,0.1,50.0,0.1,0.2,50.0,0.2,0.6,27.3,0.1,0.7,18.8
Ekpe Udoh,UTA,32,0.8,1.0,76.5,0.2,0.3,60.0,0.0,0.1,50.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elfrid Payton,NOP,25,2.5,5.0,50.5,0.8,2.0,39.0,0.1,0.2,50.0,0.1,0.1,60.0,0.2,0.5,30.4,0.6,1.9,32.9
Elie Okobo,PHX,21,0.9,1.6,58.1,0.1,0.4,30.0,0.2,0.6,41.4,0.1,0.5,30.4,0.3,0.7,40.0,0.5,1.8,26.3
Emanuel Terry,MIA,22,1.3,2.3,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emmanuel Mudiay,NYK,23,2.3,4.4,51.5,0.5,1.1,42.9,0.9,1.8,50.9,0.7,1.5,48.3,0.4,1.4,29.8,0.8,2.3,35.1
Enes Kanter,POR,27,4.7,7.4,63.7,0.4,1.3,31.1,0.1,0.5,29.0,0.1,0.4,36.0,0.0,0.2,18.2,0.1,0.4,33.3
Eric Bledsoe,MIL,29,3.7,5.6,66.4,0.2,0.7,29.3,0.3,0.7,43.1,0.2,0.5,40.5,0.3,1.3,26.7,1.3,3.6,34.8
Eric Gordon,HOU,30,2.1,3.6,59.0,0.2,1.0,20.6,0.1,0.2,43.8,0.0,0.1,28.6,0.8,2.1,38.3,2.3,6.5,35.7
Eric Moreland,TOR,27,0.4,1.0,40.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,100
Ersan Ilyasova,MIL,32,1.3,2.3,59.2,0.1,0.4,14.8,0.1,0.3,41.2,0.1,0.2,31.3,0.3,1.0,35.9,0.6,1.5,36.9
Evan Fournier,ORL,26,2.1,3.6,59.4,0.5,1.0,44.0,0.5,1.2,41.7,0.5,1.1,50.6,1.0,2.5,39.1,1.2,3.7,31.0
Evan Turner,POR,30,1.3,2.2,60.8,0.3,0.9,33.8,0.6,1.3,44.6,0.4,0.9,49.2,0.1,0.6,24.4,0.0,0.3,10.5
Frank Jackson,NOP,21,1.7,2.8,62.0,0.3,0.9,34.6,0.2,0.5,41.9,0.1,0.5,26.9,0.5,1.6,28.6,0.4,1.2,34.2
Frank Kaminsky,CHA,26,1.4,2.1,65.3,0.5,0.9,51.2,0.1,0.3,25.0,0.0,0.1,0.0,0.2,0.8,25.0,0.9,2.3,38.7
Frank Mason,SAC,25,0.9,1.5,62.5,0.2,0.4,46.2,0.2,0.5,43.8,0.2,0.4,50.0,0.2,0.6,33.3,0.3,1.4,20.4
Frank Ntilikina,NYK,20,0.5,1.2,46.0,0.2,0.6,30.8,0.3,1.1,32.6,0.3,0.7,41.4,0.4,1.5,27.9,0.5,1.6,29.9
Fred VanVleet,TOR,25,1.4,2.8,48.9,0.1,0.3,33.3,0.1,0.4,33.3,0.4,0.8,51.0,0.7,2.0,37.0,1.1,2.9,36.4
Furkan Korkmaz,PHI,21,0.7,1.1,66.7,0.1,0.3,40.0,0.2,0.5,35.0,0.1,0.3,25.0,0.4,0.8,43.2,0.7,2.2,30.8
Garrett Temple,LAC,33,1.1,1.7,65.6,0.1,0.3,30.8,0.1,0.3,41.7,0.2,0.5,39.0,0.7,2.1,33.1,0.5,1.6,32.8
Gary Clark,HOU,24,0.2,0.2,80.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.1,21.8,0.6,1.6,35.4
Gary Harris,DEN,24,2.2,4.0,54.8,0.4,1.0,39.0,0.4,0.9,46.0,0.1,0.5,22.6,0.9,2.6,35.4,0.7,2.1,33.3
Gary Payton II,WAS,26,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,50.0,0.0,0.0,0.0
Gary Trent Jr.,POR,20,0.2,0.5,42.9,0.0,0.3,0.0,0.1,0.4,40.0,0.3,0.8,42.9,0.3,0.9,35.7,0.2,1.0,23.1
George Hill,MIL,33,1.3,2.2,59.8,0.1,0.2,46.2,0.3,0.6,44.1,0.3,0.6,51.5,0.4,1.0,37.7,0.5,1.7,30.0
George King,PHX,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georges Niang,UTA,26,0.4,0.7,53.5,0.3,0.4,73.7,0.1,0.2,54.5,0.0,0.0,0.0,0.5,1.3,42.3,0.2,0.6,38.2
Gerald Green,HOU,33,0.7,1.0,69.4,0.1,0.3,47.6,0.1,0.3,23.8,0.1,0.2,44.4,1.2,2.7,42.9,1.0,3.4,29.8
Giannis Antetokounmpo,MIL,24,8.1,11.2,72.6,0.4,1.4,30.7,0.3,0.8,41.8,0.4,1.0,40.0,0.2,0.6,26.8,0.6,2.4,25.7
Glenn Robinson III,DET,25,0.7,1.2,58.2,0.2,0.5,42.9,0.1,0.4,17.6,0.2,0.4,50.0,0.3,1.0,34.9,0.2,0.5,30.4
Goran Dragic,MIA,33,2.2,4.1,54.4,0.3,1.0,34.3,0.6,1.5,37.0,0.3,0.7,34.6,0.6,1.8,34.9,1.0,3.0,33.3
Gordon Hayward,BOS,29,1.5,2.5,62.1,0.4,0.8,56.4,0.5,1.0,47.1,0.4,1.0,40.8,0.7,1.9,35.5,0.6,1.7,35.5
Gorgui Dieng,MIN,29,1.0,1.5,67.3,0.2,0.4,41.9,0.3,0.7,43.1,0.5,1.1,48.8,0.5,1.2,41.3,0.0,0.1,14.3
Grayson Allen,UTA,23,0.5,1.1,47.5,0.2,0.4,46.2,0.1,0.4,30.8,0.2,0.3,60.0,0.5,1.4,37.3,0.4,1.4,26.5
Greg Monroe,PHI,29,1.8,3.3,53.5,0.3,0.7,42.3,0.1,0.3,36.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,25.0
Guerschon Yabusele,BOS,23,0.5,0.9,60.0,0.1,0.3,33.3,0.0,0.0,0.0,0.1,0.1,66.7,0.0,0.3,11.1,0.2,0.5,40.0
Hamidou Diallo,OKC,20,1.3,2.3,54.8,0.1,0.3,25.0,0.0,0.2,28.6,0.0,0.1,33.3,0.1,0.5,22.7,0.0,0.1,0.0
Harrison Barnes,SAC,27,2.1,3.7,58.0,0.6,1.8,32.6,0.3,1.1,30.6,0.3,0.9,29.6,1.0,2.5,41.2,1.2,3.2,37.6
Harry Giles III,SAC,21,1.9,3.0,62.2,0.6,1.4,43.6,0.3,0.8,40.4,0.2,0.6,33.3,0.1,0.2,25.0,0.0,0.0,0.0
Hassan Whiteside,MIA,30,4.3,6.4,67.5,0.7,1.8,37.5,0.2,0.6,27.9,0.1,0.3,40.0,0.1,0.2,33.3,0.0,0.1,14.3
Haywood Highsmith,PHI,22,0.2,0.6,33.3,0.2,0.2,100,0.2,0.2,100,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.6,33.3
Henry Ellenson,NYK,22,0.8,1.6,51.6,0.1,0.7,7.7,0.2,0.4,42.9,0.1,0.3,40.0,0.4,1.1,36.8,0.5,1.1,50.0
Ian Clark,NOP,28,0.6,1.0,54.8,0.4,0.9,40.7,0.3,0.4,57.7,0.1,0.3,42.1,0.6,1.6,34.0,0.7,2.2,30.7
Ian Mahinmi,WAS,32,1.0,1.8,54.8,0.3,0.7,43.5,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.3,20.0,0.0,0.2,16.7
Ike Anigbogu,IND,20,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iman Shumpert,HOU,29,0.6,1.0,60.0,0.0,0.1,16.7,0.1,0.3,26.3,0.3,1.0,33.9,1.0,2.5,37.8,0.7,2.3,31.7
Isaac Bonga,LAL,19,0.2,0.8,26.7,0.1,0.3,25.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.3,0.0
Isaac Humphries,ATL,21,0.6,1.6,37.5,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.6,1.4,42.9,0.0,0.8,0.0
Isaiah Briscoe,ORL,23,0.8,1.4,60.4,0.1,0.2,25.0,0.0,0.2,0.0,0.2,0.6,36.4,0.2,0.8,21.9,0.2,0.4,37.5
Isaiah Canaan,MIL,28,0.7,1.5,44.4,0.0,0.2,16.7,0.1,0.2,42.9,0.1,0.2,80.0,0.5,1.4,37.5,0.7,2.0,35.6
Isaiah Hartenstein,HOU,21,0.7,1.3,56.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,50.0,0.0,0.1,25.0
Isaiah Hicks,NYK,24,0.7,1.3,50.0,0.0,0.3,0.0,0.3,0.7,50.0,0.3,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Thomas,DEN,30,1.0,2.1,48.0,0.4,1.3,31.3,0.3,1.0,25.0,0.2,0.3,66.7,0.3,1.7,20.0,0.7,1.9,34.8
Ish Smith,DET,30,1.5,2.6,57.4,0.4,1.2,30.8,0.3,0.8,38.6,0.6,1.5,42.2,0.4,1.0,35.1,0.5,1.5,32.9
Ivan Rabb,MEM,22,1.6,2.4,66.4,0.4,0.7,62.5,0.1,0.3,40.0,0.2,0.6,29.6,0.0,0.3,15.4,0.1,0.2,33.3
Ivica Zubac,LAC,22,3.2,5.2,60.5,0.3,0.8,37.5,0.1,0.2,50.0,0.0,0.2,16.7,0.0,0.0,0.0,0.0,0.0,0.0
J.J. Barea,DAL,35,1.6,2.8,57.1,0.5,1.6,33.9,0.5,1.2,43.5,0.4,1.0,43.6,0.5,1.2,41.3,0.7,2.3,28.4
J.P. Macura,CHA,24,1.5,2.0,75.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0
JJ Redick,PHI,35,0.8,1.4,58.9,0.1,0.3,27.3,0.2,0.5,47.4,0.9,1.7,51.5,1.7,3.8,44.1,2.2,5.8,38.6
JR Smith,CLE,33,0.2,0.4,50.0,0.2,0.4,50.0,0.3,0.8,33.3,0.6,1.5,41.2,0.5,1.5,31.3,0.8,2.7,29.6
JaKarr Sampson,CHI,26,3.0,6.0,50.0,1.5,1.8,85.7,0.8,1.0,75.0,0.3,0.5,50.0,0.5,2.3,22.2,1.3,2.0,62.5
JaMychal Green,LAC,29,1.8,3.0,61.1,0.2,0.5,28.6,0.2,0.3,45.5,0.2,0.5,48.4,0.6,1.4,41.9,0.6,1.6,37.3
JaVale McGee,LAL,31,4.5,6.3,71.4,0.5,1.3,38.0,0.2,0.5,37.1,0.1,0.2,41.2,0.0,0.1,25.0,0.0,0.1,12.5
Jabari Parker,WAS,24,3.4,5.1,66.1,0.4,0.9,47.4,0.3,0.8,38.5,0.5,1.3,41.7,0.7,1.8,37.1,0.4,1.7,25.5
Jacob Evans,GSW,22,0.2,0.5,33.3,0.0,0.1,50.0,0.1,0.2,60.0,0.2,0.5,30.8,0.2,0.5,33.3,0.1,0.3,25.0
