PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
A.J. Guyton,CHI,24,45,10,35,13.4,49.6,50.4,34.4,18.0,56.6,4.5,9.0,15.6,16.4,35.7,64.3,78.3,21.7,58.0,42.0
Aaron McKie,PHI,29,48,26,22,30.6,73.9,26.1,57.6,29.3,26.1,13.1,16.4,17.4,28.3,48.5,51.5,96.1,3.9,59.5,40.5
Aaron Williams,NJN,30,82,52,30,18.9,99.5,0.5,78.0,11.5,0.0,6.4,22.0,10.0,66.6,72.7,27.3,0.0,0.0,72.7,27.3
Adonal Foyle,GSW,27,79,19,60,18.8,100,0.0,90.2,10.6,0.0,7.4,9.8,14.2,79.7,53.8,46.2,0.0,0.0,53.8,46.2
Adrian Griffin,DAL,27,58,40,18,23.9,85.0,15.0,78.6,22.7,11.6,15.2,9.9,13.0,55.9,50.3,49.7,100,0.0,54.7,45.3
Al Harrington,IND,22,44,22,22,29.8,99.4,0.6,79.5,29.5,0.5,14.9,20.0,14.1,50.0,54.1,45.9,100,0.0,54.3,45.7
Alan Henderson,ATL,29,26,14,12,16.3,99.1,0.9,81.1,7.0,2.1,17.5,16.8,18.9,74.1,67.2,32.8,100,0.0,67.8,32.2
Allan Houston,NYK,31,77,28,49,37.9,73.4,26.6,55.1,42.8,26.0,8.0,18.8,13.4,12.4,54.4,45.6,76.5,23.5,59.7,40.3
Allen Iverson,PHI,27,60,36,24,43.7,83.9,16.1,62.3,30.0,12.4,21.1,25.2,19.5,32.4,37.5,62.5,78.2,21.8,42.3,57.7
Alonzo Mourning,MIA,32,75,34,41,32.7,99.7,0.3,75.7,20.7,0.3,5.3,24.0,13.9,55.0,63.5,36.5,100,0.0,63.5,36.5
Alton Ford,PHX,21,53,27,26,8.5,100,0.0,74.4,17.1,0.0,7.9,25.6,15.2,57.3,72.1,27.9,0.0,0.0,72.1,27.9
Alvin Jones,PHI,23,23,17,6,5.4,100,0.0,61.5,15.4,0.0,19.2,38.5,26.9,46.2,50.0,50.0,0.0,0.0,50.0,50.0
Alvin Williams,TOR,27,82,42,40,35.8,80.1,19.9,70.2,41.4,19.2,19.3,10.6,19.3,28.8,49.3,50.7,74.2,25.8,53.1,46.9
Amal McCaskill,SAS,28,27,22,5,5.7,100,0.0,76.9,19.2,0.0,25.0,23.1,36.5,57.7,60.0,40.0,0.0,0.0,60.0,40.0
Andre Miller,CLE,26,81,29,52,37.3,91.7,8.3,67.7,29.8,4.9,14.7,27.3,16.9,37.9,25.2,74.8,72.7,27.3,27.4,72.6
Andrei Kirilenko,UTA,21,82,44,38,26.3,84.2,15.8,59.1,5.7,8.5,16.3,32.4,26.5,53.4,67.7,32.3,88.0,12.0,69.5,30.5
Andrew DeClercq,ORL,29,61,31,30,10.4,100,0.0,82.7,7.4,0.0,9.3,17.3,17.9,75.3,65.7,34.3,0.0,0.0,65.7,34.3
Anfernee Hardaway,PHX,30,80,35,45,30.8,91.1,8.9,76.3,29.2,7.2,12.0,16.5,14.4,47.1,45.1,54.9,91.3,8.7,47.8,52.2
Ansu Sesay,SEA,25,9,3,6,15.7,100,0.0,75.9,37.9,0.0,6.9,24.1,15.5,37.9,81.8,18.2,0.0,0.0,81.8,18.2
Antawn Jamison,GSW,26,82,21,61,37.0,84.7,15.3,67.4,16.2,12.6,17.3,20.0,14.1,51.3,69.0,31.0,98.5,1.5,72.3,27.7
Anthony Carter,MIA,27,46,19,27,22.8,92.7,7.3,88.9,51.5,1.5,16.2,9.6,17.7,37.4,44.3,55.7,100,0.0,44.9,55.1
Anthony Johnson,NJN,27,34,22,12,10.8,86.7,13.3,70.2,27.7,12.8,16.0,17.0,21.3,42.6,45.5,54.5,75.0,25.0,48.6,51.4
Anthony Mason,MIL,35,82,41,41,38.3,99.8,0.2,80.1,18.0,0.4,2.7,19.6,10.7,62.0,53.0,47.0,100,0.0,53.2,46.8
Anthony Peeler,MIN,32,82,50,32,25.1,58.6,41.4,48.0,34.7,45.2,18.9,6.8,15.7,13.3,66.1,33.9,87.4,12.6,74.3,25.7
Antoine Walker,BOS,25,81,48,33,42.1,61.8,38.2,49.5,9.1,37.1,14.5,13.4,18.2,40.4,34.5,65.5,91.0,9.0,53.3,46.7
Antonio Daniels,SAS,27,82,58,24,26.5,68.0,32.0,56.3,15.7,22.7,26.6,21.0,20.6,40.6,52.8,47.2,82.5,17.5,59.1,40.9
Antonio Davis,TOR,33,77,41,36,38.7,99.9,0.1,73.7,31.8,0.0,15.6,26.3,14.6,41.9,63.7,36.3,0.0,0.0,63.7,36.3
Antonio Harvey,SEA,31,5,3,2,9.5,100,0.0,88.9,22.2,0.0,22.2,11.1,0.0,66.7,50.0,50.0,0.0,0.0,50.0,50.0
Antonio McDyess,DEN,27,10,3,7,23.5,100,0.0,76.1,28.3,0.0,14.2,23.9,8.0,47.8,88.4,11.6,0.0,0.0,88.4,11.6
Antonis Fotsis,MEM,21,28,6,22,11.3,77.9,22.1,64.8,18.5,19.4,20.4,15.7,24.1,46.3,42.9,57.1,100,0.0,52.4,47.6
Art Long,SEA,29,63,37,26,15.7,100,0.0,84.2,8.4,0.0,8.8,15.8,16.5,75.8,64.2,35.8,0.0,0.0,64.2,35.8
Austin Croshere,IND,27,76,39,37,16.9,67.6,32.4,52.7,25.2,28.5,7.9,18.8,14.3,27.5,59.6,40.4,98.0,2.0,69.7,30.3
