PLAYER,TEAM,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
Khem Birch,ORL ,26,50,6,4.0%,0.0,0.1,0.0,0.0,3.3%,0.0,0.1,0.0,0.7%,0.0,0.0,0.0
Khris Middleton,MIL ,27,77,73,23.0%,1.3,3.4,37.1,52.3,3.1%,0.2,0.5,50.0,19.9%,1.0,3.0,35.1
Khyri Thomas,DET ,23,26,18,46.4%,0.4,1.2,31.3,46.9,0.0%,0.0,0.0,-,46.4%,0.4,1.2,31.3
Klay Thompson,GSW ,29,78,78,46.6%,3.5,8.3,42.0,57.0,12.1%,1.0,2.1,46.4,34.5%,2.5,6.1,40.5
Kosta Koufos,SAC ,30,42,14,11.1%,0.2,0.4,52.9,52.9,11.1%,0.2,0.4,52.9,0.0%,0.0,0.0,-
Kris Dunn,CHI ,25,45,37,12.4%,0.4,1.4,29.0,42.7,0.6%,0.0,0.1,33.3,11.8%,0.4,1.3,28.8
Kyle Anderson,MEM ,25,43,27,14.9%,0.3,0.9,34.1,43.9,4.0%,0.1,0.3,54.5,10.9%,0.2,0.7,26.7
Kyle Korver,UTA ,38,69,66,62.0%,1.8,4.2,42.1,59.2,9.3%,0.3,0.6,52.3,52.7%,1.4,3.6,40.3
Kyle Kuzma,LAL ,23,70,70,35.7%,1.7,5.5,31.4,45.9,3.2%,0.1,0.5,28.6,32.5%,1.6,5.0,31.7
Kyle Lowry,TOR ,33,65,64,37.9%,1.6,4.3,38.2,57.1,0.4%,0.0,0.1,33.3,37.5%,1.6,4.3,38.3
Kyle O'Quinn,IND ,29,45,32,52.6%,0.7,1.6,42.3,43.0,44.4%,0.6,1.3,48.3,8.1%,0.0,0.2,9.1
Kyrie Irving,BOS ,27,67,64,20.9%,1.7,3.9,44.8,63.9,3.3%,0.3,0.6,41.5,17.6%,1.5,3.3,45.4
LaMarcus Aldridge,SAS ,33,81,76,19.3%,1.4,3.1,45.7,47.4,16.5%,1.3,2.7,49.1,2.7%,0.1,0.4,25.0
Lance Stephenson,LAL ,28,68,58,31.7%,0.8,2.0,37.2,54.4,1.9%,0.1,0.1,50.0,29.9%,0.7,1.9,36.4
Lance Thomas,NYK ,31,46,40,48.2%,0.7,2.1,31.6,43.2,9.1%,0.2,0.4,44.4,39.1%,0.5,1.7,28.6
Landry Shamet,LAC ,22,78,76,57.9%,1.7,4.1,42.1,62.5,1.6%,0.1,0.1,44.4,56.3%,1.7,4.0,42.0
Langston Galloway,DET ,27,80,77,60.5%,1.6,4.4,35.2,52.4,1.0%,0.0,0.1,50.0,59.5%,1.5,4.4,35.0
Larry Nance Jr.,CLE ,26,67,56,23.3%,0.6,1.6,33.9,47.7,5.8%,0.1,0.4,25.9,17.5%,0.5,1.2,36.6
Lauri Markkanen,CHI ,22,51,51,40.9%,2.3,6.3,37.1,54.2,2.5%,0.2,0.4,45.0,38.3%,2.2,5.9,36.5
LeBron James,LAL ,34,55,47,10.4%,0.8,2.1,36.8,52.6,1.3%,0.1,0.3,42.9,9.1%,0.7,1.8,36.0
Lonnie Walker IV,SAS ,20,17,5,19.6%,0.2,0.5,33.3,50.0,0.0%,0.0,0.0,-,19.6%,0.2,0.5,33.3
Lonzo Ball,LAL ,21,47,43,34.0%,1.1,3.3,32.3,47.7,0.9%,0.0,0.1,50.0,33.1%,1.0,3.2,31.8
Lorenzo Brown,TOR ,28,26,9,21.7%,0.1,0.6,26.7,40.0,0.0%,0.0,0.0,-,21.7%,0.1,0.6,26.7
Lou Williams,LAC ,32,75,62,12.0%,0.7,1.8,36.0,51.8,1.7%,0.1,0.3,31.6,10.3%,0.6,1.6,36.8
Luc Mbah a Moute,LAC ,32,4,4,22.2%,0.5,1.0,50.0,75.0,0.0%,0.0,0.0,-,22.2%,0.5,1.0,50.0
Luka Doncic,DAL ,20,72,64,11.1%,0.7,1.8,37.1,55.7,0.1%,0.0,0.0,0.0,11.0%,0.7,1.8,37.4
Luke Kennard,DET ,23,63,57,37.5%,1.3,3.1,41.0,61.3,1.3%,0.0,0.1,14.3,36.2%,1.3,3.0,42.0
Luke Kornet,NYK ,23,45,40,67.3%,1.5,4.1,36.6,53.6,5.1%,0.1,0.3,35.7,62.1%,1.4,3.8,36.7
Luol Deng,MIN ,34,22,20,37.3%,0.7,2.0,36.4,52.3,4.2%,0.1,0.2,40.0,33.1%,0.6,1.8,35.9
Malachi Richardson,TOR ,23,22,12,69.0%,0.3,0.9,30.0,45.0,0.0%,0.0,0.0,-,69.0%,0.3,0.9,30.0
Malcolm Brogdon,MIL ,26,64,64,24.6%,1.4,2.9,47.8,71.2,0.4%,0.0,0.1,66.7,24.2%,1.3,2.8,47.5
Malcolm Miller,TOR ,26,10,9,76.9%,1.0,2.0,50.0,75.0,0.0%,0.0,0.0,-,76.9%,1.0,2.0,50.0
Malik Beasley,DEN ,22,81,77,45.8%,1.8,4.2,42.0,62.6,1.2%,0.0,0.1,33.3,44.6%,1.7,4.1,42.2
Malik Monk,CHA ,21,73,69,39.6%,1.1,3.2,36.2,54.3,1.0%,0.0,0.1,0.0,38.6%,1.1,3.1,37.2
MarShon Brooks,MEM ,30,29,16,15.4%,0.3,0.9,34.6,48.1,1.8%,0.1,0.1,66.7,13.6%,0.2,0.8,30.4
Marc Gasol,TOR ,34,79,78,47.7%,2.1,5.3,40.2,52.0,17.4%,0.9,1.9,45.7,30.3%,1.2,3.3,37.1
Marcin Gortat,LAC ,35,47,22,15.6%,0.3,0.6,41.4,41.4,15.6%,0.3,0.6,41.4,0.0%,0.0,0.0,-
Marco Belinelli,SAS ,33,79,79,46.5%,1.6,4.1,39.9,55.8,8.3%,0.3,0.7,45.6,38.3%,1.3,3.3,38.6
Marcus Derrickson,GSW ,23,11,7,54.5%,0.7,1.6,44.4,63.9,6.1%,0.1,0.2,50.0,48.5%,0.6,1.4,43.8
Marcus Morris,BOS ,29,75,72,39.8%,1.8,4.5,40.2,58.6,2.1%,0.1,0.2,61.1,37.7%,1.6,4.2,39.0
Marcus Smart,BOS ,25,80,75,46.2%,1.3,3.3,38.5,57.4,1.1%,0.0,0.1,33.3,45.1%,1.2,3.2,38.7
Mario Hezonja,NYK ,24,57,46,23.9%,0.6,1.9,29.4,42.2,1.5%,0.1,0.1,57.1,22.4%,0.5,1.8,27.5
Markelle Fultz,ORL ,21,19,11,10.3%,0.1,0.8,12.5,18.8,3.2%,0.0,0.3,0.0,7.1%,0.1,0.6,18.2
Markieff Morris,OKC ,29,58,55,45.3%,1.3,3.8,35.3,50.5,4.6%,0.2,0.4,50.0,40.7%,1.1,3.4,33.7
Marquese Chriss,CLE ,21,43,33,39.0%,0.4,1.6,24.6,36.2,1.1%,0.0,0.1,50.0,37.9%,0.4,1.6,23.9
Marvin Bagley III,SAC ,20,62,55,16.7%,0.7,1.9,39.0,49.6,6.1%,0.3,0.7,48.8,10.6%,0.4,1.2,33.3
Marvin Williams,CHA ,33,75,74,59.3%,2.0,5.2,38.2,56.1,2.8%,0.1,0.2,55.6,56.5%,1.8,4.9,37.4
Mason Plumlee,DEN ,29,82,14,3.2%,0.1,0.2,35.7,42.9,1.8%,0.0,0.1,37.5,1.4%,0.0,0.1,33.3
Matthew Dellavedova,CLE ,28,48,42,36.4%,0.7,1.8,39.8,58.0,1.7%,0.1,0.1,75.0,34.7%,0.7,1.8,38.1
Maurice Harkless,POR ,26,60,53,28.7%,0.5,1.9,27.9,41.9,0.0%,0.0,0.0,-,28.7%,0.5,1.9,27.9
Maxi Kleber,DAL ,27,71,70,57.8%,1.1,3.1,36.3,52.9,3.4%,0.1,0.2,53.8,54.4%,1.0,3.0,35.2
Melvin Frazier Jr.,ORL ,22,10,4,23.8%,0.0,0.5,0.0,0.0,0.0%,0.0,0.0,-,23.8%,0.0,0.5,0.0
Meyers Leonard,POR ,27,61,46,48.1%,0.8,1.9,42.2,61.6,6.2%,0.1,0.3,26.7,41.9%,0.7,1.7,44.6
Michael Beasley,LAL ,30,26,12,11.1%,0.1,0.7,17.6,23.5,2.6%,0.0,0.1,25.0,8.5%,0.1,0.5,15.4
Michael Carter-Williams,ORL ,27,28,16,20.3%,0.3,0.9,28.0,42.0,0.0%,0.0,0.0,-,20.3%,0.3,0.9,28.0
Michael Kidd-Gilchrist,CHA ,25,64,47,23.4%,0.5,1.2,37.2,47.4,10.2%,0.2,0.5,38.2,13.2%,0.3,0.7,36.4
Mikal Bridges,PHX ,22,82,77,49.4%,1.1,3.4,33.8,50.4,0.5%,0.0,0.0,66.7,48.8%,1.1,3.4,33.5
Mike Conley,MEM ,31,70,68,18.8%,1.3,3.0,41.9,59.5,2.1%,0.2,0.3,58.3,16.6%,1.1,2.7,39.8
Mike Muscala,LAL ,27,63,61,77.7%,1.6,4.4,36.2,52.4,7.3%,0.2,0.4,42.3,70.4%,1.4,4.0,35.6
Mike Scott,PHI ,30,79,72,58.8%,1.3,3.1,40.9,60.3,4.3%,0.1,0.2,27.8,54.5%,1.2,2.9,41.9
Miles Bridges,CHA ,21,80,73,33.2%,0.8,2.1,35.3,51.5,1.6%,0.1,0.1,62.5,31.6%,0.7,2.0,34.0
Miles Plumlee,ATL ,30,18,1,2.1%,0.0,0.1,0.0,0.0,2.1%,0.0,0.1,0.0,0.0%,0.0,0.0,-
Milos Teodosic,LAC ,32,15,13,47.5%,0.5,1.3,36.8,55.3,0.0%,0.0,0.0,-,47.5%,0.5,1.3,36.8
Mitchell Creek,MIN ,27,5,2,12.5%,0.0,0.4,0.0,0.0,0.0%,0.0,0.0,-,12.5%,0.0,0.4,0.0
Mitchell Robinson,NYK ,21,65,3,1.0%,0.0,0.1,33.3,33.3,1.0%,0.0,0.1,33.3,0.0%,0.0,0.0,-
Mo Bamba,ORL ,21,45,39,38.9%,0.7,2.0,36.0,46.1,11.4%,0.3,0.6,53.8,27.5%,0.4,1.4,28.6
Monte Morris,DEN ,24,82,77,26.9%,1.0,2.3,44.1,64.9,1.7%,0.1,0.1,41.7,25.2%,0.9,2.1,44.3
Montrezl Harrell,LAC ,25,82,17,2.4%,0.1,0.3,38.1,42.9,1.7%,0.1,0.2,40.0,0.7%,0.0,0.1,33.3
Moritz Wagner,LAL ,22,43,35,43.8%,0.5,1.7,28.4,42.6,0.6%,0.0,0.0,0.0,43.2%,0.5,1.7,28.8
Myles Turner,IND ,23,74,72,51.2%,2.2,5.4,40.9,49.5,27.4%,1.3,2.9,43.9,23.7%,0.9,2.5,37.3
Naz Mitrou-Long,UTA ,25,14,4,20.0%,0.0,0.3,0.0,0.0,0.0%,0.0,0.0,-,20.0%,0.0,0.3,0.0
Nemanja Bjelica,SAC ,31,77,71,39.2%,1.3,3.0,41.6,61.3,1.4%,0.1,0.1,62.5,37.8%,1.2,2.9,40.8
Nene,HOU ,36,42,23,25.9%,0.3,0.7,40.0,40.0,25.0%,0.3,0.7,41.4,0.9%,0.0,0.0,0.0
Nerlens Noel,OKC ,25,76,30,16.8%,0.2,0.6,37.0,37.0,16.8%,0.2,0.6,37.0,0.0%,0.0,0.0,-
Nick Young,DEN ,34,4,4,66.7%,0.5,1.5,33.3,50.0,0.0%,0.0,0.0,-,66.7%,0.5,1.5,33.3
Nicolas Batum,CHA ,30,75,73,42.0%,1.3,3.1,40.9,58.9,3.4%,0.1,0.3,57.9,38.6%,1.1,2.9,39.4
Nik Stauskas,CLE ,25,68,53,34.4%,0.7,1.7,40.5,59.9,1.8%,0.0,0.1,33.3,32.6%,0.7,1.6,40.9
Nikola Jokic,DEN ,24,80,75,26.0%,1.4,3.9,36.4,47.9,7.0%,0.5,1.1,49.4,18.9%,0.9,2.9,31.6
Nikola Mirotic,MIL ,28,46,46,51.8%,2.4,6.1,38.4,56.6,2.6%,0.1,0.3,42.9,49.3%,2.2,5.8,38.2
Nikola Vucevic,ORL ,28,78,78,34.1%,2.3,5.8,40.5,49.3,17.6%,1.3,3.0,44.6,16.6%,1.0,2.8,36.2
Noah Vonleh,NYK ,23,67,55,30.4%,0.7,1.9,34.9,51.9,1.4%,0.0,0.1,16.7,28.9%,0.7,1.8,35.8
Norman Powell,TOR ,26,60,54,34.5%,1.0,2.3,43.5,63.8,2.0%,0.1,0.1,50.0,32.5%,0.9,2.2,43.1
OG Anunoby,TOR ,21,67,63,46.0%,1.0,2.8,34.6,51.4,1.2%,0.0,0.1,40.0,44.8%,0.9,2.7,34.4
Okaro White,WAS ,26,3,2,100%,0.0,0.7,0.0,0.0,0.0%,0.0,0.0,-,100%,0.0,0.7,0.0
Omari Spellman,ATL ,21,46,42,56.1%,1.1,3.0,35.8,51.8,3.7%,0.1,0.2,55.6,52.5%,1.0,2.8,34.4
Omri Casspi,MEM ,31,36,21,21.1%,0.4,0.9,41.2,61.8,0.0%,0.0,0.0,-,21.1%,0.4,0.9,41.2
Otto Porter Jr.,CHI ,26,55,54,37.5%,1.9,4.3,43.4,61.7,5.7%,0.3,0.7,44.4,31.7%,1.6,3.6,43.2
PJ Dozier,BOS ,22,6,3,42.9%,0.3,1.5,22.2,33.3,4.8%,0.0,0.2,0.0,38.1%,0.3,1.3,25.0
PJ Tucker,HOU ,34,82,81,72.7%,1.8,4.6,37.9,56.7,0.8%,0.0,0.1,25.0,71.9%,1.7,4.6,38.0
Pascal Siakam,TOR ,25,80,75,23.1%,1.0,2.7,37.6,55.3,1.7%,0.1,0.2,31.3,21.4%,1.0,2.5,38.1
Pat Connaughton,MIL ,26,61,55,52.1%,1.0,3.0,32.4,48.6,0.6%,0.0,0.0,0.0,51.6%,1.0,3.0,32.8
Patrick Beverley,LAC ,30,78,69,44.4%,1.1,2.7,40.8,61.1,0.2%,0.0,0.0,0.0,44.2%,1.1,2.7,41.0
Patrick McCaw,TOR ,23,29,20,39.7%,0.3,0.9,36.0,54.0,0.0%,0.0,0.0,-,39.7%,0.3,0.9,36.0
Patrick Patterson,OKC ,30,62,51,69.6%,0.8,2.4,33.8,49.0,7.8%,0.1,0.3,29.4,61.8%,0.7,2.2,34.3
Patty Mills,SAS ,30,82,77,40.4%,1.4,3.3,41.4,61.2,2.7%,0.1,0.2,27.8,37.7%,1.3,3.0,42.4
Pau Gasol,MIL ,38,30,23,36.2%,0.5,1.1,44.1,52.9,22.3%,0.3,0.7,42.9,13.8%,0.2,0.4,46.2
Paul George,OKC ,29,76,76,28.5%,2.3,6.0,39.2,57.5,2.4%,0.2,0.5,30.8,26.1%,2.2,5.5,40.0
Paul Millsap,DEN ,34,70,61,23.7%,0.9,2.3,40.5,57.3,3.2%,0.2,0.3,52.4,20.6%,0.8,2.0,38.7
Quincy Acy,PHX ,28,10,8,88.9%,0.2,1.6,12.5,18.8,5.6%,0.0,0.1,0.0,83.3%,0.2,1.5,13.3
Quincy Pondexter,SAS ,31,53,12,24.1%,0.1,0.3,35.7,53.6,0.0%,0.0,0.0,-,24.1%,0.1,0.3,35.7
Quinn Cook,GSW ,26,74,57,29.7%,0.8,1.7,48.1,69.4,2.5%,0.1,0.1,63.6,27.2%,0.7,1.6,46.6
RJ Hunter,BOS ,25,1,1,53.8%,3.0,7.0,42.9,64.3,0.0%,0.0,0.0,-,53.8%,3.0,7.0,42.9
Rajon Rondo,LAL ,33,46,30,16.4%,0.5,1.5,33.8,49.3,0.9%,0.0,0.1,50.0,15.5%,0.5,1.5,32.8
Raul Neto,UTA ,27,37,27,26.9%,0.4,1.2,34.9,52.3,0.6%,0.0,0.0,0.0,26.3%,0.4,1.1,35.7
Rawle Alkins,CHI ,21,10,5,20.5%,0.3,0.8,37.5,56.3,0.0%,0.0,0.0,-,20.5%,0.3,0.8,37.5
Ray Spalding,PHX ,22,14,4,8.5%,0.1,0.3,25.0,25.0,2.1%,0.1,0.1,100,6.4%,0.0,0.2,0.0
Raymond Felton,OKC ,35,33,23,33.3%,0.5,1.4,37.8,56.7,0.7%,0.0,0.0,0.0,32.6%,0.5,1.3,38.6
Reggie Bullock,LAL ,28,63,62,61.8%,2.3,5.8,39.8,57.9,3.9%,0.2,0.4,56.5,57.9%,2.1,5.5,38.7
Reggie Jackson,DET ,29,82,81,31.2%,1.6,4.0,39.8,59.3,0.4%,0.0,0.1,50.0,30.9%,1.6,3.9,39.6
Richaun Holmes,PHX ,25,70,22,7.9%,0.1,0.4,27.6,27.6,7.9%,0.1,0.4,27.6,0.0%,0.0,0.0,-
Ricky Rubio,UTA ,28,67,62,27.3%,1.0,2.9,33.3,49.2,1.6%,0.0,0.2,27.3,25.7%,0.9,2.7,33.7
Robert Covington,MIN ,28,35,35,56.6%,2.3,5.9,39.5,58.0,3.3%,0.1,0.3,41.7,53.3%,2.2,5.5,39.4
Robert Williams III,BOS ,21,32,1,2.0%,0.0,0.0,0.0,0.0,2.0%,0.0,0.0,0.0,0.0%,0.0,0.0,-
Robin Lopez,CHI ,31,73,46,11.9%,0.3,0.9,28.6,34.1,6.1%,0.1,0.4,34.4,5.9%,0.1,0.4,22.6
Rodions Kurucs,BKN ,21,63,59,39.4%,0.9,2.8,31.1,46.0,1.8%,0.0,0.1,25.0,37.6%,0.8,2.7,31.4
Rodney Hood,POR ,26,72,65,24.3%,0.8,2.3,36.2,51.2,3.1%,0.1,0.3,47.6,21.2%,0.7,2.0,34.5
Rodney McGruder,LAC ,27,66,61,42.3%,1.1,3.0,35.2,52.8,1.1%,0.0,0.1,0.0,41.3%,1.1,2.9,36.1
Ron Baker,WAS ,26,15,7,50.0%,0.1,0.7,10.0,15.0,0.0%,0.0,0.0,-,50.0%,0.1,0.7,10.0
Rondae Hollis-Jefferson,BKN ,24,59,37,11.9%,0.2,1.0,19.0,26.7,2.9%,0.0,0.2,14.3,9.0%,0.1,0.8,20.5
Royce O'Neale,UTA ,26,81,63,46.8%,0.8,2.0,40.3,60.1,0.9%,0.0,0.0,33.3,45.9%,0.8,1.9,40.4
Rudy Gay,SAS ,32,69,65,22.7%,1.0,2.5,40.2,58.0,2.1%,0.1,0.2,50.0,20.5%,0.9,2.2,39.2
Rudy Gobert,UTA ,27,80,5,0.7%,0.0,0.1,20.0,20.0,0.7%,0.0,0.1,20.0,0.0%,0.0,0.0,-
Russell Westbrook,OKC ,30,72,63,12.2%,0.8,2.5,32.2,47.2,0.8%,0.1,0.1,36.4,11.4%,0.7,2.3,31.9
Ryan Anderson,MIA ,31,25,17,55.1%,0.4,1.5,23.7,35.5,0.0%,0.0,0.0,-,55.1%,0.4,1.5,23.7
Ryan Arcidiacono,CHI ,25,80,68,39.8%,0.9,2.0,42.1,62.8,0.5%,0.0,0.0,50.0,39.3%,0.8,2.0,42.0
Ryan Broekhoff,DAL ,28,42,32,67.7%,0.8,2.0,40.7,60.5,0.8%,0.0,0.0,100,66.9%,0.8,2.0,40.0
Salah Mejri,DAL ,33,36,19,29.5%,0.2,0.9,24.2,36.4,6.3%,0.0,0.2,0.0,23.2%,0.2,0.7,30.8
Sam Dekker,WAS ,25,46,27,23.3%,0.4,1.2,29.8,43.9,3.3%,0.0,0.2,12.5,20.0%,0.3,1.1,32.7
Semi Ojeleye,BOS ,24,56,38,53.2%,0.5,1.5,33.3,48.8,3.2%,0.0,0.1,40.0,50.0%,0.5,1.4,32.9
Serge Ibaka,TOR ,29,74,73,44.6%,2.4,5.3,44.5,50.6,25.9%,1.7,3.1,55.5,18.7%,0.7,2.2,29.3
Seth Curry,POR ,28,74,62,35.9%,1.1,2.3,47.3,70.7,2.2%,0.0,0.1,10.0,33.8%,1.1,2.1,49.7
Shabazz Napier,BKN ,27,56,35,21.6%,0.6,1.7,33.0,48.9,0.5%,0.0,0.0,50.0,21.1%,0.5,1.6,32.6
Shai Gilgeous-Alexander,LAC ,20,82,65,17.2%,0.6,1.5,38.2,55.7,1.0%,0.1,0.1,57.1,16.2%,0.5,1.4,37.1
Shake Milton,PHI ,22,20,18,48.3%,0.7,2.1,33.3,48.8,2.3%,0.1,0.1,50.0,46.0%,0.7,2.0,32.5
Shaquille Harrison,CHI ,25,72,44,17.2%,0.3,1.0,28.8,43.2,0.5%,0.0,0.0,0.0,16.7%,0.3,1.0,29.6
Shaun Livingston,GSW ,33,64,17,8.6%,0.2,0.3,61.1,61.1,7.6%,0.2,0.3,68.8,1.0%,0.0,0.0,0.0
Shelvin Mack,CHA ,29,57,40,15.4%,0.3,1.1,32.3,47.6,0.7%,0.0,0.1,33.3,14.6%,0.3,1.0,32.2
Sindarius Thornwell,LAC ,24,64,11,30.6%,0.1,0.2,20.0,30.0,0.0%,0.0,0.0,-,30.6%,0.1,0.2,20.0
Skal Labissiere,POR ,23,22,5,18.4%,0.2,0.4,44.4,66.7,0.0%,0.0,0.0,-,18.4%,0.2,0.4,44.4
Solomon Hill,NOP ,28,44,38,56.2%,0.8,2.3,33.0,48.5,2.2%,0.1,0.1,50.0,53.9%,0.7,2.2,32.3
Spencer Dinwiddie,BKN ,26,68,66,18.5%,0.8,2.3,37.3,55.6,0.1%,0.0,0.0,100,18.4%,0.8,2.2,36.8
Stanley Johnson,NOP ,23,66,60,40.2%,0.8,2.7,30.5,45.5,0.7%,0.0,0.1,33.3,39.5%,0.8,2.6,30.5
Stephen Curry,GSW ,31,69,69,38.1%,3.3,7.3,44.7,65.1,3.3%,0.3,0.6,46.5,34.9%,3.0,6.7,44.6
Sterling Brown,MIL ,24,58,50,38.8%,0.8,2.1,38.8,57.4,1.0%,0.0,0.1,66.7,37.8%,0.8,2.0,38.1
Steven Adams,OKC ,25,79,27,5.7%,0.2,0.6,42.2,42.2,5.4%,0.2,0.5,44.2,0.3%,0.0,0.0,0.0
Svi Mykhailiuk,DET ,22,42,33,59.7%,0.6,2.0,32.5,48.2,2.9%,0.0,0.1,25.0,56.8%,0.6,1.9,32.9
T.J. McConnell,PHI ,27,75,34,12.8%,0.3,0.7,43.4,56.6,4.1%,0.1,0.2,52.9,8.7%,0.2,0.5,38.9
T.J. Warren,PHX ,25,43,41,27.5%,1.7,3.9,44.0,64.0,2.3%,0.2,0.3,50.0,25.2%,1.6,3.6,43.5
TJ Leaf,IND ,22,58,29,19.7%,0.2,0.6,25.0,36.1,2.7%,0.0,0.1,20.0,16.9%,0.1,0.5,25.8
Tahjere McCall,BKN ,24,1,1,33.3%,0.0,1.0,0.0,0.0,0.0%,0.0,0.0,-,33.3%,0.0,1.0,0.0
Taj Gibson,MIN ,34,70,46,15.8%,0.5,1.2,38.8,45.3,9.9%,0.3,0.8,41.5,5.9%,0.2,0.5,34.4
Taurean Prince,ATL ,25,55,53,34.5%,1.6,3.7,42.0,62.9,0.7%,0.0,0.1,0.0,33.8%,1.6,3.6,42.8
Terrance Ferguson,OKC ,21,73,67,66.4%,1.4,3.9,37.4,55.2,2.6%,0.1,0.1,45.5,63.8%,1.4,3.7,37.0
Terrence Jones,HOU ,27,2,1,50.0%,0.0,1.0,0.0,0.0,0.0%,0.0,0.0,-,50.0%,0.0,1.0,0.0
Terrence Ross,ORL ,28,79,79,48.9%,2.6,6.2,42.0,56.9,11.1%,0.8,1.4,53.6,37.8%,1.9,4.8,38.6
Terry Rozier,BOS ,25,79,73,32.0%,1.0,2.7,37.6,55.9,0.5%,0.0,0.0,66.7,31.6%,1.0,2.7,37.1
Thabo Sefolosha,UTA ,35,49,40,51.4%,0.7,1.5,42.7,62.7,3.4%,0.0,0.1,40.0,47.9%,0.6,1.4,42.9
Thaddeus Young,IND ,31,81,67,18.7%,0.7,1.9,33.8,48.7,2.4%,0.1,0.3,30.0,16.3%,0.6,1.7,34.3
Theo Pinson,BKN ,23,18,12,39.7%,0.4,1.6,27.6,41.4,1.4%,0.0,0.1,0.0,38.4%,0.4,1.6,28.6
Thomas Bryant,WAS ,21,71,57,28.3%,0.8,1.9,40.1,51.8,10.1%,0.3,0.7,46.9,18.2%,0.5,1.2,36.4
Thomas Welsh,DEN ,23,11,4,84.6%,0.6,1.0,54.5,68.2,30.8%,0.3,0.4,75.0,53.8%,0.3,0.6,42.9
Thon Maker,DET ,22,64,55,58.2%,0.8,2.4,33.3,48.7,4.1%,0.1,0.2,36.4,54.1%,0.8,2.3,33.1
Tim Frazier,MIL ,28,59,40,25.7%,0.5,1.1,46.3,67.2,1.5%,0.1,0.1,75.0,24.1%,0.5,1.1,44.4
Tim Hardaway Jr.,DAL ,27,64,63,32.5%,1.6,5.0,32.8,47.2,3.6%,0.2,0.6,37.1,29.0%,1.4,4.5,32.3
Timothe Luwawu-Cabarrot,CHI ,24,50,36,51.6%,0.7,2.2,33.0,49.1,0.9%,0.0,0.0,50.0,50.7%,0.7,2.2,32.7
Tobias Harris,PHI ,26,82,82,23.9%,1.4,3.6,38.1,56.2,1.3%,0.1,0.2,37.5,22.6%,1.3,3.5,38.2
Tomas Satoransky,WAS ,27,79,65,29.7%,0.8,1.9,40.3,59.1,1.5%,0.1,0.1,50.0,28.1%,0.7,1.9,39.7
Tony Parker,CHA ,37,56,37,11.9%,0.3,1.0,30.9,42.7,2.4%,0.1,0.2,36.4,9.5%,0.2,0.8,29.5
Tony Snell,MIL ,27,74,68,54.3%,1.1,2.6,39.8,59.2,1.7%,0.0,0.1,33.3,52.6%,1.0,2.6,40.0
Torrey Craig,DEN ,28,75,66,50.0%,0.8,2.4,31.5,47.2,0.3%,0.0,0.0,0.0,49.7%,0.8,2.4,31.7
Trae Young,ATL ,20,81,64,11.1%,0.6,1.7,37.4,55.0,0.5%,0.0,0.1,50.0,10.6%,0.6,1.6,36.8
Treveon Graham,BKN ,25,35,32,64.9%,1.1,3.5,30.6,46.0,0.5%,0.0,0.0,0.0,64.4%,1.1,3.5,30.9
Trevon Duval,HOU ,20,3,1,33.3%,0.3,0.3,100,150.0,0.0%,0.0,0.0,-,33.3%,0.3,0.3,100
Trevor Ariza,WAS ,33,68,66,44.3%,1.6,4.7,34.3,51.1,0.6%,0.0,0.1,50.0,43.7%,1.6,4.7,34.1
Trey Burke,DAL ,26,58,46,17.0%,0.5,1.6,33.3,48.9,1.3%,0.0,0.1,28.6,15.7%,0.5,1.5,33.7
Trey Lyles,DEN ,23,64,59,39.1%,0.8,3.0,28.3,40.1,3.1%,0.1,0.2,60.0,36.0%,0.7,2.8,25.6
Tristan Thompson,CLE ,28,43,4,1.1%,0.0,0.1,25.0,25.0,1.1%,0.0,0.1,25.0,0.0%,0.0,0.0,-
Troy Brown Jr.,WAS ,19,51,30,25.2%,0.3,1.1,29.8,44.7,1.8%,0.0,0.1,0.0,23.5%,0.3,1.0,32.1
Troy Caupain,ORL ,23,4,2,25.0%,0.3,0.5,50.0,75.0,0.0%,0.0,0.0,-,25.0%,0.3,0.5,50.0
Troy Daniels,PHX ,27,51,46,49.8%,1.0,2.7,37.2,55.1,1.1%,0.0,0.1,66.7,48.7%,1.0,2.6,36.6
Troy Williams,SAC ,24,21,19,43.9%,0.7,2.0,32.6,48.8,2.0%,0.0,0.1,0.0,41.8%,0.7,1.9,34.1
Tyler Cavanaugh,UTA ,25,11,4,50.0%,0.1,0.5,20.0,30.0,0.0%,0.0,0.0,-,50.0%,0.1,0.5,20.0
Tyler Dorsey,MEM ,23,48,36,37.1%,0.7,2.0,35.7,53.1,0.8%,0.0,0.0,50.0,36.4%,0.7,2.0,35.4
Tyler Johnson,PHX ,27,57,56,48.7%,1.5,4.5,34.0,50.4,2.7%,0.1,0.3,21.4,46.0%,1.5,4.3,34.7
Tyler Lydon,DEN ,23,25,5,50.0%,0.2,0.4,44.4,66.7,0.0%,0.0,0.0,-,50.0%,0.2,0.4,44.4
Tyler Zeller,MEM ,29,6,1,3.4%,0.0,0.2,0.0,0.0,0.0%,0.0,0.0,-,3.4%,0.0,0.2,0.0
