PLAYER,TEAM,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
Garrett Temple,LAC ,33,75,71,45.7%,1.1,3.0,36.9,55.1,1.6%,0.0,0.1,12.5,44.1%,1.1,2.9,37.8
Gary Clark,HOU ,24,51,40,82.8%,0.7,2.5,29.6,44.4,0.0%,0.0,0.0,-,82.8%,0.7,2.5,29.6
Gary Harris,DEN ,24,57,54,30.2%,1.2,3.4,36.1,52.4,2.8%,0.1,0.3,38.9,27.4%,1.1,3.0,35.8
Gary Payton II,WAS ,26,3,1,25.0%,0.3,0.7,50.0,75.0,0.0%,0.0,0.0,-,25.0%,0.3,0.7,50.0
Gary Trent Jr.,POR ,20,15,4,20.0%,0.1,0.7,20.0,30.0,0.0%,0.0,0.0,-,20.0%,0.1,0.7,20.0
George Hill,MIL ,33,60,53,30.1%,0.6,1.9,33.6,49.6,1.3%,0.0,0.1,40.0,28.7%,0.6,1.8,33.3
Georges Niang,UTA ,26,59,45,55.2%,0.7,1.7,40.0,60.0,1.1%,0.0,0.0,0.0,54.1%,0.7,1.7,40.8
Gerald Green,HOU ,33,73,72,56.9%,1.8,4.5,39.0,57.9,1.2%,0.1,0.1,57.1,55.7%,1.7,4.4,38.6
Giannis Antetokounmpo,MIL ,24,72,42,5.9%,0.2,1.0,21.6,31.8,0.6%,0.0,0.1,14.3,5.4%,0.2,0.9,22.4
Glenn Robinson III,DET ,25,47,30,38.9%,0.5,1.4,30.9,43.4,5.1%,0.1,0.2,44.4,33.7%,0.4,1.3,28.8
Goran Dragic,MIA ,33,36,34,24.3%,1.0,2.9,35.2,52.9,1.4%,0.0,0.2,0.0,22.9%,1.0,2.8,37.4
Gordon Hayward,BOS ,29,72,67,32.7%,1.1,2.9,38.5,53.4,5.5%,0.3,0.5,51.4,27.2%,0.9,2.4,35.8
Gorgui Dieng,MIN ,29,76,61,36.6%,0.9,1.8,47.1,53.3,24.1%,0.6,1.2,52.7,12.5%,0.2,0.6,36.2
Grayson Allen,UTA ,23,38,30,42.7%,0.7,2.0,36.8,54.6,0.6%,0.0,0.0,100,42.1%,0.7,2.0,36.0
Greg Monroe,PHI ,29,43,11,6.9%,0.1,0.3,15.4,19.2,4.2%,0.0,0.2,12.5,2.6%,0.0,0.1,20.0
Guerschon Yabusele,BOS ,23,41,19,41.6%,0.3,0.8,34.4,48.4,6.5%,0.1,0.1,40.0,35.1%,0.2,0.7,33.3
Hamidou Diallo,OKC ,20,50,21,15.2%,0.1,0.5,20.0,28.0,0.6%,0.0,0.0,100,14.6%,0.1,0.5,16.7
Harrison Barnes,SAC ,27,77,77,35.7%,1.9,4.8,39.9,59.0,1.9%,0.1,0.3,31.6,33.8%,1.8,4.5,40.3
Harry Giles III,SAC ,21,58,34,16.7%,0.4,1.0,39.7,39.7,14.9%,0.4,0.9,44.2,1.7%,0.0,0.1,0.0
Hassan Whiteside,MIA ,30,72,34,9.4%,0.3,0.9,34.4,35.9,7.4%,0.3,0.7,40.0,2.1%,0.0,0.2,14.3
Haywood Highsmith,PHI ,22,5,3,40.0%,0.2,0.8,25.0,37.5,0.0%,0.0,0.0,-,40.0%,0.2,0.8,25.0
Henry Ellenson,NYK ,22,19,15,38.9%,0.9,1.9,48.6,67.6,5.3%,0.2,0.3,80.0,33.7%,0.7,1.7,43.8
Ian Clark,NOP ,28,60,47,41.0%,0.9,2.6,34.4,50.3,3.7%,0.1,0.2,28.6,37.3%,0.8,2.4,35.0
Ian Mahinmi,WAS ,32,33,12,16.2%,0.1,0.5,17.6,26.5,1.0%,0.0,0.0,0.0,15.2%,0.1,0.5,18.8
Ike Anigbogu,IND ,20,3,1,33.3%,0.0,0.3,0.0,0.0,33.3%,0.0,0.3,0.0,0.0%,0.0,0.0,-
Iman Shumpert,HOU ,29,62,62,49.3%,1.3,3.5,36.8,54.1,3.4%,0.1,0.2,33.3,46.0%,1.2,3.3,37.1
Isaac Bonga,LAL ,19,22,7,25.0%,0.0,0.4,0.0,0.0,9.4%,0.0,0.1,0.0,15.6%,0.0,0.2,0.0
Isaac Humphries,ATL ,21,5,4,61.9%,0.6,2.6,23.1,34.6,9.5%,0.0,0.4,0.0,52.4%,0.6,2.2,27.3
Isaiah Briscoe,ORL ,23,39,22,23.2%,0.3,0.8,31.3,46.9,1.4%,0.0,0.1,0.0,21.7%,0.3,0.8,33.3
