PLAYER,TEAM,AGE,GP,W,L,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS
Pascal Siakam,TOR,25,24,16,8,891,103.8,5.3,14.3,20.9,1.0,15.4,0.7,20.2,10.7,9.3,11.8,27.5,0.120
Pat Connaughton,MIL,26,15,10,5,324,97.0,9.2,20.8,27.7,0.7,17.1,1.4,26.5,11.7,7.8,9.8,26.2,0.202
Patrick Beverley,LAC,30,6,2,4,195,121.6,7.4,23.3,33.1,1.1,18.8,1.1,40.0,14.6,8.5,16.3,34.0,-0.078
Patrick McCaw,TOR,23,11,8,3,48,109.6,0.7,1.8,2.7,1.5,28.6,0.0,0.0,19.3,7.4,15.6,43.1,0.064
Patty Mills,SAS,30,7,3,4,152,109.5,3.3,8.3,12.8,1.7,46.7,0.2,11.1,6.1,12.5,12.5,38.3,0.059
Paul George,OKC,29,5,1,4,204,106.5,6.5,16.7,25.9,1.2,25.0,0.2,4.2,10.8,10.1,10.2,32.8,0.091
Paul Millsap,DEN,34,14,7,7,469,110.6,5.4,14.6,21.9,0.9,23.1,1.2,37.5,7.1,9.0,7.1,33.2,0.044
Quincy Pondexter,SAS,31,5,2,3,12,76.2,3.0,12.5,12.5,3.0,100,0.0,0.0,6.0,0.0,9.0,23.9,0.378
Quinn Cook,GSW,26,17,11,6,193,115.2,3.0,7.9,12.4,0.6,10.3,0.2,5.0,14.5,10.8,12.3,38.8,-0.006
Raul Neto,UTA,27,3,0,3,20,106.5,5.5,13.0,17.6,0.0,0.0,0.0,0.0,14.7,7.3,16.5,25.7,0.102
Raymond Felton,OKC,35,5,1,4,57,81.0,1.9,5.3,7.7,2.5,40.0,0.6,12.5,11.4,10.1,1.3,22.8,0.358
Reggie Jackson,DET,29,4,0,4,108,128.6,2.7,8.1,12.3,1.0,21.4,0.0,0.0,9.4,8.7,16.4,44.8,-0.155
Ricky Rubio,UTA,28,5,1,4,168,109.4,2.8,7.2,10.5,2.6,35.3,0.2,5.3,14.6,8.6,7.3,32.2,0.059
Robert Williams III,BOS,21,3,2,1,13,93.1,17.1,31.6,60.0,0.0,0.0,0.0,0.0,11.4,31.3,11.4,28.4,0.258
Rodions Kurucs,BKN,21,4,1,3,68,127.7,7.4,19.2,31.8,1.1,22.2,0.0,0.0,12.6,15.3,13.7,47.3,-0.148
Rodney Hood,POR,26,16,8,8,373,106.9,2.6,6.4,10.8,0.6,15.4,0.3,7.3,10.2,13.4,7.2,32.8,0.084
Rondae Hollis-Jefferson,BKN,24,4,0,4,62,115.0,5.2,16.4,22.5,0.6,10.0,2.9,83.3,12.1,9.2,11.5,45.0,-0.003
Royce O'Neale,UTA,26,5,1,4,137,96.8,5.5,13.1,18.4,0.5,9.1,0.5,11.1,9.2,8.9,7.6,27.3,0.197
Rudy Gay,SAS,32,7,3,4,178,114.9,7.5,19.4,29.6,0.6,15.8,1.0,41.7,7.1,12.1,9.9,41.5,-0.003
Rudy Gobert,UTA,27,5,1,4,152,114.3,6.6,17.8,26.2,0.7,9.1,3.1,76.5,15.6,8.3,9.0,31.7,0.004
Russell Westbrook,OKC,30,5,1,4,197,115.4,6.9,17.9,27.7,0.9,20.8,0.5,15.0,12.8,12.2,11.7,35.4,-0.009
Semi Ojeleye,BOS,24,6,2,4,35,103.9,1.0,2.3,3.4,0.0,0.0,0.0,0.0,16.7,11.5,20.9,31.3,0.126
Serge Ibaka,TOR,29,24,16,8,500,99.9,7.8,19.4,28.7,0.8,18.6,1.7,46.0,8.6,8.6,10.9,25.9,0.164
Seth Curry,POR,28,16,8,8,326,103.8,2.2,5.5,9.0,1.3,30.0,0.4,10.8,10.7,13.4,8.4,30.9,0.118
Shabazz Napier,BKN,27,3,0,3,28,101.5,6.4,16.7,22.7,1.3,16.7,0.0,0.0,8.9,8.9,10.2,38.2,0.155
Shai Gilgeous-Alexander,LAC,20,6,2,4,173,119.9,2.5,7.5,11.2,1.3,19.4,1.0,29.4,12.7,8.8,11.5,35.9,-0.059
Shaun Livingston,GSW,33,22,14,8,322,111.1,2.2,6.1,9.6,1.1,23.3,0.4,11.8,10.1,9.0,12.4,35.8,0.038
Sindarius Thornwell,LAC,24,4,1,3,12,72.4,12.2,28.6,36.4,3.1,33.3,0.0,0.0,0.0,0.0,9.2,12.2,0.531
Skal Labissiere,POR,23,3,1,2,11,95.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.4,0.225
Spencer Dinwiddie,BKN,26,5,1,4,131,113.9,2.5,6.3,12.3,0.5,10.0,0.0,0.0,11.5,18.1,5.7,43.8,0.008
Stephen Curry,GSW,31,22,14,8,846,110.1,4.9,13.1,19.7,1.0,17.8,0.2,4.0,12.3,10.0,10.9,29.0,0.050
Sterling Brown,MIL,24,11,8,3,162,95.8,5.8,12.9,18.1,1.3,30.0,0.7,11.5,10.7,7.1,10.9,31.6,0.216
Steven Adams,OKC,25,5,1,4,159,115.5,5.4,13.8,21.8,1.1,27.8,1.1,31.3,12.0,11.1,11.8,34.8,-0.009
T.J. McConnell,PHI,27,9,6,3,75,114.7,2.4,7.0,9.4,1.0,16.7,0.5,20.0,15.9,3.4,12.5,35.6,-0.001
TJ Leaf,IND,22,1,0,1,10,50.0,7.4,13.3,16.7,0.0,0.0,0.0,0.0,0.0,11.0,18.4,7.4,0.727
Terrance Ferguson,OKC,21,5,1,4,128,119.1,2.8,7.4,10.8,0.6,14.3,0.0,0.0,15.5,8.7,15.7,32.0,-0.049
Terrence Ross,ORL,28,5,1,4,146,110.7,4.2,12.9,16.3,1.5,35.3,0.5,20.0,13.3,6.7,8.9,35.5,0.043
Terry Rozier,BOS,25,9,5,4,162,91.9,7.8,17.2,24.3,0.9,26.7,0.4,14.3,11.4,8.9,10.9,28.9,0.245
Thabo Sefolosha,UTA,35,4,1,3,42,108.0,6.0,15.6,21.2,0.0,0.0,0.0,0.0,14.6,5.1,16.3,32.6,0.073
Thaddeus Young,IND,31,4,0,4,130,101.9,5.2,16.0,22.1,3.0,42.3,0.8,25.0,10.8,6.6,13.0,24.8,0.138
Theo Pinson,BKN,23,3,0,3,22,90.7,4.9,12.0,14.3,3.3,40.0,0.0,0.0,8.2,8.2,13.2,29.6,0.295
Thon Maker,DET,22,4,0,4,69,118.2,2.6,6.8,10.6,0.0,0.0,2.1,80.0,12.1,6.8,14.7,39.9,-0.040
Tim Frazier,MIL,28,11,9,2,40,103.3,8.1,20.9,27.3,0.9,25.0,0.0,0.0,27.1,6.3,19.9,27.1,0.138
Tobias Harris,PHI,26,12,7,5,443,103.5,8.0,20.7,28.2,1.1,23.2,0.5,12.5,14.1,8.4,11.8,31.7,0.123
Tony Snell,MIL,27,9,7,2,28,110.0,1.3,3.6,4.8,1.3,25.0,1.3,33.3,29.1,5.1,27.9,27.9,0.060
Torrey Craig,DEN,28,14,7,7,330,109.3,5.6,14.6,21.2,0.8,21.9,0.5,17.2,7.3,10.9,6.4,36.8,0.060
Treveon Graham,BKN,25,5,1,4,79,115.4,3.7,10.0,18.2,1.4,30.0,0.5,33.3,12.4,19.2,4.1,44.8,-0.008
Trey Lyles,DEN,23,3,1,2,8,88.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,17.9,8.9,44.7,0.313
Tyreke Evans,IND,29,4,0,4,84,104.1,7.3,20.0,30.4,1.3,21.4,0.4,20.0,12.0,9.4,10.3,22.3,0.119
Tyrone Wallace,LAC,25,2,0,2,11,79.2,3.3,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,13.1,0.396
Wayne Ellington,DET,31,4,0,4,131,124.0,3.3,9.2,13.5,0.8,20.0,0.0,0.0,11.5,9.3,16.5,42.8,-0.105
Wes Iwundu,ORL,24,5,1,4,60,94.5,4.2,12.1,14.9,1.8,30.0,0.0,0.0,12.6,9.0,9.0,31.2,0.236
Wesley Matthews,IND,32,4,0,4,119,103.3,3.0,8.9,12.7,0.9,15.0,0.3,9.1,11.8,7.9,13.7,25.5,0.125
Will Barton,DEN,28,14,7,7,328,110.7,5.7,14.1,21.8,0.4,10.0,1.0,26.5,6.3,11.7,6.4,33.2,0.045
Wilson Chandler,LAC,32,4,1,3,52,107.1,4.1,10.2,17.6,1.4,18.2,0.0,0.0,8.2,12.4,4.8,22.0,0.082
Zach Collins,POR,21,16,8,8,275,105.6,5.4,13.1,20.8,0.9,25.0,2.8,70.0,11.0,13.5,7.5,29.1,0.099
Zaza Pachulia,DET,35,2,0,2,22,89.4,13.3,32.0,38.1,0.0,0.0,0.0,0.0,10.0,13.3,10.0,46.5,0.285
Zhaire Smith,PHI,20,2,0,2,6,6.7,0.0,0.0,0.0,6.5,50.0,0.0,0.0,0.0,0.0,6.5,0.0,1.552
