PLAYER,TEAM,AGE,GP,W,L,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS
Isaiah Hartenstein,HOU,21,2,1,1,2,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.8,63.6,-0.506
Ish Smith,DET,30,4,0,4,81,102.9,4.5,11.9,15.9,1.3,25.0,0.4,11.1,11.1,8.0,14.3,34.7,0.131
Ivica Zubac,LAC,22,4,1,3,39,96.4,10.3,29.7,40.7,1.9,15.4,1.9,50.0,11.2,4.7,15.8,26.1,0.202
JJ Redick,PHI,35,12,7,5,375,103.2,1.5,3.8,5.4,0.1,2.4,0.3,6.1,13.5,8.1,10.0,30.7,0.127
JaMychal Green,LAC,29,6,2,4,141,121.8,6.7,19.7,28.9,1.0,28.6,0.0,0.0,12.0,9.7,10.2,34.3,-0.079
Jacob Evans,GSW,22,7,5,2,18,84.6,2.0,3.4,6.7,0.0,0.0,0.0,0.0,4.1,18.4,8.2,45.1,0.356
Jae Crowder,UTA,28,5,1,4,130,108.8,6.9,18.7,27.8,1.4,18.5,0.0,0.0,13.0,8.0,6.9,25.5,0.063
Jake Layman,POR,25,6,3,3,20,97.8,5.3,15.8,25.0,0.0,0.0,0.0,0.0,8.9,3.6,10.7,42.7,0.204
Jakob Poeltl,SAS,23,7,3,4,177,109.7,5.9,15.8,23.6,0.4,12.5,1.0,23.8,7.1,13.0,9.2,34.6,0.056
Jamal Murray,DEN,22,14,7,7,508,110.0,3.0,7.9,11.9,1.0,23.7,0.1,4.1,7.2,9.8,6.9,32.4,0.051
James Ennis III,PHI,28,11,7,4,232,107.7,4.0,10.9,14.9,0.6,14.3,0.5,12.5,17.4,8.4,14.3,35.7,0.078
James Harden,HOU,29,11,6,5,424,107.8,5.6,14.9,22.4,2.0,31.6,0.8,25.0,16.0,10.2,12.2,34.5,0.076
Jared Dudley,BKN,33,4,1,3,82,95.7,0.9,2.2,3.7,1.3,16.7,0.4,20.0,12.7,10.9,9.2,35.9,0.212
Jarell Martin,ORL,25,3,0,3,18,52.5,2.0,4.2,4.3,0.0,0.0,2.0,50.0,5.9,4.0,0.0,7.9,0.753
Jarred Vanderbilt,DEN,20,3,1,2,5,70.0,7.4,20.0,33.3,0.0,0.0,7.4,100,0.0,0.0,0.0,29.6,0.515
Jarrett Allen,BKN,21,5,1,4,110,118.0,6.2,16.5,29.7,1.0,15.0,1.0,50.0,17.0,13.1,7.8,44.4,-0.036
Jaylen Brown,BOS,22,9,5,4,274,104.9,6.1,15.5,20.4,0.8,17.6,0.3,8.7,12.4,9.2,15.9,30.3,0.109
Jayson Tatum,BOS,21,9,5,4,295,101.6,6.5,16.4,21.0,1.2,27.0,0.9,28.0,13.2,6.2,13.8,28.8,0.144
Jerami Grant,OKC,25,5,1,4,176,117.0,4.3,11.1,17.4,0.6,16.7,2.0,55.6,13.5,11.7,11.7,36.8,-0.025
Jeremy Lin,TOR,30,8,7,1,27,98.5,4.0,7.7,11.1,1.3,25.0,0.0,0.0,9.4,13.4,10.7,37.5,0.214
Jerian Grant,ORL,26,3,0,3,14,37.5,10.3,19.0,20.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,5.1,0.968
Jerome Robinson,LAC,22,5,1,4,46,115.3,3.1,11.4,14.8,1.6,18.2,0.0,0.0,6.2,3.1,5.5,26.5,-0.007
Jimmy Butler,PHI,29,12,7,5,421,101.7,4.3,10.8,15.3,1.5,30.0,0.6,16.7,13.3,8.3,10.9,31.1,0.141
Jodie Meeks,TOR,31,14,9,5,67,94.6,4.9,10.1,16.4,2.2,40.0,0.5,20.0,13.5,9.2,8.1,34.6,0.245
Joe Harris,BKN,27,5,1,4,149,122.6,3.6,9.8,18.1,0.7,13.0,0.0,0.0,14.7,17.1,7.7,47.3,-0.087
Joe Ingles,UTA,31,5,1,4,151,109.3,5.0,13.6,20.6,2.6,28.9,0.0,0.0,13.6,8.1,7.6,28.2,0.060
Joel Embiid,PHI,25,11,6,5,334,93.0,10.1,24.0,33.6,0.9,21.1,2.7,52.1,11.8,8.6,9.0,27.6,0.235
Jon Leuer,DET,30,1,0,1,5,118.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,0.0,74.0,-0.041
Jonah Bolden,PHI,23,10,7,3,79,106.4,4.6,12.8,17.2,0.9,12.5,0.5,12.5,16.4,3.6,11.4,31.9,0.094
Jonas Jerebko,GSW,32,16,11,5,121,113.1,5.7,15.4,26.4,0.3,4.5,0.6,22.2,10.4,12.5,9.8,39.9,0.016
Jonathan Isaac,ORL,21,5,1,4,137,114.5,5.5,16.2,22.1,0.5,10.5,1.3,41.7,15.3,8.2,9.5,32.7,0.002
Jonathon Simmons,PHI,29,7,5,2,52,126.9,4.9,13.5,20.0,0.7,12.5,0.0,0.0,18.1,6.9,18.8,40.3,-0.148
Jordan Bell,GSW,24,15,11,4,106,119.9,4.1,11.0,17.6,1.4,30.8,2.4,53.8,13.6,13.0,6.1,35.5,-0.057
Jose Calderon,DET,37,3,0,3,10,104.5,0.0,0.0,0.0,3.7,20.0,0.0,0.0,0.0,7.4,0.0,52.1,0.120
Juancho Hernangomez,DEN,23,5,3,2,15,86.2,7.4,15.8,23.1,0.0,0.0,0.0,0.0,5.0,17.3,0.0,19.8,0.319
Kawhi Leonard,TOR,28,24,16,8,939,104.5,6.3,17.2,25.8,1.5,24.2,0.7,18.7,10.5,9.4,11.4,28.3,0.112
Kenneth Faried,HOU,29,6,4,2,56,84.6,11.5,28.1,45.0,1.3,20.0,0.0,0.0,10.9,9.0,4.5,25.6,0.357
