PLAYER,TEAM,AGE,GP,W,L,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
Aaron Gordon,ORL,23,78,40,38,33.8,2.2,2.1,1.9,7.5,10.4,7.4,8.1,33.5,0.7,0.7,2.2,3.4
Aaron Holiday,IND,22,50,31,19,12.9,1.0,0.3,0.9,1.7,3.9,3.6,3.5,12.0,0.3,0.2,1.4,1.2
Abdel Nader,OKC,25,61,38,23,11.4,0.8,0.5,0.7,1.9,3.7,3.5,3.3,11.4,0.2,0.1,1.1,0.6
Al Horford,BOS,33,68,41,27,29.0,1.6,1.6,0.7,6.5,8.2,8.5,8.0,27.8,1.3,0.4,1.9,1.8
Al-Farouq Aminu,POR,28,81,52,29,28.3,1.5,1.6,1.3,3.8,8.2,7.9,7.9,28.2,0.4,0.4,1.8,1.8
Alan Williams,BKN,26,5,1,4,5.1,0.0,1.6,0.0,2.8,1.0,1.4,1.8,5.2,0.0,0.0,0.4,0.6
Alec Burks,SAC,27,64,19,45,21.5,1.0,1.2,0.6,3.4,7.8,5.6,5.9,24.1,0.3,0.6,1.4,1.9
Alex Abrines,OKC,25,31,21,10,19.0,0.4,0.6,0.6,0.6,6.6,5.2,5.3,19.4,0.2,0.2,1.7,1.0
Alex Caruso,LAL,25,25,8,17,21.2,2.1,1.0,1.1,3.8,8.2,6.3,6.6,19.5,0.4,0.7,2.2,2.3
Alex Len,ATL,26,77,28,49,20.1,1.4,2.1,0.8,6.2,8.4,5.8,7.4,19.5,0.9,0.6,2.6,2.0
Alex Poythress,ATL,25,21,7,14,14.5,0.6,1.1,0.4,3.0,7.1,5.3,4.5,15.4,0.5,0.3,2.2,1.3
Alfonzo McKinnie,GSW,26,72,53,19,13.9,0.6,0.9,0.9,2.4,4.9,3.8,4.6,14.2,0.2,0.3,1.9,0.7
Alize Johnson,IND,23,14,9,5,4.6,0.1,0.5,0.0,0.4,1.3,2.7,2.4,5.0,0.2,0.1,0.5,0.3
Allen Crabbe,BKN,27,43,19,24,26.4,1.1,0.8,1.4,1.3,9.7,8.7,5.9,26.3,0.3,0.2,2.4,0.9
Allonzo Trier,NYK,23,64,13,51,22.8,1.7,0.9,1.5,4.2,8.3,7.4,5.6,24.5,0.2,1.0,1.8,2.8
Amile Jefferson,ORL,26,12,9,3,5.7,0.5,0.7,0.3,1.7,0.5,0.9,1.9,5.8,0.3,0.1,0.7,0.3
Amir Johnson,PHI,32,51,32,19,10.4,0.5,0.8,0.3,2.5,4.1,2.5,3.0,11.5,0.3,0.1,1.9,0.9
Andre Drummond,DET,25,79,40,39,33.5,3.1,5.5,1.2,13.8,10.9,8.1,8.6,34.4,1.7,1.1,3.4,4.1
Andre Iguodala,GSW,35,68,47,21,23.2,1.2,0.4,1.2,2.8,7.8,6.1,6.5,21.6,0.8,0.1,1.4,1.2
Andre Ingram,LAL,33,4,1,3,3.7,0.0,0.0,0.0,0.0,0.5,1.0,0.5,2.5,0.0,0.0,0.0,0.3
Andrew Bogut,GSW,34,11,8,3,12.2,0.2,0.9,0.0,3.1,4.1,2.7,4.5,10.5,0.7,0.1,2.0,0.7
Andrew Harrison,NOP,24,17,6,11,10.9,0.8,0.2,0.3,1.2,4.9,2.2,2.9,9.5,0.1,0.1,2.0,1.1
Andrew Wiggins,MIN,24,73,31,42,34.8,2.4,1.7,1.9,7.4,11.1,11.1,9.8,35.4,0.7,1.2,2.1,3.1
Anfernee Simons,POR,20,20,17,3,7.0,0.5,0.3,0.5,1.2,4.1,2.5,2.4,7.9,0.0,0.2,0.5,0.5
Angel Delgado,LAC,24,2,0,2,7.4,0.0,0.5,0.0,1.0,1.0,0.0,2.0,8.0,0.0,1.0,1.0,0.5
Ante Zizic,CLE,22,59,13,46,18.3,1.0,2.4,0.4,5.7,6.2,4.5,5.8,18.8,0.4,0.6,1.9,2.1
Anthony Davis,NOP,26,56,25,31,33.0,4.4,4.8,2.8,14.3,11.7,8.7,10.6,33.8,2.4,0.7,2.4,6.6
Anthony Tolliver,MIN,34,65,27,38,16.6,0.8,0.5,0.7,0.4,4.7,5.2,3.8,16.2,0.3,0.1,1.4,0.8
Antonio Blakeney,CHI,22,57,14,43,14.5,0.9,0.4,0.8,3.2,4.6,3.8,4.0,14.9,0.2,0.5,0.7,0.9
Aron Baynes,BOS,32,51,32,19,16.1,0.7,1.5,0.2,3.0,5.4,4.1,4.3,15.3,0.7,0.2,2.5,1.9
Austin Rivers,HOU,26,76,45,31,26.7,1.8,0.5,0.9,3.3,8.8,7.7,8.3,28.2,0.3,0.3,2.7,1.4
Avery Bradley,MEM,28,63,31,32,30.2,1.5,1.0,1.2,2.4,11.3,8.5,10.5,31.5,0.3,0.8,2.7,1.1
BJ Johnson,SAC,23,7,2,5,7.1,0.9,0.0,1.3,0.9,2.9,1.9,1.1,9.7,0.0,0.3,0.6,0.3
Bam Adebayo,MIA,21,82,39,43,23.3,1.5,2.0,0.9,6.4,8.3,6.2,5.5,20.3,0.8,0.4,2.5,2.8
Ben McLemore,SAC,26,19,7,12,8.3,0.6,0.2,1.0,0.4,2.9,2.6,2.9,8.9,0.2,0.2,1.2,0.4
Ben Simmons,PHI,22,79,50,29,34.2,2.4,2.2,3.3,13.3,13.4,8.7,11.1,37.6,0.8,0.7,2.6,4.7
Billy Garrett,NYK,24,4,1,3,15.9,0.0,0.0,0.0,4.0,4.0,3.3,2.5,13.5,0.3,0.0,0.8,1.0
Bismack Biyombo,CHA,26,54,24,30,14.5,0.5,1.1,0.1,3.1,3.9,4.0,4.4,14.4,0.8,0.4,1.9,1.5
Blake Griffin,DET,30,75,39,36,35.0,3.2,2.0,1.3,10.7,11.7,7.8,9.2,35.6,0.4,1.0,2.7,7.6
Boban Marjanovic,PHI,30,58,31,27,11.7,1.2,2.3,0.3,5.0,4.5,3.4,4.2,11.3,0.5,0.3,1.6,1.6
Bobby Portis,WAS,24,50,14,36,26.0,2.2,2.3,1.3,6.7,8.2,7.3,6.4,28.2,0.4,0.6,2.9,1.8
Bogdan Bogdanovic,SAC,26,70,32,38,27.8,1.9,1.2,1.7,4.8,9.8,8.4,7.2,27.9,0.2,0.6,2.0,2.6
Bojan Bogdanovic,IND,30,81,47,34,31.8,3.8,1.6,3.3,7.2,10.0,9.3,8.9,30.0,0.0,1.1,1.7,2.9
Bonzie Colson,MIL,23,8,6,2,12.3,0.4,1.0,1.1,1.8,4.4,3.6,5.0,13.0,0.1,0.4,0.4,0.8
Brad Wanamaker,BOS,29,36,27,9,9.5,0.8,0.3,1.3,1.4,2.9,2.9,2.3,8.7,0.1,0.1,0.9,0.6
Bradley Beal,WAS,26,82,32,50,36.9,3.6,1.8,3.5,10.0,12.9,10.8,10.6,40.1,0.7,0.8,2.8,4.4
Brandon Goodwin,DEN,23,16,10,6,3.6,0.7,0.1,0.3,0.5,0.9,1.0,0.4,3.6,0.0,0.0,0.4,0.6
