PLAYER,TEAM,AGE,Restricted Area FGM,Restricted Area FGA,Restricted Area FG PCT,In The Paint (Non-RA) FGM,In The Paint (Non-RA) FGA,In The Paint (Non-RA) FG PCT,Mid-Range FGM,Mid-Range FGA,Mid-Range FG PCT,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG PCT,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG PCT,Corner 3 FGM,Corner 3 FGA,Corner 3 FG PCT,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG PCT
AJ Price,IND,24,0.3,0.5,58.3,0.4,1.1,40.0,0.7,1.8,40.2,0.0,0.0,0.0,0.0,0.1,20.0,0.0,0.1,0.0,0.8,2.8,28.8
Aaron Brooks,PHX,26,1.3,2.3,57.0,0.3,1.2,23.9,0.9,2.5,38.6,0.2,0.4,47.1,0.2,0.6,32.1,0.4,1.0,40.0,0.9,3.1,29.1
Aaron Gray,NOH,26,1.1,1.7,64.8,0.2,0.6,34.8,0.1,0.1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Acie Law,GSW,26,1.0,1.6,61.4,0.1,0.5,25.0,0.4,0.8,41.9,0.0,0.3,9.1,0.1,0.3,27.3,0.1,0.6,16.7,0.0,0.3,14.3
Al Harrington,DEN,31,1.7,3.0,55.7,0.2,0.6,34.8,0.3,1.1,31.3,0.3,1.0,34.8,0.1,0.3,42.9,0.4,1.3,30.8,1.2,3.3,35.3
Al Horford,ATL,25,2.2,3.1,71.1,1.4,2.7,49.3,3.1,6.0,50.6,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,-,0.0,0.0,0.0
Al Jefferson,UTA,26,3.7,5.8,63.5,2.0,4.6,42.9,2.3,5.7,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Al Thornton,GSW,27,1.4,2.1,66.0,0.5,1.0,43.8,1.0,2.6,38.9,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.1,0.2,36.4
Al-Farouq Aminu,LAC,20,1.1,1.9,54.8,0.2,0.6,43.2,0.1,0.8,17.2,0.1,0.4,29.2,0.1,0.5,26.5,0.2,0.9,22.2,0.4,1.1,34.5
Alexis Ajinca,TOR,23,0.6,0.9,65.6,0.1,0.2,66.7,0.6,1.8,36.1,0.1,0.1,100,0.1,0.1,100,0.2,0.2,100,0.3,1.0,31.3
Alonzo Gee,CLE,24,1.7,2.8,59.7,0.2,0.8,25.6,0.2,0.7,31.4,0.2,0.4,42.9,0.1,0.3,20.0,0.3,0.7,42.9,0.2,0.5,33.3
Amar'e Stoudemire,NYK,28,4.3,7.2,59.9,2.2,4.9,44.3,2.9,6.6,44.4,0.0,0.1,75.0,0.0,0.0,33.3,0.0,0.1,0.0,0.1,0.2,37.5
Amir Johnson,TOR,24,2.9,4.3,67.6,0.4,1.1,35.5,0.7,1.6,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Anderson Varejao,CLE,28,2.6,4.5,59.0,0.5,1.3,38.5,0.5,1.2,47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Andray Blatche,WAS,24,3.7,6.0,61.0,1.0,2.9,33.0,2.0,5.7,34.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.1,0.2,28.6
Andre Iguodala,PHI,27,2.3,3.1,71.6,0.3,1.1,23.6,1.6,4.4,36.9,0.2,0.3,55.6,0.2,0.4,40.7,0.4,0.7,57.1,0.6,2.0,30.3
Andre Miller,POR,35,2.1,3.3,63.5,0.9,2.1,41.8,1.7,4.5,38.5,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,-,0.0,0.4,10.7
