PLAYER,TEAM,AGE,Restricted Area FGM,Restricted Area FGA,Restricted Area FG PCT,In The Paint (Non-RA) FGM,In The Paint (Non-RA) FGA,In The Paint (Non-RA) FG PCT,Mid-Range FGM,Mid-Range FGA,Mid-Range FG PCT,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG PCT,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG PCT,Corner 3 FGM,Corner 3 FGA,Corner 3 FG PCT,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG PCT
AJ Hammons,DAL,24,0.2,0.4,55.6,0.0,0.3,0.0,0.4,0.9,38.9,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.4,62.5
Aaron Brooks,IND,32,0.5,1.0,43.9,0.3,0.7,38.1,0.4,1.0,43.8,0.1,0.1,66.7,0.0,0.2,22.2,0.1,0.3,33.3,0.6,1.6,39.6
Aaron Gordon,ORL,21,2.7,4.1,67.6,0.4,1.0,33.7,0.9,2.4,36.1,0.1,0.5,27.8,0.1,0.4,27.3,0.2,0.9,22.2,0.7,2.4,29.7
Aaron Harrison,CHA,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0
Adreian Payne,MIN,26,0.6,1.1,52.6,0.1,0.4,33.3,0.5,0.8,57.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.2,0.7,23.1
Al Horford,BOS,31,1.9,2.8,68.6,1.0,2.3,44.3,1.4,3.1,43.8,0.0,0.1,33.3,0.2,0.4,37.9,0.2,0.5,40.0,1.1,3.0,35.3
Al Jefferson,IND,32,1.6,2.5,64.5,1.2,2.4,50.0,0.7,2.2,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Al-Farouq Aminu,POR,26,1.3,2.7,49.1,0.3,0.9,39.6,0.2,0.6,31.6,0.2,0.6,31.4,0.3,0.8,39.5,0.5,1.4,35.7,0.7,2.2,31.8
Alan Anderson,LAC,34,0.4,0.6,70.6,0.0,0.2,20.0,0.1,0.5,21.4,0.0,0.4,10.0,0.1,0.3,42.9,0.1,0.7,14.3,0.3,0.9,37.0
Alan Williams,PHX,24,2.0,3.2,61.4,1.0,2.4,40.4,0.2,0.4,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Alec Burks,UTA,25,0.7,1.8,40.3,0.4,0.9,47.4,0.6,1.4,43.9,0.1,0.5,29.4,0.2,0.3,54.5,0.3,0.8,37.5,0.3,1.1,29.2
Alex Abrines,OKC,23,0.3,0.6,47.6,0.1,0.3,45.5,0.2,0.5,33.3,0.2,0.6,43.3,0.2,0.5,37.9,0.4,1.1,36.4,1.0,2.8,37.3
Alex Len,PHX,24,2.1,3.5,61.7,0.5,1.2,38.5,0.4,1.2,29.8,0.0,0.1,28.6,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,33.3
Alex Poythress,PHI,23,2.7,4.7,57.1,0.2,0.5,33.3,0.3,0.7,50.0,0.3,0.7,50.0,0.2,0.3,50.0,0.5,1.0,50.0,0.5,2.2,23.1
Alexis Ajinca,NOP,29,1.2,1.8,66.7,0.4,1.0,42.5,0.6,1.6,38.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.1,0.0
Allen Crabbe,POR,25,0.8,1.4,60.9,0.4,0.8,46.7,0.9,2.2,42.3,0.3,0.6,45.7,0.2,0.5,38.5,0.5,1.1,45.5,1.2,2.7,45.2
Alonzo Gee,DEN,30,0.3,0.6,42.9,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.3,0.0,0.0,0.1,0.0
Amir Johnson,BOS,30,1.8,2.7,67.5,0.5,1.0,49.4,0.1,0.2,30.8,0.0,0.1,28.6,0.1,0.2,35.7,0.1,0.3,33.3,0.3,0.6,44.4
Anderson Varejao,GSW,34,0.1,0.6,25.0,0.1,0.3,50.0,0.1,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Andre Drummond,DET,23,4.0,6.0,65.6,1.5,3.8,39.0,0.5,1.3,37.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,33.3
Andre Iguodala,GSW,33,1.5,2.1,74.1,0.1,0.2,35.3,0.4,0.8,50.8,0.2,0.5,38.9,0.2,0.6,35.7,0.4,1.1,36.4,0.5,1.3,36.1
