PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
AJ Price,IND,23,56,23,33,15.5,50.8,49.2,41.5,16.1,43.9,12.7,14.6,19.5,25.4,10.6,89.4,76.7,23.3,37.9,62.1
Aaron Brooks,HOU,25,82,42,40,35.6,60.6,39.4,45.6,16.1,39.1,14.5,15.3,13.7,29.6,21.0,79.0,71.3,28.7,39.3,60.7
Aaron Gray,NOH,25,32,11,21,9.7,100,0.0,80.8,5.8,0.0,6.7,19.2,9.6,75.0,33.3,66.7,0.0,0.0,33.3,66.7
Acie Law,CHI,25,26,11,15,9.0,78.7,21.3,53.1,3.5,13.3,22.1,33.6,20.4,49.6,30.0,70.0,60.0,40.0,34.3,65.7
Adam Morrison,LAL,25,31,23,8,7.8,75.3,24.7,73.0,24.3,20.3,2.7,6.8,21.6,48.6,70.4,29.6,60.0,40.0,68.8,31.3
Al Harrington,NYK,30,72,26,46,30.5,60.3,39.7,48.3,10.7,32.9,10.1,18.8,15.0,37.6,38.0,62.0,94.3,5.7,55.6,44.4
Al Horford,ATL,24,81,52,29,35.1,99.9,0.1,81.2,20.7,0.3,10.6,18.6,15.1,60.5,65.2,34.8,100,0.0,65.3,34.7
Al Jefferson,MIN,25,76,15,61,32.4,99.6,0.4,86.1,24.9,0.0,2.8,13.9,12.4,61.2,44.8,55.2,0.0,0.0,44.8,55.2
Al Thornton,WAS,26,75,25,50,27.7,95.4,4.6,76.9,28.4,4.1,20.5,19.0,20.1,48.5,62.1,37.9,63.6,36.4,62.2,37.8
Alando Tucker,MIN,26,15,5,10,6.4,82.1,17.9,62.7,11.8,5.9,21.6,31.4,11.8,51.0,43.8,56.3,100,0.0,47.1,52.9
Alexis Ajinca,CHA,22,6,1,5,4.9,100,0.0,100,20.0,0.0,20.0,0.0,20.0,80.0,80.0,20.0,0.0,0.0,80.0,20.0
Allen Iverson,PHI,35,28,10,18,30.9,92.1,7.9,66.0,40.0,7.0,10.4,27.0,8.6,26.0,42.5,57.5,88.9,11.1,45.6,54.4
Alonzo Gee,WAS,23,11,0,11,16.5,84.7,15.3,51.9,2.5,25.9,7.4,22.2,22.2,49.4,42.9,57.1,71.4,28.6,50.0,50.0
Amar'e Stoudemire,PHX,27,82,54,28,34.6,99.5,0.5,74.2,15.6,0.2,7.4,25.7,12.7,58.5,61.2,38.8,100,0.0,61.2,38.8
Amir Johnson,TOR,23,82,40,42,17.7,98.8,1.2,81.4,6.7,0.0,22.7,18.6,17.0,74.8,67.8,32.2,0.0,0.0,67.8,32.2
Anderson Varejao,CLE,27,76,57,19,28.5,98.9,1.1,81.7,6.8,0.5,9.1,17.8,11.4,75.0,76.3,23.7,100,0.0,76.4,23.6
Andray Blatche,WAS,23,81,26,55,27.9,95.6,4.4,81.4,28.3,3.4,7.0,15.2,15.5,53.0,52.7,47.3,84.6,15.4,53.6,46.4
Andre Iguodala,PHI,26,82,27,55,38.9,72.9,27.1,57.4,22.1,20.1,24.5,22.5,22.3,35.3,41.5,58.5,80.9,19.1,49.0,51.0
Andre Miller,POR,34,82,50,32,30.5,91.2,8.8,67.7,22.5,4.2,14.0,28.1,14.8,45.2,27.3,72.7,75.0,25.0,29.2,70.8
