PLAYER,GP,W,L,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TOV_PCT,E_USG_PCT,E_PACE
Damion Lee,15,4,11,27,99.3,105.1,-5.8,14.0,2.8,14.7,8.9,6.7,18.8,102.57
Damyean Dotson,44,11,33,11,98.5,102.8,-4.3,14.1,2.0,16.1,9.3,7.8,17.5,99.13
Daniel Hamilton,6,5,1,5,85.9,103.7,-17.8,38.1,0.0,19.2,9.4,9.5,21.9,92.92
Daniel Theis,63,44,19,15,103.7,102.0,1.6,14.7,10.5,21.7,16.0,14.7,15.5,97.75
Danilo Gallinari,21,11,10,32,104.5,104.3,0.2,11.3,1.4,14.7,8.1,7.2,21.0,97.92
Danny Green,70,40,30,26,104.9,102.3,2.6,14.2,2.5,12.7,7.6,9.6,16.6,96.06
Dante Cunningham,73,34,39,21,106.5,106.4,0.1,10.3,5.4,15.4,10.4,7.1,11.8,102.38
Dante Exum,14,10,4,17,109.3,98.9,10.4,26.3,2.0,9.6,6.1,12.2,22.9,100.17
Danuel House Jr.,23,6,17,18,104.4,104.8,-0.4,14.0,3.7,16.2,10.3,6.2,16.6,101.18
Dario Saric,78,49,29,30,108.9,102.2,6.7,15.2,7.6,16.6,12.3,11.1,20.9,101.55
Darius Miller,82,48,34,24,108.7,107.6,1.2,16.2,1.0,8.0,4.6,8.5,12.9,102.35
Darrell Arthur,19,12,7,7,100.6,112.8,-12.2,12.4,2.5,9.7,6.1,20.7,19.9,102.46
Darren Collison,69,39,30,29,109.8,106.6,3.2,31.9,2.2,7.9,5.1,7.4,17.5,98.49
Darrun Hilliard,14,8,6,7,114.5,111.5,3.0,29.7,0.0,8.6,4.5,10.8,12.5,95.92
David Nwaba,70,26,44,24,102.5,108.9,-6.5,15.0,5.7,15.9,10.7,11.1,15.5,100.69
David Stockton,3,3,0,3,86.6,142.6,-56.0,0.0,0.0,0.0,0.0,17.4,25.4,101.01
David West,73,52,21,14,104.5,99.5,5.0,21.9,7.8,18.6,13.5,12.7,22.7,97.31
Davis Bertans,77,43,34,14,105.3,101.6,3.7,14.9,1.9,13.8,7.9,7.2,17.5,97.62
Davon Reed,21,2,19,12,90.8,106.7,-15.9,12.5,0.8,17.1,8.2,9.6,16.2,102.50
De'Aaron Fox,73,24,49,28,100.2,110.9,-10.7,23.3,1.7,9.9,5.6,12.6,23.1,99.13
DeAndre Jordan,77,39,38,32,106.2,109.0,-2.8,12.1,15.0,37.7,26.4,14.1,15.3,99.96
DeAndre Liggins,58,34,24,13,99.3,110.2,-10.9,27.2,1.1,11.8,6.1,11.4,8.2,98.29
DeAndre' Bembry,26,8,18,18,101.5,105.3,-3.8,20.5,2.0,16.4,9.1,19.7,18.6,100.37
DeMar DeRozan,80,57,23,34,112.2,105.4,6.9,18.5,2.5,10.2,6.4,7.8,29.2,100.84
DeMarcus Cousins,48,27,21,36,107.9,106.2,1.7,16.7,7.1,32.5,20.2,15.8,32.4,100.76
DeMarre Carroll,73,25,48,30,105.1,107.7,-2.6,12.9,5.0,18.3,11.6,9.0,19.7,100.61
Dejounte Murray,81,47,34,22,103.8,98.1,5.7,22.2,6.8,22.0,14.3,12.9,20.7,97.19
Delon Wright,69,49,20,21,109.9,102.1,7.8,26.3,3.6,12.1,7.8,10.2,17.3,98.33
Demetrius Jackson,15,12,3,5,90.6,109.0,-18.3,23.8,6.2,10.3,8.1,26.4,16.2,97.83
Dennis Schroder,67,21,46,31,103.6,110.2,-6.6,22.4,2.4,9.0,5.7,9.8,30.5,100.46
Dennis Smith Jr.,69,22,47,30,102.0,110.1,-8.1,21.6,2.6,11.8,7.0,11.7,28.7,98.38
Denzel Valentine,77,26,51,27,100.6,108.3,-7.7,22.5,2.3,18.5,10.0,9.1,17.4,100.20
Derrick Favors,77,46,31,28,106.5,103.0,3.4,10.3,10.8,18.4,14.7,8.9,18.6,96.79
Derrick Jones Jr.,20,9,11,12,96.6,102.5,-6.0,11.3,8.8,7.4,8.1,8.8,12.6,97.51
Derrick Rose,25,15,10,17,108.1,112.5,-4.4,13.3,3.6,6.0,4.8,12.6,25.0,102.90
