PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
Hubert Davis,WAS,31,66,36,30,25.7,7.9,3.0,6.6,45.3,1.2,2.6,45.6,0.8,0.9,87.1,0.4,1.7,2.1,1.7,1.2,0.5,0.0,1.8,13.4,0,0,0.1
Ike Austin,VAN,31,52,15,37,16.3,4.3,1.8,5.2,35.6,0.1,0.5,25.0,0.5,0.8,70.0,1.0,3.3,4.3,1.1,1.0,0.4,0.4,1.8,12.6,2,0,-1.9
Ira Bowman,ATL,28,3,2,1,6.4,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,2.3,0.3,0.0,0.0,0.0,4.0,0,0,-2.3
Ira Newble,SAS,26,27,18,9,6.7,2.0,0.8,2.0,38.2,0.1,0.3,44.4,0.3,0.6,50.0,0.5,0.8,1.3,0.2,0.3,0.1,0.1,0.7,4.3,0,0,-2.4
Isaiah Rider,LAL,30,67,46,21,18.0,7.6,3.0,7.0,42.6,0.5,1.4,37.0,1.1,1.2,85.5,0.7,1.7,2.3,1.7,1.5,0.4,0.1,1.6,12.9,0,0,-0.4
J.R. Reid,CLE,33,6,2,4,6.7,1.7,0.3,0.8,40.0,0.0,0.0,0.0,1.0,1.3,75.0,0.8,0.5,1.3,0.2,0.2,0.3,0.2,0.7,4.9,0,0,-2.8
Jabari Smith,SAC,24,9,5,4,7.3,2.9,1.2,2.4,50.0,0.0,0.0,0.0,0.4,0.7,66.7,0.1,0.8,0.9,0.7,0.3,0.4,0.0,0.8,6.0,0,0,-0.3
Jacque Vaughn,UTA,26,82,53,29,19.8,6.1,2.1,4.8,43.3,0.4,1.0,38.5,1.6,2.0,78.0,0.2,1.6,1.8,3.9,1.6,0.6,0.0,1.8,14.5,1,0,-1.8
Jahidi White,WAS,25,68,17,51,23.6,8.6,3.0,6.0,49.8,0.0,0.0,0.0,2.6,4.6,56.7,2.6,5.0,7.7,0.3,2.0,0.5,1.6,3.1,22.5,10,0,-3.8
Jake Tsakalidis,PHX,22,57,36,21,16.6,4.5,1.8,3.8,47.0,0.0,0.0,0.0,0.9,1.6,59.3,1.5,2.8,4.2,0.3,1.2,0.2,1.0,2.4,12.3,0,0,-1.0
