PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
AJ Price,WAS,26,57,21,36,22.4,51.6,48.4,41.3,20.9,47.6,11.1,11.1,17.5,20.4,30.8,69.2,77.1,22.9,50.9,49.1
Aaron Brooks,HOU,28,53,20,33,18.8,57.6,42.4,49.5,16.5,39.9,9.8,10.6,13.0,33.0,21.5,78.5,64.0,36.0,36.4,63.6
Aaron Gray,TOR,28,42,14,28,12.2,100,0.0,80.7,6.7,0.0,0.0,19.3,15.1,73.9,70.8,29.2,0.0,0.0,70.8,29.2
Al Harrington,ORL,33,10,3,7,11.9,47.4,52.6,47.1,7.8,47.1,3.9,5.9,19.6,39.2,33.3,66.7,100,0.0,60.0,40.0
Al Horford,ATL,27,74,42,32,37.2,99.4,0.6,88.9,30.6,0.7,10.4,10.4,15.4,58.3,77.1,22.9,66.7,33.3,77.1,22.9
Al Jefferson,UTA,28,78,41,37,33.1,98.6,1.4,87.6,31.1,0.4,3.7,12.0,12.1,56.5,54.7,45.3,100,0.0,54.8,45.2
Al-Farouq Aminu,NOH,22,76,25,51,27.2,96.0,4.0,79.6,10.5,2.2,28.6,18.2,20.9,69.2,71.0,29.0,100,0.0,71.6,28.4
Alan Anderson,TOR,30,65,31,34,23.0,53.7,46.3,40.7,12.4,41.1,7.9,18.2,16.7,28.3,44.7,55.3,85.3,14.7,61.0,39.0
Alec Burks,UTA,21,64,32,32,17.8,76.3,23.7,57.6,19.5,22.0,22.0,20.4,22.6,38.1,42.3,57.7,84.8,15.2,50.9,49.1
Alexey Shved,MIN,24,77,30,47,23.9,54.6,45.4,45.4,13.2,38.3,17.3,16.2,24.1,32.2,33.1,66.9,70.6,29.4,46.6,53.4
Alonzo Gee,CLE,26,82,24,58,31.0,70.6,29.4,56.1,11.4,24.6,20.5,19.4,26.8,44.7,51.3,48.7,89.9,10.1,60.0,40.0
Amar'e Stoudemire,NYK,30,29,16,13,23.5,100,0.0,74.6,8.2,0.0,5.8,25.4,18.4,66.3,59.7,40.3,0.0,0.0,59.7,40.3
Amir Johnson,TOR,26,81,34,47,28.7,97.9,2.1,81.4,13.5,1.8,9.3,16.7,17.7,67.9,71.0,29.0,100,0.0,71.4,28.6
Anderson Varejao,CLE,30,25,5,20,36.0,98.3,1.7,78.2,19.8,0.0,7.1,21.8,15.3,58.4,69.6,30.4,0.0,0.0,69.6,30.4
Andray Blatche,BKN,26,82,49,33,19.0,96.7,3.3,81.4,16.4,1.1,8.4,17.6,20.0,65.0,46.1,53.9,66.7,33.3,46.2,53.8
Andre Drummond,DET,19,60,23,37,20.7,99.4,0.6,87.0,0.8,0.6,10.9,12.4,20.4,86.1,62.3,37.7,0.0,100,62.0,38.0
Andre Iguodala,DEN,29,80,57,23,34.7,67.3,32.7,58.8,12.7,26.3,25.4,14.9,25.0,46.1,54.1,45.9,80.2,19.8,60.1,39.9
