PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
AJ Price,CLE,28,26,11,15,12.4,58.4,41.6,54.1,31.6,33.8,3.8,12.0,21.1,22.6,11.1,88.9,66.7,33.3,27.5,72.5
Aaron Brooks,CHI,30,82,50,32,23.0,61.7,38.3,46.8,10.5,38.1,9.5,15.2,7.1,36.3,12.6,87.4,61.2,38.8,29.7,70.3
Aaron Gordon,ORL,19,47,14,33,17.0,76.9,23.1,65.8,4.1,16.0,21.0,18.1,25.1,61.7,48.8,51.3,92.3,7.7,54.8,45.2
Adreian Payne,MIN,24,32,7,25,23.1,95.9,4.1,84.5,31.0,1.4,2.8,14.1,13.6,53.5,63.3,36.7,100,0.0,63.7,36.3
Al Horford,ATL,29,76,56,20,30.5,96.3,3.7,87.9,35.6,2.9,8.2,9.3,12.4,52.2,78.9,21.1,90.9,9.1,79.2,20.8
Al Jefferson,CHA,30,65,25,40,30.6,99.5,0.5,89.5,26.2,0.6,2.3,10.0,12.1,63.2,59.7,40.3,50.0,50.0,59.7,40.3
Al-Farouq Aminu,DAL,24,74,45,29,18.5,65.3,34.7,54.9,3.9,24.8,20.9,20.4,26.5,51.0,67.3,32.7,100,0.0,74.8,25.2
Alan Anderson,BKN,32,74,35,39,23.6,52.3,47.7,44.8,11.0,40.2,8.3,15.0,13.6,33.8,54.1,45.9,82.2,17.8,64.6,35.4
Alec Burks,UTA,23,27,9,18,33.3,77.3,22.7,50.8,18.2,20.9,20.1,28.3,13.9,32.6,31.6,68.4,76.9,23.1,41.3,58.7
Alex Kirk,CLE,23,5,2,3,2.8,100,0.0,50.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,100,0.0,0.0,0.0,100
Alex Len,PHX,22,69,35,34,22.0,99.2,0.8,82.4,13.4,0.7,6.0,16.9,13.7,69.0,66.3,33.7,100,0.0,66.5,33.5
Alexey Shved,NYK,26,42,10,32,18.3,58.5,41.5,39.6,6.0,32.5,19.6,27.9,13.8,33.6,30.2,69.8,68.1,31.9,43.6,56.4
Alexis Ajinca,NOP,27,68,41,27,14.1,100,0.0,81.7,22.1,0.0,2.0,18.3,8.8,59.6,61.3,38.7,0.0,0.0,61.3,38.7
Allen Crabbe,POR,23,51,36,15,13.4,44.4,55.6,39.3,6.0,53.6,20.2,7.1,24.4,33.3,84.8,15.2,100,0.0,92.1,7.9
Alonzo Gee,POR,28,54,21,33,12.2,81.2,18.8,61.4,3.3,16.2,33.2,22.4,28.6,58.1,47.3,52.7,100,0.0,55.2,44.8
Amar'e Stoudemire,DAL,32,59,19,40,21.1,99.2,0.8,80.3,10.9,0.0,2.9,19.7,14.6,69.4,46.9,53.1,0.0,0.0,46.9,53.1
Amir Johnson,TOR,28,75,44,31,26.4,91.1,8.9,80.4,4.0,8.2,8.9,11.4,11.7,76.4,68.5,31.5,100,0.0,70.5,29.5
Anderson Varejao,CLE,32,26,16,10,24.4,99.0,1.0,87.1,20.4,0.0,9.4,12.9,12.2,66.7,88.3,11.7,0.0,0.0,88.3,11.7
Andre Dawkins,MIA,23,4,2,2,5.4,0.0,100,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,100,0.0
Andre Drummond,DET,21,82,32,50,30.5,99.8,0.2,87.4,1.2,0.0,14.5,12.6,14.5,86.2,57.9,42.1,0.0,0.0,57.9,42.1
Andre Iguodala,GSW,31,77,64,13,26.9,57.3,42.7,52.0,11.6,36.8,29.6,11.3,26.0,40.4,64.3,35.7,90.5,9.5,72.7,27.3
Andre Miller,SAC,39,81,44,37,15.5,88.3,11.7,77.7,18.0,5.9,6.5,16.3,11.8,59.7,29.0,71.0,71.4,28.6,31.0,69.0
Andre Roberson,OKC,23,67,41,26,19.2,57.7,42.3,62.3,0.9,27.6,25.0,10.1,23.2,61.4,76.1,23.9,95.2,4.8,80.4,19.6
Andrea Bargnani,NYK,29,29,5,24,27.1,88.6,11.4,69.3,34.0,10.5,3.3,20.2,9.8,35.3,68.5,31.5,100,0.0,71.3,28.7
Andrei Kirilenko,BKN,34,7,3,4,5.2,100,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Bogut,GSW,30,67,58,9,23.6,100,0.0,94.8,1.9,0.0,2.6,5.2,14.0,92.9,66.0,34.0,0.0,0.0,66.0,34.0
Andrew Nicholson,ORL,25,40,14,26,12.3,78.4,21.6,72.2,33.0,20.1,1.5,7.7,15.5,39.2,74.3,25.7,92.3,7.7,77.1,22.9
Andrew Wiggins,MIN,20,82,16,66,36.2,88.9,11.1,66.0,19.9,8.4,13.0,25.5,19.3,46.1,48.9,51.1,87.2,12.8,51.9,48.1
Anthony Bennett,MIN,22,57,12,45,15.7,92.3,7.7,79.2,32.9,7.0,10.4,13.8,18.1,46.3,75.4,24.6,100,0.0,76.8,23.2
Anthony Davis,NOP,22,68,39,29,36.1,99.0,1.0,77.4,28.0,0.2,10.6,22.4,14.6,49.4,71.5,28.5,100,0.0,71.5,28.5
Anthony Morrow,OKC,29,74,42,32,24.4,47.2,52.8,36.5,17.0,53.5,17.0,10.0,15.9,19.5,59.0,41.0,97.2,2.8,77.9,22.1
Anthony Tolliver,DET,30,76,36,40,18.9,26.2,73.8,22.8,3.7,66.0,8.7,11.2,20.5,19.1,76.4,23.6,100,0.0,91.9,8.1
Archie Goodwin,PHX,20,41,16,25,13.0,79.6,20.4,58.0,4.3,15.6,23.4,26.4,19.5,53.7,35.8,64.2,91.7,8.3,44.3,55.7
Arinze Onuaku,MIN,27,6,0,6,11.4,100,0.0,88.9,0.0,0.0,7.4,11.1,14.8,88.9,75.0,25.0,0.0,0.0,75.0,25.0
Aron Baynes,SAS,28,70,49,21,16.0,98.8,1.2,79.8,10.4,0.7,5.0,19.5,17.4,69.4,79.3,20.7,100,0.0,79.5,20.5
Arron Afflalo,POR,29,78,35,43,32.1,62.3,37.7,49.7,25.1,34.2,9.9,16.1,14.3,24.5,54.9,45.1,95.8,4.2,67.7,32.3
Austin Daye,ATL,27,34,17,17,10.1,49.6,50.4,40.3,23.3,55.8,6.2,3.9,17.1,17.1,57.7,42.3,95.8,4.2,76.0,24.0
Austin Rivers,LAC,22,76,46,30,20.6,73.6,26.4,61.9,11.3,22.1,14.7,16.0,21.3,50.6,37.8,62.2,89.7,10.3,47.8,52.2
Avery Bradley,BOS,24,77,37,40,31.5,65.3,34.7,57.9,34.0,34.7,16.5,7.4,18.3,23.9,66.1,33.9,89.5,10.5,72.8,27.2
Ben Gordon,ORL,32,56,17,39,14.1,67.1,32.9,53.9,29.8,30.1,8.6,16.0,12.9,24.1,33.0,67.0,71.4,28.6,43.4,56.6
Ben McLemore,SAC,22,82,29,53,32.6,52.9,47.1,44.8,13.3,42.2,24.5,13.1,18.7,31.5,62.8,37.2,91.4,8.6,73.8,26.2
Beno Udrih,MEM,32,79,55,24,18.9,80.8,19.2,72.7,37.7,12.9,11.9,14.4,15.0,35.0,42.3,57.7,88.5,11.5,47.2,52.8
Bernard James,DAL,30,16,6,10,9.9,100,0.0,54.5,0.0,0.0,9.1,45.5,22.7,54.5,83.3,16.7,0.0,0.0,83.3,16.7
Bismack Biyombo,CHA,22,64,26,38,19.4,100,0.0,66.4,0.7,0.0,4.6,33.6,6.6,65.8,56.4,43.6,0.0,0.0,56.4,43.6
Blake Griffin,LAC,26,67,47,20,35.2,97.8,2.2,76.8,28.5,2.0,14.2,21.2,15.0,48.3,67.2,32.8,80.0,20.0,67.4,32.6
Bojan Bogdanovic,BKN,26,78,36,42,23.8,55.6,44.4,48.6,8.0,39.0,16.7,12.4,20.1,40.6,63.5,36.5,94.5,5.5,74.3,25.7
Boris Diaw,SAS,33,81,55,26,24.5,73.3,26.7,66.9,11.3,22.9,8.2,10.2,13.0,55.6,54.0,46.0,96.3,3.7,61.9,38.1
Bradley Beal,WAS,22,63,37,26,33.5,69.6,30.4,53.4,22.2,33.1,20.1,13.5,16.3,31.2,55.3,44.7,85.8,14.2,64.2,35.8
Brandan Wright,PHX,27,75,37,38,19.3,99.2,0.8,85.7,3.3,0.0,12.3,14.3,16.7,82.4,73.8,26.2,0.0,0.0,73.8,26.2
Brandon Bass,BOS,30,82,40,42,23.5,95.3,4.7,77.4,28.4,3.1,9.9,19.5,16.7,49.0,69.0,31.0,100,0.0,69.8,30.2
Brandon Davies,PHI,23,27,6,21,15.7,75.2,24.8,66.2,19.7,16.9,8.5,16.9,16.2,46.5,66.0,34.0,87.5,12.5,69.1,30.9
Brandon Jennings,DET,25,41,17,24,28.6,61.1,38.9,44.9,13.0,36.1,17.6,19.0,19.3,32.0,26.1,73.9,46.1,53.9,33.0,67.0
Brandon Knight,PHX,23,63,33,30,32.3,63.9,36.1,46.7,15.3,35.0,20.5,18.2,19.1,31.4,29.6,70.4,65.6,34.4,41.6,58.4
Brandon Rush,GSW,29,33,27,6,8.2,50.0,50.0,53.3,20.0,30.0,6.7,16.7,13.3,33.3,25.0,75.0,100,0.0,45.5,54.5
Brendan Haywood,CLE,35,22,14,8,5.4,100,0.0,80.0,22.9,0.0,0.0,20.0,11.4,57.1,78.6,21.4,0.0,0.0,78.6,21.4
Brian Roberts,CHA,29,72,30,42,18.5,57.3,42.7,47.5,29.6,38.8,8.3,13.8,12.5,17.9,40.4,59.6,71.0,29.0,51.1,48.9
Brook Lopez,BKN,27,72,34,38,29.2,99.0,1.0,81.7,21.5,0.2,2.4,18.0,13.1,60.2,64.8,35.2,100,0.0,64.8,35.2
Bruno Caboclo,TOR,19,8,7,1,2.9,75.0,25.0,40.0,0.0,60.0,40.0,0.0,0.0,40.0,100,0.0,100,0.0,100,0.0
Bryce Cotton,UTA,22,15,9,6,10.6,71.0,29.0,55.0,30.0,26.3,20.0,18.8,21.3,25.0,31.8,68.2,71.4,28.6,41.4,58.6
C.J. Watson,IND,31,57,25,32,24.9,58.0,42.0,38.9,18.2,36.8,17.4,24.2,18.4,20.7,31.5,68.5,77.1,22.9,49.2,50.8
CJ McCollum,POR,23,62,37,25,15.7,61.9,38.1,49.1,20.3,38.9,16.7,12.0,19.8,28.8,28.8,71.2,85.5,14.5,48.4,51.6
CJ Miles,IND,28,70,31,39,26.3,46.1,53.9,37.2,15.3,49.0,13.4,13.8,16.6,21.9,63.4,36.6,90.9,9.1,76.3,23.7
CJ Wilcox,LAC,24,21,15,6,4.8,50.0,50.0,43.9,19.5,51.2,9.8,4.9,19.5,24.4,66.7,33.3,85.7,14.3,75.0,25.0
Cameron Bairstow,CHI,24,18,12,6,3.5,100,0.0,60.0,40.0,0.0,0.0,40.0,40.0,20.0,66.7,33.3,0.0,0.0,66.7,33.3
Carl Landry,SAC,31,70,26,44,17.0,100,0.0,75.5,27.4,0.0,5.6,24.5,8.9,48.1,71.6,28.4,0.0,0.0,71.6,28.4
Carlos Boozer,LAL,33,71,18,53,23.8,100,0.0,88.8,29.4,0.0,9.0,11.2,12.7,59.3,66.3,33.7,0.0,0.0,66.3,33.7
Carmelo Anthony,NYK,31,40,10,30,35.7,77.8,22.2,61.5,32.5,18.9,8.9,19.6,14.5,29.0,38.0,62.0,78.7,21.3,45.0,55.0
Caron Butler,DET,35,78,30,48,20.8,44.7,55.3,33.9,25.7,54.1,7.8,12.0,16.7,8.3,67.9,32.1,92.8,7.2,80.7,19.3
Cartier Martin,DET,30,23,7,16,8.6,37.7,62.3,50.0,27.8,50.0,5.6,0.0,30.6,22.2,66.7,33.3,83.3,16.7,73.3,26.7
Chandler Parsons,DAL,26,66,41,25,33.1,58.1,41.9,48.4,7.7,38.2,21.1,13.4,21.0,40.7,44.6,55.4,91.7,8.3,60.8,39.2
Channing Frye,ORL,32,75,23,52,24.9,29.0,71.0,20.0,12.4,74.3,3.5,5.6,13.1,7.7,63.6,36.4,97.8,2.2,88.0,12.0
Charlie Villanueva,DAL,30,64,37,27,10.6,39.0,61.0,33.3,10.4,61.8,9.9,5.0,17.6,22.8,67.2,32.8,98.8,1.2,84.7,15.3
Chase Budinger,MIN,27,67,8,59,19.2,63.3,36.7,51.2,12.7,34.1,11.4,14.7,20.6,38.5,66.7,33.3,100,0.0,76.9,23.1
Chris Andersen,MIA,36,60,27,33,18.9,93.7,6.3,72.5,6.3,3.8,5.9,23.8,12.5,66.3,78.4,21.6,100,0.0,79.2,20.8
Chris Bosh,MIA,31,44,19,25,35.4,77.4,22.6,60.3,34.5,20.4,2.2,19.3,14.4,25.9,51.8,48.2,98.4,1.6,60.3,39.7
Chris Copeland,IND,31,50,19,31,16.5,46.1,53.9,38.8,5.2,50.5,4.2,10.7,12.9,33.7,31.7,68.3,96.2,3.8,61.6,38.4
Chris Douglas-Roberts,LAC,28,12,5,7,8.5,66.7,33.3,42.1,0.0,15.8,31.6,42.1,31.6,42.1,50.0,50.0,100,0.0,60.0,40.0
Chris Johnson,UTA,25,29,9,20,18.2,38.3,61.7,41.0,4.8,50.6,27.7,8.4,21.1,36.1,73.5,26.5,92.9,7.1,82.3,17.7
Chris Kaman,POR,33,74,47,27,18.9,100,0.0,88.7,26.0,0.0,2.5,11.3,14.1,62.7,62.9,37.1,0.0,0.0,62.9,37.1
Chris Paul,LAC,30,82,56,26,34.8,70.2,29.8,54.9,32.1,26.7,10.7,18.5,11.7,22.8,11.7,88.3,42.4,57.6,19.2,80.8
Chuck Hayes,TOR,32,29,17,12,8.8,100,0.0,88.0,0.0,0.0,0.0,12.0,8.0,88.0,90.9,9.1,0.0,0.0,90.9,9.1
Cleanthony Early,NYK,24,39,6,33,16.6,60.7,39.3,51.4,11.4,31.4,13.3,17.1,22.4,40.0,59.3,40.7,90.9,9.1,68.4,31.6
Clint Capela,HOU,21,12,8,4,7.5,100,0.0,87.5,0.0,0.0,0.0,12.5,18.8,87.5,92.9,7.1,0.0,0.0,92.9,7.1
Cody Zeller,CHA,22,62,27,35,24.0,99.7,0.3,72.5,21.6,0.6,7.6,26.9,12.1,50.8,84.8,15.2,100,0.0,84.9,15.1
Cole Aldrich,NYK,26,61,11,50,16.0,100,0.0,85.2,4.1,0.0,0.3,14.8,12.4,81.1,65.3,34.7,0.0,0.0,65.3,34.7
Corey Brewer,HOU,29,80,42,38,26.1,70.8,29.2,61.1,8.1,20.6,36.1,18.3,24.4,53.0,65.7,34.3,96.8,3.2,71.4,28.6
Cory Jefferson,BKN,24,50,18,32,10.6,91.0,9.0,79.8,26.2,3.3,6.6,16.9,18.0,53.6,53.4,46.6,100,0.0,54.7,45.3
Cory Joseph,SAS,23,79,53,26,18.3,89.3,10.7,71.4,19.8,9.0,16.6,19.6,12.7,51.6,40.3,59.7,93.8,6.3,44.4,55.6
Courtney Lee,MEM,29,77,51,26,30.6,65.2,34.8,51.0,26.8,34.7,16.6,14.3,22.5,24.2,60.1,39.9,98.9,1.1,72.2,27.8
D.J. Augustin,OKC,27,82,37,45,23.9,62.0,38.0,45.0,8.8,32.0,16.0,22.9,12.7,36.3,15.4,84.6,59.0,41.0,29.5,70.5
Dahntay Jones,LAC,34,33,23,10,3.7,81.0,19.0,57.1,9.5,0.0,23.8,42.9,23.8,47.6,100,0.0,0.0,0.0,100,0.0
Damian Lillard,POR,24,82,51,31,35.7,57.9,42.1,45.8,11.7,34.2,11.1,20.0,13.4,34.1,24.1,75.9,51.0,49.0,33.1,66.9
Damjan Rudez,IND,29,68,28,40,15.4,35.4,64.6,31.0,19.2,64.1,9.6,5.0,15.5,11.8,76.0,24.0,95.7,4.3,87.4,12.6
Danilo Gallinari,DEN,26,59,23,36,24.2,47.0,53.0,33.0,12.8,43.7,10.1,23.3,14.3,20.2,43.8,56.2,87.9,12.1,64.5,35.5
Danny Granger,PHX,32,30,11,19,20.4,48.1,51.9,37.2,17.0,47.9,5.3,14.9,9.0,20.2,57.1,42.9,93.3,6.7,73.8,26.2
Danny Green,SAS,28,81,55,26,28.5,38.1,61.9,27.7,8.2,60.6,16.5,11.7,16.2,19.5,64.9,35.1,93.7,6.3,82.0,18.0
Dante Cunningham,NOP,28,66,37,29,25.0,97.1,2.9,90.6,51.8,0.9,13.5,8.5,13.2,38.8,92.9,7.1,100,0.0,92.9,7.1
Dante Exum,UTA,19,82,38,44,22.2,36.5,63.5,31.6,5.6,63.4,13.5,5.1,13.5,26.0,46.8,53.2,94.0,6.0,73.8,26.2
Darius Miller,NOP,25,5,1,4,8.7,85.7,14.3,100,0.0,0.0,0.0,0.0,0.0,100,0.0,100,0.0,0.0,0.0,100
Darius Morris,BKN,24,38,14,24,7.9,68.9,31.1,69.9,12.0,25.3,19.3,4.8,12.0,57.8,24.1,75.9,85.7,14.3,36.1,63.9
Darrell Arthur,DEN,27,58,22,36,17.0,71.4,28.6,67.5,43.5,20.4,10.7,12.0,15.7,24.1,79.1,20.9,96.2,3.8,81.9,18.1
Darren Collison,SAC,27,45,16,29,34.8,70.7,29.3,55.2,23.4,24.8,25.0,20.0,17.9,31.7,22.5,77.5,65.0,35.0,32.3,67.7
David Lee,GSW,32,49,37,12,18.5,99.4,0.6,82.5,12.4,0.0,7.7,17.5,14.2,70.1,70.6,29.4,0.0,0.0,70.6,29.4
David Stockton,SAC,24,3,1,2,11.0,66.7,33.3,25.0,0.0,37.5,25.0,37.5,25.0,25.0,0.0,100,100,0.0,50.0,50.0
David Wear,SAC,24,2,0,2,3.5,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David West,IND,34,66,32,34,28.7,97.1,2.9,83.0,48.6,1.6,2.3,15.5,13.0,34.3,74.0,26.0,100,0.0,74.3,25.7
