PLAYER,TEAM,AGE,GP,W,L,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
Monte Morris,DEN,24,14,7,7,224,1.6,1.3,3.0,7.1,6.9,10.4,5.8,38.2,0.2,1.3,2.4,1.6
Montrezl Harrell,LAC,25,6,2,4,158,4.6,3.7,2.1,20.1,15.5,13.7,16.2,35.2,0.9,0.9,4.3,5.0
Myles Turner,IND,23,4,0,4,126,0.6,2.3,0.0,3.4,12.6,6.6,14.9,24.6,2.0,0.0,4.0,2.9
Nene,HOU,36,7,3,4,53,1.4,6.8,0.0,12.3,15.7,6.8,12.3,43.6,1.4,0.0,4.8,4.1
Nerlens Noel,OKC,25,5,1,4,60,2.4,6.0,1.2,14.3,14.3,12.5,4.8,27.5,1.8,1.2,5.4,2.4
Nikola Jokic,DEN,24,14,7,7,556,1.4,4.6,0.4,12.2,7.8,10.3,6.7,32.3,0.8,0.7,3.5,5.2
Nikola Mirotic,MIL,28,14,10,4,298,1.2,3.1,1.1,4.1,12.9,5.1,13.4,27.6,0.4,0.6,3.0,2.5
Nikola Vucevic,ORL,28,5,1,4,147,4.2,1.5,1.0,6.8,14.7,9.5,11.2,42.0,1.2,1.0,2.9,3.9
Norman Powell,TOR,26,23,15,8,366,2.0,1.1,3.0,5.7,9.5,8.6,9.5,28.3,0.0,1.1,3.0,1.8
PJ Tucker,HOU,34,11,6,5,426,3.1,1.5,0.6,2.4,16.0,10.2,10.8,33.8,0.7,0.3,3.0,2.5
Pascal Siakam,TOR,25,24,16,8,891,3.7,1.4,3.5,10.8,10.7,9.3,11.8,27.5,0.7,1.1,2.7,2.4
Pat Connaughton,MIL,26,15,10,5,324,1.9,1.2,1.6,4.7,11.7,7.8,9.8,26.2,1.4,0.4,1.6,0.9
