PLAYER,TEAM,AGE,GP,W,L,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
Giannis Antetokounmpo,MIL,24,15,10,5,514,3.6,3.5,7.7,14.9,9.4,7.8,9.2,25.8,2.1,1.3,3.4,8.8
Glenn Robinson III,DET,25,3,0,3,36,7.1,2.0,2.0,4.0,3.0,7.1,15.2,38.4,0.0,1.0,5.1,2.0
Gordon Hayward,BOS,29,9,5,4,267,1.5,0.5,1.8,4.3,12.6,9.5,13.0,30.8,0.4,0.4,2.2,2.2
Grayson Allen,UTA,23,2,0,2,14,5.1,0.0,0.0,10.2,5.1,12.8,17.9,30.7,0.0,0.0,0.0,10.2
Greg Monroe,PHI,29,10,6,4,90,2.0,5.2,0.8,11.2,16.1,8.4,22.9,41.0,1.2,1.6,4.4,2.0
Guerschon Yabusele,BOS,23,4,2,2,14,7.7,0.0,7.7,10.3,10.3,10.3,15.5,36.1,2.6,2.6,7.7,10.3
Iman Shumpert,HOU,29,8,4,4,109,1.0,2.0,1.0,0.7,11.5,11.2,14.1,32.9,0.0,0.3,3.3,1.3
Isaiah Hartenstein,HOU,21,2,1,1,2,0.0,31.8,0.0,63.6,0.0,0.0,31.8,63.6,0.0,0.0,15.9,0.0
Ish Smith,DET,30,4,0,4,81,1.3,0.0,0.0,5.3,11.1,8.0,14.3,34.7,0.4,0.4,3.6,1.3
Ivica Zubac,LAC,22,4,1,3,39,1.9,10.3,0.0,14.9,11.2,4.7,15.8,26.1,1.9,1.9,4.7,2.8
JJ Redick,PHI,35,12,7,5,375,1.9,0.6,1.4,0.8,13.5,8.1,10.0,30.7,0.3,0.0,3.1,1.9
JaMychal Green,LAC,29,6,2,4,141,3.3,1.3,2.6,4.6,12.0,9.7,10.2,34.3,0.0,1.5,5.6,2.6
Jacob Evans,GSW,22,7,5,2,18,0.0,0.0,0.0,0.0,4.1,18.4,8.2,45.1,0.0,0.0,2.0,2.0
Jae Crowder,UTA,28,5,1,4,130,3.0,3.6,1.4,4.4,13.0,8.0,6.9,25.5,0.0,0.8,1.9,3.3
Jake Layman,POR,25,6,3,3,20,0.0,0.0,0.0,3.6,8.9,3.6,10.7,42.7,0.0,0.0,5.3,3.6
Jakob Poeltl,SAS,23,7,3,4,177,1.2,2.4,0.4,9.4,7.1,13.0,9.2,34.6,1.0,0.2,5.3,2.2
Jamal Murray,DEN,22,14,7,7,508,2.6,2.4,1.3,8.2,7.2,9.8,6.9,32.4,0.1,0.7,1.7,3.3
James Ennis III,PHI,28,11,7,4,232,2.0,3.3,1.7,6.2,17.4,8.4,14.3,35.7,0.5,0.6,4.8,3.0
James Harden,HOU,29,11,6,5,424,4.3,2.0,1.4,10.0,16.0,10.2,12.2,34.5,0.8,1.9,3.5,5.7
Jared Dudley,BKN,33,4,1,3,82,2.2,0.0,0.0,0.0,12.7,10.9,9.2,35.9,0.4,0.0,4.4,2.6
Jarell Martin,ORL,25,3,0,3,18,0.0,5.9,0.0,7.9,5.9,4.0,0.0,7.9,2.0,0.0,2.0,4.0
Jarred Vanderbilt,DEN,20,3,1,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,7.4,0.0,0.0,0.0
Jarrett Allen,BKN,21,5,1,4,110,4.2,3.6,0.7,12.4,17.0,13.1,7.8,44.4,1.0,1.0,4.2,6.2
Jaylen Brown,BOS,22,9,5,4,274,2.5,1.2,3.6,7.1,12.4,9.2,15.9,30.3,0.3,0.7,3.9,2.9
Jayson Tatum,BOS,21,9,5,4,295,2.8,2.0,4.6,6.1,13.2,6.2,13.8,28.8,0.9,1.1,2.6,3.4
Jerami Grant,OKC,25,5,1,4,176,2.0,1.2,1.4,4.1,13.5,11.7,11.7,36.8,2.0,0.4,2.7,3.1
Jeremy Lin,TOR,30,8,7,1,27,4.0,2.7,0.0,0.0,9.4,13.4,10.7,37.5,0.0,2.7,2.7,2.7
Jerian Grant,ORL,26,3,0,3,14,0.0,0.0,0.0,5.1,0.0,5.1,0.0,5.1,0.0,0.0,2.6,7.7
Jerome Robinson,LAC,22,5,1,4,46,1.6,1.6,3.1,3.1,6.2,3.1,5.5,26.5,0.0,0.8,3.1,2.3
Jimmy Butler,PHI,29,12,7,5,421,3.0,3.1,2.7,9.4,13.3,8.3,10.9,31.1,0.6,0.4,1.7,4.7
Jodie Meeks,TOR,31,14,9,5,67,0.0,1.6,0.0,4.3,13.5,9.2,8.1,34.6,0.5,0.5,3.8,1.1
