PLAYER,TEAM,GP,W,L,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
"Nurkic, Jusuf",DEN,45,20,25,17.9,15.6,33.5,46.4,3.7,9.2,40.1,5.9,7.6,78.1,3.7,11.9,15.6,8.7,4.4,3.5,2.3,1.9,8.4,7.2,40.8,3.4
"Nurkic, Jusuf",POR,20,14,6,29.2,24.3,54.1,44.9,5.0,14.8,33.4,9.9,13.4,73.9,6.4,17.7,24.0,12.6,7.6,4.8,2.9,3.8,13.3,12.1,63.5,-4.9
"Nwaba, David",LAL,20,5,15,19.9,15.7,34.6,45.2,3.8,12.7,30.0,7.1,9.4,75.5,3.7,13.4,17.1,10.0,6.9,3.5,2.6,1.7,7.3,8.5,42.2,-0.5
"O'Bryant III, Johnny",CHA,4,2,2,8.6,6.5,13.8,47.3,2.0,4.8,42.1,4.0,4.8,84.2,1.8,5.3,7.0,4.0,2.8,1.3,0.8,0.3,3.0,3.5,19.0,1.5
"O'Bryant III, Johnny",DEN,7,2,5,6.6,7.0,11.9,59.0,1.9,3.9,48.1,1.6,2.1,73.3,0.9,4.0,4.9,4.3,1.9,1.6,0.4,0.1,2.0,2.4,17.4,2.9
"O'Quinn, Kyle",NYK,79,29,50,15.6,12.5,28.0,44.8,3.2,8.8,36.1,6.2,7.9,78.8,3.8,10.4,14.2,7.1,4.0,2.3,1.6,2.2,5.8,6.6,34.5,2.0
"Ochefu, Daniel",WAS,19,12,7,3.9,3.3,6.3,52.5,0.8,2.0,42.1,1.7,2.6,67.3,1.0,2.6,3.6,1.8,1.3,0.4,0.5,0.2,1.4,1.7,9.2,1.6
"Okafor, Jahlil",PHI,50,15,35,22.7,19.4,40.3,48.1,3.9,10.7,36.6,8.3,10.7,77.6,4.7,17.2,22.0,11.0,6.3,3.6,3.1,2.0,8.6,9.4,51.0,6.4
"Oladipo, Victor",OKC,67,39,28,33.2,26.0,58.2,44.7,6.2,17.9,34.9,12.7,16.9,75.0,6.1,21.9,28.0,14.4,9.9,6.4,3.8,3.5,13.8,14.3,70.9,-2.6
"Olynyk, Kelly",BOS,75,49,26,20.5,16.3,36.3,44.7,3.9,11.6,33.5,7.9,10.3,76.3,4.5,14.6,19.1,9.6,6.1,3.4,2.3,1.5,8.7,8.9,44.2,-0.2
"Onuaku, Arinze",ORL,8,3,5,3.5,3.0,5.8,52.2,0.6,2.1,29.4,0.9,1.3,70.0,1.0,3.1,4.1,1.8,1.3,0.4,0.0,0.3,0.8,1.0,7.5,1.9
"Onuaku, Chinanu",HOU,5,2,3,10.3,10.8,19.6,55.1,3.2,6.4,50.0,5.8,7.4,78.4,3.0,6.4,9.4,6.4,2.0,2.8,0.6,0.4,2.8,4.8,30.6,9.0
"Oubre Jr., Kelly",WAS,79,47,32,20.3,16.4,35.9,45.6,3.9,11.4,34.6,8.2,10.8,75.9,4.5,13.4,17.9,9.0,6.4,3.2,1.9,1.8,8.7,9.7,44.8,0.5
"Pachulia, Zaza",GSW,70,58,12,18.1,15.1,33.5,45.0,3.5,10.4,33.5,5.3,7.0,75.8,4.0,11.6,15.6,8.9,6.4,3.3,1.5,1.9,7.1,7.0,38.9,-6.0
"Papagiannis, Georgios",SAC,22,7,15,16.1,13.0,28.4,45.6,3.1,9.8,31.9,6.6,8.6,76.7,3.3,9.4,12.7,7.8,3.4,3.8,1.2,1.5,5.7,6.5,35.6,1.4
"Parker, Jabari",MIL,51,22,29,33.9,27.3,59.9,45.6,7.7,20.9,37.0,13.5,17.2,79.0,7.8,22.9,30.7,17.5,9.9,5.1,3.7,4.2,13.8,14.3,75.9,1.7
"Parker, Tony",SAS,63,46,17,25.2,19.3,43.4,44.6,4.3,11.9,36.1,7.5,9.6,78.7,5.1,16.1,21.2,11.6,6.7,3.6,2.1,3.3,9.9,8.7,50.5,-2.8
"Parsons, Chandler",MEM,34,18,16,19.8,15.5,32.4,47.7,3.9,10.6,37.3,6.9,9.6,72.4,3.6,14.1,17.8,9.0,5.9,3.0,1.7,1.4,7.2,8.9,41.8,1.4
"Patterson, Lamar",ATL,5,1,4,8.1,4.8,14.4,33.3,1.4,6.0,23.3,2.2,2.8,78.6,1.8,5.8,7.6,3.8,2.0,1.0,1.4,1.0,3.8,2.4,13.2,-2.6
"Patterson, Patrick",TOR,65,42,23,24.6,18.3,42.0,43.6,5.0,14.7,33.9,9.6,12.1,79.2,5.2,16.0,21.3,10.8,7.8,3.1,2.5,2.3,11.4,10.7,51.1,-5.3
"Paul, Chris",LAC,61,43,18,31.5,24.5,55.4,44.2,5.9,16.7,35.2,10.5,14.0,75.0,6.1,20.5,26.6,14.7,9.0,4.3,1.7,2.6,16.1,11.8,65.3,-9.5
"Payne, Adreian",MIN,18,5,13,7.5,4.9,11.6,42.1,0.9,3.6,26.2,4.6,5.9,76.6,1.9,5.1,7.0,3.0,2.6,1.3,0.7,0.9,3.4,4.1,15.3,-0.4
"Payne, Cameron",OKC,20,11,9,16.0,12.5,27.1,46.2,2.2,6.6,33.6,6.6,8.9,73.6,3.3,11.7,15.0,6.4,4.9,2.6,2.3,1.8,6.3,7.1,33.8,2.0
"Payne, Cameron",CHI,11,5,6,12.9,10.7,23.2,46.3,2.4,8.1,29.2,4.6,6.0,77.3,2.5,9.9,12.4,6.5,3.4,2.4,0.7,0.9,4.6,5.0,28.5,2.7
"Payton II, Gary",MIL,6,2,4,16.5,13.8,28.8,48.0,4.3,10.5,41.3,6.8,8.5,80.4,3.0,12.0,15.0,9.8,4.2,4.3,0.8,2.0,6.0,7.2,38.8,9.7
