PLAYER,TEAM,AGE,Restricted Area FGM,Restricted Area FGA,Restricted Area FG PCT,In The Paint (Non-RA) FGM,In The Paint (Non-RA) FGA,In The Paint (Non-RA) FG PCT,Mid-Range FGM,Mid-Range FGA,Mid-Range FG PCT,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG PCT,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG PCT,Corner 3 FGM,Corner 3 FGA,Corner 3 FG PCT,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG PCT
Aaron Brooks,MIN,33,0.3,0.6,46.7,0.1,0.3,28.6,0.3,0.6,50.0,0.1,0.2,33.3,0.2,0.2,100,0.3,0.4,75.0,0.3,0.8,33.3
Aaron Gordon,ORL,22,3.2,4.6,69.7,0.4,1.7,22.0,0.9,2.7,33.1,0.3,0.8,35.6,0.2,0.5,38.5,0.5,1.3,38.5,1.5,4.7,33.0
Aaron Harrison,DAL,23,0.6,1.0,55.6,0.2,0.4,50.0,0.3,1.4,23.1,0.1,1.0,11.1,0.1,0.6,20.0,0.2,1.6,12.5,0.8,3.2,24.1
Aaron Jackson,HOU,32,1.0,3.0,33.3,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,33.3
Abdel Nader,BOS,24,0.4,1.0,42.6,0.1,0.6,17.9,0.0,0.2,22.2,0.1,0.3,40.0,0.2,0.6,35.7,0.3,0.9,33.3,0.3,0.9,34.1
Adreian Payne,ORL,27,0.2,0.2,100,0.5,0.5,100,0.5,1.0,50.0,0.3,0.3,100,0.0,0.0,0.0,0.3,0.3,100,0.3,0.5,50.0
Al Horford,BOS,32,1.8,2.6,69.2,1.1,2.6,41.7,0.9,2.1,42.2,0.1,0.3,50.0,0.1,0.3,55.6,0.2,0.6,33.3,1.1,2.7,40.8
Al Jefferson,IND,33,1.1,1.8,59.4,1.1,1.9,58.8,0.9,2.1,44.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.1,0.0
Al-Farouq Aminu,POR,27,1.2,2.0,59.7,0.2,0.9,25.8,0.1,0.6,14.3,0.3,0.7,42.6,0.4,0.7,52.0,0.7,1.4,50.0,1.1,3.5,32.6
Alan Williams,PHX,25,0.8,1.4,57.1,0.6,2.0,30.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
