PLAYER,GP,W,L,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TOV_PCT,E_USG_PCT,E_PACE
Aaron Gordon,78,40,38,34,107.0,105.2,1.8,18.0,5.3,18.3,11.8,10.1,21.9,99.77
Aaron Holiday,50,31,19,13,107.5,100.9,6.6,21.2,0.9,10.0,5.7,9.7,21.4,102.83
Abdel Nader,61,38,23,11,97.7,107.6,-9.9,7.2,2.0,15.5,8.5,9.4,15.7,103.41
Al Horford,68,41,27,29,112.6,105.5,7.1,24.6,6.8,18.2,12.6,8.9,19.3,101.25
Al-Farouq Aminu,81,52,29,28,114.8,107.1,7.7,12.3,5.4,22.6,14.2,8.5,13.6,102.37
Alan Williams,5,1,4,5,114.6,93.3,21.2,16.0,13.3,41.7,28.8,5.3,22.7,108.17
Alec Burks,64,19,45,22,103.3,113.6,-10.3,17.6,2.3,17.0,9.4,8.9,19.2,100.01
Alex Abrines,31,21,10,19,101.3,99.4,2.0,10.2,0.8,7.4,4.1,7.1,12.3,104.62
Alex Caruso,25,8,17,21,105.2,101.7,3.6,24.1,4.0,8.9,6.5,13.1,19.0,103.17
Alex Len,77,28,49,20,105.4,110.2,-4.8,9.3,10.2,17.9,14.0,10.5,21.8,107.77
Alex Poythress,21,7,14,15,102.1,109.5,-7.4,13.7,9.7,17.3,13.3,10.5,14.4,106.82
Alfonzo McKinnie,72,53,19,14,109.9,108.0,1.9,8.7,8.3,17.3,12.8,8.4,13.5,103.33
Alize Johnson,14,9,5,5,113.3,114.7,-1.4,4.9,5.7,22.4,13.9,0.0,11.9,108.12
Allen Crabbe,43,19,24,26,105.5,106.6,-1.1,9.4,1.5,12.2,6.8,9.4,16.5,102.88
Allonzo Trier,64,13,51,23,101.6,108.6,-7.0,14.0,2.3,12.2,7.2,13.6,21.3,102.02
Amile Jefferson,12,9,3,6,130.9,120.3,10.6,12.8,8.8,26.8,16.9,4.3,12.9,99.39
Amir Johnson,51,32,19,10,107.3,110.4,-3.1,21.4,9.2,21.0,14.9,16.1,17.5,103.97
Andre Drummond,79,40,39,34,109.6,107.1,2.4,7.4,17.1,34.9,25.7,11.5,22.8,99.65
Andre Iguodala,68,47,21,23,114.4,104.3,10.1,36.0,3.4,13.4,8.6,8.7,10.4,102.81
Andre Ingram,4,1,3,4,99.2,87.0,12.2,0.0,7.1,6.3,6.7,14.3,19.3,107.44
Andrew Bogut,11,8,3,12,115.0,111.6,3.4,19.5,10.5,31.6,22.0,14.2,15.1,101.56
Andrew Harrison,17,6,11,11,105.9,109.0,-3.1,24.8,3.6,8.8,6.1,12.4,17.9,96.39
Andrew Wiggins,73,31,42,35,109.0,110.7,-1.7,11.1,3.5,11.1,7.4,8.3,24.4,102.89
Anfernee Simons,20,17,3,7,107.9,122.8,-14.9,13.8,2.5,7.5,5.1,11.7,24.8,103.27
Angel Delgado,2,0,2,7,75.1,68.1,7.1,0.0,9.5,16.7,12.1,0.0,15.8,106.62
Ante Zizic,59,13,46,18,105.9,110.5,-4.6,10.5,11.0,21.3,16.2,12.1,18.2,99.44
Anthony Davis,56,25,31,33,111.4,108.5,2.9,14.1,9.9,27.4,18.8,7.2,29.3,105.51
Anthony Tolliver,65,27,38,17,104.0,109.0,-5.0,12.5,1.4,16.0,8.5,9.8,12.5,102.64
Antonio Blakeney,57,14,43,15,102.6,111.4,-8.8,8.3,0.9,13.1,6.8,6.9,24.6,101.18
Aron Baynes,51,32,19,16,110.1,102.8,7.3,16.4,11.6,19.8,15.7,11.5,15.1,102.54
Austin Rivers,76,45,31,27,111.2,108.3,2.9,19.7,1.3,7.4,4.3,8.0,14.6,101.64
Avery Bradley,63,31,32,30,107.2,109.6,-2.5,17.5,2.5,7.1,4.9,10.2,16.3,102.09
BJ Johnson,7,2,5,7,104.3,121.4,-17.2,0.0,4.7,16.2,10.0,9.6,18.6,103.49
Bam Adebayo,82,39,43,23,104.8,104.2,0.6,20.7,9.5,24.9,17.2,13.6,16.2,99.76
Ben McLemore,19,7,12,8,107.9,111.8,-3.9,5.1,2.0,9.9,5.8,6.4,19.3,107.95
Ben Simmons,79,50,29,34,110.4,107.6,2.8,30.0,6.9,20.0,13.6,13.5,21.8,104.99
Billy Garrett,4,1,3,16,100.8,110.2,-9.4,18.5,0.0,4.3,2.3,5.3,22.1,101.10
Bismack Biyombo,54,24,30,15,104.9,111.0,-6.1,12.5,10.9,22.8,16.8,12.9,13.2,98.65
Blake Griffin,75,39,36,35,107.6,108.2,-0.5,18.0,4.0,20.4,11.9,11.3,30.0,100.15
Boban Marjanovic,58,31,27,12,105.7,105.6,0.1,12.5,13.8,25.3,19.9,13.7,22.8,103.80
Bobby Portis,50,14,36,26,109.5,114.0,-4.5,8.8,9.2,25.0,17.1,9.1,24.6,102.15
Bogdan Bogdanovic,70,32,38,28,108.0,108.6,-0.7,20.3,2.1,11.1,6.5,8.9,22.7,103.50
Bojan Bogdanovic,81,47,34,32,107.7,105.1,2.5,10.9,1.5,12.7,7.2,9.1,22.5,100.11
Bonzie Colson,8,6,2,12,107.4,117.7,-10.3,6.1,7.0,20.0,13.4,6.1,17.7,111.34
Brad Wanamaker,36,27,9,10,109.2,97.1,12.1,29.1,0.9,10.8,6.0,9.9,17.0,102.09
Bradley Beal,82,32,50,37,110.1,112.1,-2.0,18.1,3.1,11.7,7.4,9.0,28.3,104.12
Brandon Goodwin,16,10,6,4,110.2,102.7,7.5,31.2,1.8,4.1,2.9,6.7,23.1,101.14
Brandon Ingram,52,25,27,34,105.7,107.5,-1.8,13.5,2.4,12.7,7.7,11.3,23.1,105.83
Brandon Knight,39,17,22,19,102.8,115.5,-12.7,18.9,1.4,7.6,4.3,8.0,18.2,99.17
Brandon Sampson,14,3,11,15,108.3,115.9,-7.6,11.8,1.5,7.1,4.1,14.2,15.5,98.56
Brook Lopez,81,60,21,29,113.9,102.8,11.1,9.6,1.6,14.6,8.6,8.0,16.8,105.54
Bruce Brown,74,35,39,20,106.7,104.7,2.0,19.1,3.6,10.3,6.9,9.6,11.6,99.53
Bruno Caboclo,34,14,20,24,108.0,107.8,0.3,14.9,5.7,15.2,10.5,11.3,15.5,99.96
Bryn Forbes,82,48,34,28,110.3,108.9,1.5,16.2,0.9,10.8,5.8,7.4,17.6,99.58
Buddy Hield,82,39,43,32,108.8,108.7,0.0,11.4,4.1,12.2,8.1,8.1,25.0,105.86
C.J. Williams,15,4,11,9,96.9,112.1,-15.2,22.9,0.8,6.1,3.3,9.5,14.5,100.09
CJ McCollum,70,43,27,34,113.7,107.8,5.9,12.6,2.8,9.6,6.3,6.5,25.1,102.51
CJ Miles,53,33,20,16,103.0,105.5,-2.5,8.9,1.6,10.2,5.8,7.5,17.9,104.40
Caleb Swanigan,21,10,11,9,89.9,109.1,-19.2,12.8,9.6,26.0,17.8,20.9,17.5,102.73
