PLAYER,TEAM,GP,W,L,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
"Vucevic, Nikola",ORL,5,1,4,147,33.7,62.8,53.7,8.8,21.0,41.9,9.5,11.7,81.3,5.9,26.9,32.7,20.5,9.3,7.1,3.2,2.7,15.6,13.9,85.7,16.1
"Walker IV, Lonnie",SAS,6,3,3,21,24.0,53.1,45.2,5.1,20.5,25.0,5.1,8.6,60.0,3.4,30.8,34.2,8.6,13.7,0.0,3.4,1.7,13.7,8.6,58.2,-13.7
"Wallace, Tyrone",LAC,2,0,2,11,26.2,59.0,44.4,6.6,16.4,40.0,3.3,3.3,100,0.0,29.5,29.5,16.4,9.8,3.3,6.6,0.0,6.6,16.4,62.3,-29.5
"Wanamaker, Brad",BOS,4,2,2,17,31.4,77.4,40.5,10.5,37.7,27.8,14.7,16.7,87.5,14.7,33.5,48.1,20.9,14.7,6.3,2.1,4.2,20.9,12.6,87.9,12.6
"Westbrook, Russell",OKC,5,1,4,197,31.8,69.2,45.9,10.4,25.2,41.3,14.8,19.0,77.9,8.9,26.3,35.2,14.1,9.9,6.6,4.9,3.7,16.2,17.7,88.7,7.8
"White, Derrick",SAS,7,3,4,191,30.4,64.2,47.4,8.1,21.1,38.4,11.7,16.6,70.5,5.9,23.2,29.1,18.9,6.4,4.0,1.7,3.8,14.0,17.0,80.6,1.5
"Williams III, Robert",BOS,3,2,1,13,25.6,76.7,33.3,11.4,36.9,30.8,14.2,17.1,83.3,19.9,28.4,48.3,14.2,14.2,2.8,2.8,5.7,25.6,11.4,76.7,-2.8
"Williams, Lou",LAC,6,2,4,176,34.3,66.8,51.4,11.2,25.1,44.7,20.6,24.3,84.9,8.6,26.9,35.5,23.9,10.4,5.9,6.3,2.0,20.0,20.4,100.4,14.1
"Wilson, D.J.",MIL,8,6,2,43,31.2,60.6,51.4,9.3,21.1,44.0,14.3,19.4,73.9,2.5,30.3,32.9,21.9,12.6,8.4,4.2,2.5,13.5,17.7,85.9,17.7
"Yabusele, Guerschon",BOS,4,2,2,14,30.9,72.2,42.9,10.3,41.3,25.0,7.7,10.3,75.0,7.7,28.4,36.1,28.4,15.5,7.7,2.6,5.2,25.8,15.5,80.0,-2.6
"Young, Thaddeus",IND,4,0,4,130,27.3,59.3,46.0,9.1,21.3,42.9,8.6,11.3,75.6,4.4,29.0,33.4,16.8,13.0,4.1,1.9,3.3,15.2,12.4,72.3,1.1
"Zubac, Ivica",LAC,4,1,3,39,30.8,64.3,47.8,5.6,19.6,28.6,8.4,8.4,100,6.5,31.7,38.2,23.3,16.8,5.6,8.4,3.7,18.6,14.0,75.5,1.9
