PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
Lorenzen Wright,LAC,23,48,9,39,1134,10.1,3.8,8.3,45.8,0.0,0.0,0.0,2.6,3.7,69.2,4.5,6.9,11.5,1.0,1.5,0.8,1.1,5.1,29.8,6,0,-5.3
Loy Vaught,DET,31,37,21,16,482,9.5,4.4,11.6,38.1,0.0,0.1,0.0,0.7,1.0,64.3,2.7,8.2,10.9,0.8,1.3,1.1,0.4,4.0,27.2,0,0,-0.1
Luc Longley,PHX,30,39,19,20,930,13.1,5.4,11.2,48.3,0.0,0.0,0.0,2.3,2.9,77.6,2.3,6.3,8.6,1.7,2.1,0.9,0.8,4.6,29.1,4,0,2.0
Lucious Harris,NJN,28,36,13,23,602,11.5,4.4,10.8,40.3,0.7,3.0,22.0,2.2,2.9,75.0,1.3,2.8,4.0,1.9,1.1,1.1,0.4,3.1,22.6,0,0,2.8
Malik Rose,SAS,24,47,36,11,606,16.9,5.5,11.9,46.3,0.0,0.1,0.0,5.8,8.7,67.1,5.3,5.5,10.8,1.7,3.3,2.4,1.3,7.1,40.1,0,0,4.7
Malik Sealy,MIN,29,31,15,16,732,12.4,4.7,11.4,41.1,0.3,1.1,26.1,2.7,3.0,90.2,1.1,3.4,4.5,1.8,1.6,1.5,0.2,3.3,24.0,0,0,-2.5
Marcus Camby,NYK,25,46,27,19,946,12.5,5.2,9.9,52.1,0.0,0.0,0.0,2.2,3.9,55.3,3.9,5.7,9.6,0.5,1.5,1.1,2.8,5.0,35.0,4,0,-1.5
Mario Bennett,CHI,25,3,1,2,19,13.5,3.8,11.5,33.3,0.0,0.0,0.0,5.8,7.7,75.0,3.8,5.8,9.6,0.0,1.9,1.9,0.0,7.7,28.8,0,0,-19.2
Mario Elie,SAS,35,47,34,13,1292,12.7,4.3,9.2,47.1,1.1,3.0,37.4,2.9,3.3,86.6,1.0,2.8,3.8,2.5,1.7,1.3,0.3,2.5,24.1,0,0,7.0
Mark Baker,TOR,29,1,0,1,2,0.0,0.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,0.0,0.0,0.0,-22.7,0,0,-22.7
Mark Bryant,CHI,34,45,12,33,1204,12.2,5.0,10.4,48.3,0.0,0.0,0.0,2.1,3.3,64.5,2.8,4.2,6.9,1.4,2.0,1.0,0.5,4.5,25.1,0,0,-8.6
Mark Davis,MIA,26,4,2,2,35,9.2,2.0,6.1,33.3,0.0,0.0,0.0,5.1,6.1,83.3,2.0,5.1,7.1,1.0,7.1,1.0,0.0,12.2,15.2,0,0,-9.2
Mark Hendrickson,NJN,25,22,10,12,394,10.6,3.5,7.9,43.7,0.0,0.1,0.0,3.7,4.4,83.3,2.5,3.7,6.2,1.2,1.4,1.1,0.1,3.6,22.0,1,0,-2.4
Mark Jackson,IND,34,49,32,17,1380,9.7,3.6,8.6,41.9,0.8,2.7,31.1,1.7,2.1,82.3,0.9,3.9,4.8,10.1,2.6,1.1,0.1,1.5,31.5,3,1,5.1
Mark Macon,DET,30,7,2,5,70,4.6,2.1,10.3,20.0,0.5,1.5,33.3,0.0,0.0,0.0,1.5,1.0,2.6,2.1,3.1,2.6,0.5,3.1,17.0,0,0,4.6
Mark Pope,IND,26,4,3,1,25,2.9,1.4,10.0,14.3,0.0,5.7,0.0,0.0,1.4,0.0,2.9,2.9,5.7,0.0,1.4,0.0,0.0,8.6,8.3,0,0,-1.4
Mark Strickland,MIA,28,32,22,10,355,12.1,5.1,10.2,49.5,0.0,0.1,0.0,1.9,2.6,73.1,2.6,5.3,7.9,0.9,1.3,0.7,0.8,2.8,26.1,0,0,0.0
Mark West,ATL,38,49,31,18,494,4.4,1.6,4.3,37.3,0.0,0.0,0.0,1.2,3.3,35.6,3.6,5.5,9.1,0.9,1.2,0.3,1.6,5.8,21.2,0,0,-4.6
Marko Milic,PHX,22,11,8,3,53,10.9,5.5,13.7,40.0,0.0,0.7,0.0,0.0,0.0,0.0,2.0,1.4,3.4,1.4,4.1,2.0,0.7,4.8,21.2,0,0,-13.0
Marlon Garnett,BOS,23,24,9,15,205,9.0,2.6,9.0,29.4,1.1,4.0,26.1,2.6,3.5,75.0,0.5,3.2,3.7,3.2,2.1,0.9,0.2,3.2,19.2,0,0,-5.6
Marty Conlon,MIA,31,7,5,2,35,8.3,3.1,13.5,23.1,0.0,0.0,0.0,2.1,2.1,100,1.0,4.1,5.2,1.0,3.1,0.0,1.0,6.2,16.1,0,0,-2.1
Matt Bullard,HOU,32,41,24,17,412,10.2,3.8,10.0,37.7,2.1,5.4,38.7,0.6,0.9,70.0,0.8,2.9,3.7,1.6,1.2,1.1,0.3,2.4,20.2,0,0,-0.3
Matt Geiger,PHI,29,50,28,22,1539,15.8,6.2,13.0,47.9,0.0,0.1,20.0,3.3,4.1,79.7,3.2,5.3,8.5,1.4,2.4,0.9,0.9,3.7,31.1,7,0,3.8
Matt Harpring,ORL,23,50,33,17,1115,13.2,4.8,10.3,46.3,0.3,0.8,40.0,3.3,4.6,71.3,2.8,4.1,6.9,1.5,2.4,1.0,0.2,3.6,24.8,1,0,-0.1
Matt Maloney,HOU,27,15,7,8,187,4.1,1.0,5.4,17.9,0.2,2.9,6.7,1.9,2.1,90.9,0.4,1.5,1.9,4.1,2.7,0.8,0.0,1.4,12.1,0,0,-2.3
Maurice Taylor,LAC,22,46,9,37,1506,18.5,7.4,16.1,46.1,0.0,0.1,16.7,3.6,4.9,72.8,2.4,3.4,5.8,1.6,2.9,0.4,0.7,4.3,28.2,5,0,-7.7
Michael Curry,MIL,30,50,28,22,1143,7.7,2.8,6.5,43.7,0.0,0.5,6.7,2.0,2.5,79.7,0.6,2.8,3.4,2.5,1.2,1.3,0.2,4.3,18.9,0,0,-0.9
Michael Dickerson,HOU,24,50,31,19,1556,12.7,5.0,10.7,46.5,1.6,3.8,43.3,1.1,1.7,63.9,0.6,1.3,1.9,2.2,1.5,0.6,0.3,2.1,19.4,0,0,3.2
Michael Doleac,ORL,22,49,32,17,779,14.0,5.8,12.3,46.8,0.0,0.0,0.0,2.5,3.7,67.5,3.0,3.8,6.8,0.9,1.2,0.9,0.8,5.4,27.4,0,0,6.0
Michael Finley,DAL,26,50,19,31,2055,17.7,6.8,15.3,44.4,0.8,2.4,33.1,3.3,4.0,82.3,1.2,3.4,4.6,3.8,1.9,1.2,0.3,1.7,31.3,6,0,-1.1
Michael Hawkins,SAC,26,24,12,12,204,6.4,2.5,7.1,35.0,0.9,3.4,26.3,0.5,0.5,100,1.8,2.7,4.4,4.8,2.3,0.5,0.2,2.5,18.7,0,0,-1.4
Michael Olowokandi,LAC,24,45,9,36,1281,11.3,4.8,11.2,43.1,0.0,0.0,0.0,1.6,3.3,48.3,3.4,6.7,10.0,0.7,2.4,0.8,1.5,3.8,28.9,7,0,-7.8
Michael Smith,VAN,27,48,7,41,1098,7.5,2.5,4.7,53.5,0.0,0.0,0.0,2.5,4.2,59.4,4.4,7.0,11.5,1.6,2.0,1.5,0.6,3.5,28.0,4,0,-4.8
Michael Stewart,TOR,24,42,19,23,392,5.6,2.0,4.9,41.5,0.0,0.0,0.0,1.6,2.3,68.0,3.9,5.1,9.1,0.5,1.1,0.4,2.6,7.0,24.9,0,0,-2.4
Micheal Williams,TOR,32,2,0,2,15,4.8,2.4,12.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,2.4,0.0,2.4,0.0,0.0,2.4,5.3,0,0,-9.6
Mike Bibby,VAN,21,50,8,42,1756,13.6,5.3,12.4,43.0,0.3,1.5,20.3,2.6,3.5,75.1,0.6,2.2,2.8,6.7,3.0,1.6,0.1,2.5,29.0,6,0,-7.0
Mikki Moore,DET,23,2,0,2,5,27.3,6.8,6.8,100,0.0,0.0,0.0,13.7,13.7,100,0.0,6.8,6.8,0.0,0.0,0.0,0.0,0.0,35.5,0,0,61.5
Miles Simon,ORL,23,5,5,0,19,3.9,1.9,9.7,20.0,0.0,3.9,0.0,0.0,0.0,0.0,1.9,1.9,3.9,0.0,5.8,1.9,0.0,1.9,8.5,0,0,-23.2
Mitch Richmond,WAS,33,50,18,32,1912,18.5,6.2,15.1,41.2,1.3,4.2,31.7,4.7,5.5,85.7,0.6,2.7,3.2,2.3,2.6,1.2,0.2,2.3,27.5,1,0,-1.9
Mitchell Butler,CLE,28,31,12,19,414,14.6,5.8,12.1,48.2,1.0,2.5,37.9,2.0,2.8,71.9,1.1,2.7,3.8,1.9,2.5,1.3,0.3,3.6,24.5,0,0,0.5
Monty Williams,DEN,27,1,0,1,5,6.6,0.0,13.1,0.0,0.0,0.0,0.0,6.6,13.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0,0,-13.1
Moochie Norris,SEA,25,12,8,4,139,9.8,3.4,10.4,32.5,1.6,3.9,40.0,1.6,4.1,37.5,1.0,4.1,5.2,6.2,4.1,1.8,0.0,4.4,26.7,0,0,-5.7
Mookie Blaylock,ATL,32,48,30,18,1762,13.1,5.0,13.3,37.9,1.6,5.1,30.7,1.4,1.9,75.8,0.9,3.7,4.6,5.7,2.3,2.0,0.2,1.2,31.4,5,1,4.5
Muggsy Bogues,GSW,34,36,15,21,715,9.2,3.8,7.8,49.4,0.0,0.3,0.0,1.6,1.8,86.1,0.8,2.9,3.7,6.7,2.4,2.2,0.1,2.2,28.0,0,0,-0.6
