PLAYER,TEAM,AGE,GP,W,L,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS
Steven Adams,OKC,25,5,1,4,159.0,14.6,21.9,14.9,0.0,1.0,5.3,10.8,41.4,21.8,25.9,9.0,17.3,27.8,31.3,23.8,17.8,22.5,17.0
T.J. McConnell,PHI,27,9,6,3,75.0,14.9,19.0,19.6,0.0,0.0,0.0,0.0,7.1,9.4,9.0,32.4,3.7,16.7,20.0,0.0,12.1,3.3,14.5
TJ Leaf,IND,22,1,0,1,10.0,15.4,0.0,16.7,0.0,12.5,50.0,28.6,20.0,16.7,17.6,0.0,0.0,0.0,0.0,100,0.0,20.0,11.8
Terrance Ferguson,OKC,21,5,1,4,128.0,9.8,8.1,10.6,20.0,20.7,0.0,0.0,8.7,10.8,10.3,8.1,11.4,14.3,0.0,0.0,29.2,0.0,8.8
Terrence Ross,ORL,28,5,1,4,146.0,20.9,20.4,21.3,37.5,30.7,23.3,23.6,3.0,16.3,13.1,12.7,20.8,35.3,20.0,0.0,16.9,20.0,22.9
Terry Rozier,BOS,25,9,5,4,162.0,20.0,17.6,21.3,20.5,30.6,18.8,19.5,13.3,24.3,22.4,27.4,19.2,26.7,14.3,7.7,21.1,27.0,18.2
Thabo Sefolosha,UTA,35,4,1,3,42.0,14.6,7.7,18.7,10.0,26.7,0.0,0.0,8.3,21.2,17.8,13.3,7.7,0.0,0.0,16.7,25.0,5.3,6.2
Thaddeus Young,IND,31,4,0,4,130.0,17.8,18.8,18.8,8.0,9.9,9.8,13.2,52.9,22.1,27.2,23.4,16.1,42.3,25.0,14.3,22.2,14.5,16.3
Theo Pinson,BKN,23,3,0,3,22.0,15.3,12.5,17.8,50.0,46.7,0.0,0.0,0.0,14.3,11.5,27.3,16.7,40.0,0.0,20.0,0.0,8.3,13.2
Thon Maker,DET,22,4,0,4,69.0,20.0,13.5,20.0,0.0,25.5,44.4,40.9,57.1,10.6,16.7,11.8,16.7,0.0,80.0,38.5,40.0,31.3,15.8
Tim Frazier,MIL,28,11,9,2,40.0,16.3,25.8,18.1,30.0,16.7,20.0,16.7,0.0,27.3,22.0,45.5,16.7,25.0,0.0,40.0,22.7,28.6,25.6
Tobias Harris,PHI,26,12,7,5,443.0,18.7,19.1,21.3,25.3,25.6,12.1,11.5,11.9,28.2,24.6,20.7,13.0,23.2,12.5,27.3,15.1,10.5,18.4
Tony Snell,MIL,27,9,7,2,28.0,9.1,9.1,11.5,14.3,8.0,0.0,0.0,28.6,4.8,10.7,0.0,7.1,25.0,33.3,20.0,21.4,9.1,8.2
Torrey Craig,DEN,28,14,7,7,330.0,10.9,11.8,11.6,23.0,19.3,7.3,10.4,25.6,21.2,22.3,7.2,9.4,21.9,17.2,10.3,26.8,10.7,12.2
Treveon Graham,BKN,25,5,1,4,79.0,8.1,2.7,6.6,0.0,11.9,9.4,14.3,12.5,18.2,16.7,11.1,15.0,30.0,33.3,0.0,27.0,17.1,3.5
Trey Lyles,DEN,23,3,1,2,8.0,15.0,0.0,17.6,0.0,11.1,0.0,0.0,33.3,0.0,10.0,33.3,0.0,0.0,0.0,0.0,33.3,0.0,0.0
Tyreke Evans,IND,29,4,0,4,84.0,31.6,36.8,32.9,57.9,37.7,33.3,37.8,0.0,30.4,25.0,9.7,28.6,21.4,20.0,42.9,17.8,33.3,38.9
Tyrone Wallace,LAC,25,2,0,2,11.0,18.8,8.3,13.8,0.0,0.0,50.0,60.0,0.0,10.0,5.3,50.0,50.0,0.0,0.0,0.0,40.0,50.0,14.3
Wayne Ellington,DET,31,4,0,4,131.0,11.7,10.7,13.1,24.1,24.2,6.1,4.3,9.1,13.5,12.3,8.5,6.9,20.0,0.0,24.0,5.6,11.9,11.6
Wes Iwundu,ORL,24,5,1,4,60.0,16.3,13.6,17.0,27.3,23.1,32.1,23.1,0.0,14.9,12.1,13.8,11.8,30.0,0.0,14.3,23.5,15.2,18.9
Wesley Matthews,IND,32,4,0,4,119.0,14.9,10.6,14.6,29.2,29.2,7.7,6.1,0.0,12.7,10.0,14.0,26.7,15.0,9.1,0.0,14.0,12.5,12.0
Will Barton,DEN,28,14,7,7,328.0,21.2,19.3,22.2,26.3,30.2,14.4,15.6,16.7,21.8,20.4,16.6,20.6,10.0,26.5,23.8,12.7,11.9,19.0
Wilson Chandler,LAC,32,4,1,3,52.0,16.2,11.1,16.3,14.3,32.3,12.9,10.3,0.0,17.6,12.5,7.1,23.1,18.2,0.0,12.5,25.9,10.7,11.7
Zach Collins,POR,21,16,8,8,275.0,17.5,20.1,16.8,12.5,12.9,20.6,18.9,29.3,20.8,22.7,13.7,28.6,25.0,70.0,22.7,38.0,25.8,19.4
Zaza Pachulia,DET,35,2,0,2,22.0,15.7,12.5,15.4,0.0,0.0,16.7,22.2,33.3,38.1,37.5,0.0,16.7,0.0,0.0,100,33.3,30.0,11.6
Zhaire Smith,PHI,20,2,0,2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
