PLAYER,TEAM,GP,W,L,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
"Moreland, Eric",TOR,4,3,1,9.6,7.5,16.8,44.8,1.3,6.0,20.8,6.3,7.3,86.2,1.5,5.0,6.5,4.0,2.5,3.5,0.8,0.8,2.5,4.8,22.5,5.0
"Morris, Jaylen",MIL,4,4,0,7.1,5.0,13.0,38.5,1.5,4.0,37.5,3.3,4.5,72.2,1.3,5.5,6.8,2.3,2.8,1.0,0.5,1.0,1.8,3.0,14.8,-3.0
"Morris, Marcus",BOS,75,44,31,27.9,23.5,50.8,46.3,7.1,19.1,37.2,10.1,13.3,76.4,5.6,20.2,25.8,14.2,8.6,4.1,2.2,2.8,11.2,11.7,64.3,-1.0
"Morris, Markieff",WAS,34,13,21,26.0,23.2,47.9,48.3,6.8,18.6,36.6,11.4,14.1,80.5,6.5,19.4,25.9,13.4,9.1,4.4,2.4,2.7,12.2,12.6,64.5,4.7
"Morris, Markieff",OKC,24,11,13,16.1,13.0,28.3,46.1,3.6,10.5,34.3,6.8,8.9,76.2,2.8,12.8,15.6,7.5,4.8,2.6,1.6,1.5,7.5,8.3,36.5,0.0
"Morris, Monte",DEN,82,54,28,24.0,19.4,42.8,45.2,5.1,16.1,31.5,8.4,11.0,76.1,4.9,16.9,21.8,11.9,6.6,3.4,2.5,2.0,9.8,10.2,52.1,-2.2
"Motiejunas, Donatas",SAS,3,3,0,4.3,3.7,8.0,45.8,1.0,3.3,30.0,3.3,3.7,90.9,2.0,3.3,5.3,2.0,1.3,0.7,0.3,1.0,1.7,3.3,11.7,5.3
"Motley, Johnathan",LAC,22,12,10,7.1,6.4,12.7,50.4,1.5,5.0,30.3,2.6,3.8,69.9,1.1,5.5,6.6,3.8,2.5,1.3,1.2,0.6,3.7,3.9,17.0,1.5
"Mudiay, Emmanuel",NYK,59,13,46,27.2,24.7,51.3,48.1,6.6,17.7,37.4,10.1,13.2,76.3,6.2,20.3,26.5,15.4,7.2,4.6,3.1,2.7,11.7,11.3,66.0,6.1
"Murray, Jamal",DEN,75,49,26,32.6,27.2,58.6,46.4,7.5,21.2,35.6,11.1,15.0,74.1,6.5,21.4,27.9,16.8,9.0,5.3,3.2,3.0,14.2,13.4,73.0,-3.3
