PLAYER,TEAM,AGE,Restricted Area FGM,Restricted Area FGA,Restricted Area FG PCT,In The Paint (Non-RA) FGM,In The Paint (Non-RA) FGA,In The Paint (Non-RA) FG PCT,Mid-Range FGM,Mid-Range FGA,Mid-Range FG PCT,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG PCT,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG PCT,Corner 3 FGM,Corner 3 FGA,Corner 3 FG PCT,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG PCT
Aaron Brooks,HOU,23,0.7,1.2,54.8,0.2,0.4,52.9,0.3,0.8,37.8,0.2,0.4,41.7,0.1,0.3,25.0,0.3,0.7,42.9,0.6,1.8,32.6
Aaron Gray,CHI,23,1.1,2.0,55.8,0.5,1.1,47.4,0.2,0.5,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Aaron Williams,LAC,36,0.4,0.8,44.0,0.4,0.6,66.7,0.1,0.4,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Acie Law,ATL,23,1.0,1.9,51.9,0.2,0.5,34.5,0.4,1.3,34.3,0.0,0.1,50.0,0.1,0.2,28.6,0.1,0.3,33.3,0.1,0.5,16.0
Adonal Foyle,ORL,33,0.6,1.2,49.0,0.3,0.6,51.2,0.0,0.2,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Adrian Griffin,SEA,33,0.4,0.9,43.3,0.3,0.8,39.1,0.2,0.7,34.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Al Harrington,GSW,28,1.9,3.1,61.1,0.3,0.9,31.1,0.9,2.4,37.0,0.3,0.7,41.8,0.2,0.5,36.8,0.5,1.2,41.7,1.4,3.8,37.5
Al Horford,ATL,22,2.2,3.5,62.8,0.9,2.2,43.4,1.0,2.5,38.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Al Jefferson,MIN,23,4.2,6.5,65.2,2.5,5.6,44.3,2.1,5.5,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Al Thornton,LAC,24,2.0,3.2,61.3,0.6,1.4,41.4,1.6,4.8,34.5,0.0,0.1,20.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,1.6,34.1
