PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
A.C. Green,LAL,36,82,67,15,23.5,99.0,1.0,83.3,37.8,0.7,10.4,16.0,17.2,45.5,68.6,31.4,100,0.0,68.8,31.2
A.J. Bramlett,CLE,23,8,3,5,7.6,100,0.0,100,0.0,0.0,25.0,0.0,0.0,100,50.0,50.0,0.0,0.0,50.0,50.0
Aaron McKie,PHI,27,82,49,33,23.8,79.6,20.4,61.3,41.0,20.2,13.6,18.5,15.3,20.2,58.0,42.0,100,0.0,65.6,34.4
Aaron Williams,WAS,28,81,29,52,19.1,99.3,0.7,76.3,8.4,0.0,5.7,23.7,14.8,67.9,64.3,35.7,0.0,0.0,64.3,35.7
Adam Keefe,UTA,30,62,41,21,9.8,99.2,0.8,78.5,14.8,0.0,13.3,21.5,23.7,63.7,73.6,26.4,0.0,0.0,73.6,26.4
Adonal Foyle,GSW,25,76,16,60,21.7,100,0.0,91.9,4.3,0.0,14.0,8.1,12.6,87.6,63.7,36.3,0.0,0.0,63.7,36.3
Adrian Griffin,BOS,25,72,29,43,26.8,86.2,13.8,65.6,18.1,9.9,10.1,24.5,19.4,47.4,43.4,56.6,100,0.0,48.6,51.4
Al Harrington,IND,20,50,34,16,17.1,87.1,12.9,68.9,17.7,7.3,19.2,23.8,20.4,51.2,43.4,56.6,100,0.0,47.1,52.9
Alan Henderson,ATL,27,82,28,54,33.9,98.9,1.1,79.0,20.3,0.3,13.1,20.7,15.2,58.7,55.6,44.4,100,0.0,55.7,44.3
Aleksandar Radojevic,TOR,23,3,0,3,8.1,100,0.0,57.1,0.0,0.0,28.6,42.9,28.6,57.1,50.0,50.0,0.0,0.0,50.0,50.0
Allan Houston,NYK,29,82,50,32,38.6,80.9,19.1,62.9,46.2,19.7,6.9,17.3,14.2,16.7,45.1,54.9,89.6,10.4,52.8,47.2
Allen Iverson,PHI,25,70,42,28,40.8,84.9,15.1,64.4,26.2,13.4,21.6,22.2,22.8,38.1,47.3,52.7,78.7,21.3,51.2,48.8
Alonzo Mourning,MIA,30,79,50,29,34.7,99.7,0.3,75.9,26.1,0.0,7.0,24.1,14.3,49.8,69.2,30.8,0.0,0.0,69.2,30.8
Alvin Williams,TOR,25,55,29,26,14.1,80.8,19.2,67.1,40.4,16.4,23.3,16.4,17.1,26.7,43.9,56.1,43.8,56.3,43.9,56.1
Andrae Patterson,MIN,24,5,4,1,3.8,100,0.0,100,33.3,0.0,0.0,0.0,33.3,66.7,100,0.0,0.0,0.0,100,0.0
Andre Miller,CLE,24,82,32,50,25.6,93.5,6.5,72.0,16.8,3.3,20.6,24.7,19.5,55.1,28.0,72.0,60.0,40.0,28.9,71.1
Andrew DeClercq,CLE,27,82,32,50,22.2,100,0.0,82.7,6.6,0.0,13.8,17.3,16.0,76.1,76.4,23.6,0.0,0.0,76.4,23.6
Andrew Lang,NYK,34,19,8,11,12.8,100,0.0,94.9,47.5,0.0,3.4,5.1,10.2,47.5,71.4,28.6,0.0,0.0,71.4,28.6
Anfernee Hardaway,PHX,28,60,42,18,37.5,87.2,12.8,68.0,26.0,9.8,16.5,22.3,20.1,42.0,50.1,49.9,84.8,15.2,53.2,46.8
Antawn Jamison,GSW,24,43,10,33,36.3,99.1,0.9,84.2,14.0,0.7,18.0,15.1,16.8,70.2,65.3,34.7,100,0.0,65.4,34.6
Anthony Avent,LAC,30,49,11,38,7.7,100,0.0,71.6,9.9,0.0,2.5,28.4,17.3,61.7,55.2,44.8,0.0,0.0,55.2,44.8
Anthony Carter,MIA,25,79,50,29,23.6,95.5,4.5,79.5,30.9,1.8,20.9,18.7,21.9,48.6,44.9,55.1,66.7,33.3,45.3,54.7
Anthony Johnson,ORL,25,56,24,32,11.4,93.3,6.7,77.9,39.0,3.9,23.4,18.2,27.3,39.0,70.0,30.0,100,0.0,71.0,29.0
Anthony Mason,CHH,33,82,49,33,38.2,99.8,0.2,66.9,16.0,0.0,4.6,33.1,14.5,50.8,60.3,39.7,0.0,0.0,60.3,39.7
Anthony Miller,HOU,28,35,19,16,13.6,100,0.0,80.0,3.1,0.0,17.7,20.0,15.4,76.9,71.2,28.8,0.0,0.0,71.2,28.8
Anthony Parker,ORL,25,16,6,10,11.6,75.4,24.6,80.7,52.6,5.3,10.5,14.0,15.8,28.1,56.5,43.5,100,0.0,58.3,41.7
Anthony Peeler,MIN,30,82,50,32,25.3,64.8,35.2,57.5,34.8,31.7,21.3,10.8,15.4,22.6,64.5,35.5,84.7,15.3,69.9,30.1
Antoine Carr,VAN,38,21,4,17,10.4,100,0.0,83.6,47.8,0.0,6.0,16.4,11.9,35.8,85.7,14.3,0.0,0.0,85.7,14.3
Antoine Walker,BOS,23,82,35,47,36.6,81.1,18.9,68.5,6.1,13.0,13.1,18.5,19.5,62.4,45.9,54.1,98.6,1.4,51.9,48.1
Antonio Daniels,SAS,25,68,45,23,17.5,80.8,19.2,67.1,23.3,15.7,33.6,17.1,23.8,43.8,44.0,56.0,81.8,18.2,49.1,50.9
Antonio Davis,TOR,31,79,43,36,31.4,100,0.0,68.8,15.8,0.0,15.3,31.2,13.3,53.0,68.7,31.3,0.0,0.0,68.7,31.3
Antonio Harvey,POR,29,19,14,5,7.1,100,0.0,82.9,9.8,0.0,4.9,17.1,22.0,73.2,58.8,41.2,0.0,0.0,58.8,41.2
