PLAYER,TEAM,AGE,Restricted Area FGM,Restricted Area FGA,Restricted Area FG PCT,In The Paint (Non-RA) FGM,In The Paint (Non-RA) FGA,In The Paint (Non-RA) FG PCT,Mid-Range FGM,Mid-Range FGA,Mid-Range FG PCT,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG PCT,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG PCT,Corner 3 FGM,Corner 3 FGA,Corner 3 FG PCT,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG PCT
AJ Price,WAS,26,0.4,0.8,51.1,0.4,0.9,44.9,0.8,2.1,38.7,0.1,0.4,38.9,0.2,0.6,37.9,0.3,1.0,30.0,0.9,2.7,34.0
Aaron Brooks,HOU,28,0.9,1.5,58.8,0.3,0.7,41.7,0.6,1.2,47.0,0.1,0.2,50.0,0.1,0.4,23.5,0.2,0.6,33.3,0.8,2.0,39.0
Aaron Gray,TOR,28,0.8,1.4,57.9,0.3,0.7,39.3,0.1,0.1,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Al Harrington,ORL,33,1.0,1.8,55.6,0.0,0.2,0.0,0.2,0.7,28.6,0.0,0.5,0.0,0.1,0.4,33.3,0.1,0.9,11.1,0.7,2.3,30.4
Al Horford,ATL,27,4.0,5.4,73.1,1.1,2.7,40.8,2.7,6.1,43.7,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,33.3
Al Jefferson,UTA,28,3.0,4.5,67.0,2.0,4.2,48.3,2.8,6.9,39.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.1,20.0
Al-Farouq Aminu,NOH,22,2.1,3.4,60.9,0.4,1.1,37.9,0.4,1.4,27.1,0.0,0.1,40.0,0.0,0.0,33.3,0.0,0.1,0.0,0.0,0.1,9.1
Alan Anderson,TOR,30,1.1,1.8,59.2,0.4,1.0,40.3,0.7,2.2,29.9,0.3,0.9,39.6,0.3,0.8,33.3,0.6,1.7,35.3,1.0,3.0,31.8
Alec Burks,UTA,21,1.1,2.0,56.6,0.2,0.7,27.7,0.7,1.9,36.7,0.1,0.2,30.0,0.1,0.2,50.0,0.2,0.4,50.0,0.4,1.2,35.5
Alexey Shved,MIN,24,1.1,1.9,59.1,0.3,0.8,32.8,0.6,1.8,31.4,0.1,0.2,46.7,0.1,0.2,53.8,0.2,0.4,50.0,0.9,3.4,27.4
Alonzo Gee,CLE,26,2.0,3.4,57.6,0.3,1.2,28.0,0.6,1.8,32.7,0.3,0.9,32.9,0.2,0.8,28.1,0.5,1.7,29.4,0.4,1.1,32.2
Amar'e Stoudemire,NYK,30,4.0,6.3,63.0,0.7,1.4,52.5,0.6,1.5,39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Amir Johnson,TOR,26,2.6,4.0,66.6,0.8,1.4,54.3,0.7,1.9,35.0,0.0,0.0,100,0.0,0.1,25.0,0.0,0.1,0.0,0.0,0.1,42.9
Anderson Varejao,CLE,30,3.5,6.2,57.1,0.6,1.8,32.6,1.4,3.4,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.2,0.0
Andray Blatche,BKN,26,2.7,4.1,65.6,0.6,1.8,34.7,0.8,2.0,41.3,0.0,0.0,33.3,0.0,0.1,25.0,0.0,0.1,0.0,0.0,0.2,7.7
Andre Drummond,DET,19,3.3,4.9,67.7,0.1,0.6,24.2,0.0,0.3,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,100
Andre Iguodala,DEN,29,2.6,3.6,74.0,0.4,1.2,29.2,0.8,2.6,31.3,0.2,0.6,33.3,0.1,0.7,19.6,0.3,1.3,23.1,0.8,2.3,35.7
Andre Miller,DEN,37,2.2,3.7,58.9,0.6,1.5,37.9,0.7,1.7,43.0,0.0,0.2,21.4,0.0,0.1,0.0,0.0,0.3,0.0,0.2,0.5,34.1
Andrea Bargnani,TOR,27,0.9,1.7,50.0,0.7,1.6,43.9,2.2,5.3,41.4,0.0,0.1,33.3,0.0,0.2,20.0,0.0,0.3,0.0,1.0,3.3,31.3
Andrei Kirilenko,MIN,32,3.2,5.0,65.1,0.2,0.6,34.2,0.5,1.3,34.9,0.1,0.1,42.9,0.0,0.1,25.0,0.1,0.2,50.0,0.5,1.7,28.4
Andrew Bogut,GSW,28,1.8,3.1,56.0,0.7,2.2,31.0,0.1,0.4,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,100
