PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
DeMarcus Cousins,GSW,28,8,3,5,16.6,77.4,22.6,59.0,0.0,14.8,8.2,26.2,13.1,59.0,77.8,22.2,100,0.0,81.0,19.0
DeMarre Carroll,BKN,32,5,1,4,23.9,36.8,63.2,12.1,0.0,63.6,6.1,24.2,15.2,12.1,100,0.0,85.7,14.3,88.9,11.1
Dennis Schroder,OKC,25,5,1,4,30.1,63.6,36.4,55.1,29.0,26.1,10.1,18.8,21.7,26.1,10.5,89.5,83.3,16.7,28.0,72.0
Deonte Burton,OKC,25,3,1,2,1.5,60.0,40.0,100,0.0,0.0,0.0,0.0,0.0,100,100,0.0,0.0,0.0,100,0.0
Derrick Favors,UTA,27,5,1,4,20.6,91.7,8.3,78.0,0.0,0.0,3.4,22.0,10.2,78.0,69.6,30.4,0.0,0.0,69.6,30.4
Derrick White,SAS,24,7,3,4,27.2,77.3,22.7,67.9,15.1,14.2,16.0,17.9,13.2,52.8,38.9,61.1,60.0,40.0,41.5,58.5
Domantas Sabonis,IND,23,4,0,4,24.0,86.2,13.8,64.7,17.6,8.8,0.0,26.5,11.8,47.1,54.5,45.5,100,0.0,58.3,41.7
Donatas Motiejunas,SAS,28,5,2,3,3.7,90.0,10.0,92.3,0.0,0.0,0.0,7.7,15.4,92.3,83.3,16.7,0.0,0.0,83.3,16.7
Donovan Mitchell,UTA,22,5,1,4,38.6,61.6,38.4,46.7,5.6,30.8,15.0,22.4,10.3,41.1,32.0,68.0,81.8,18.2,47.2,52.8
Doug McDermott,IND,27,3,0,3,9.7,30.0,70.0,66.7,0.0,0.0,0.0,33.3,0.0,66.7,100,0.0,0.0,0.0,100,0.0
Draymond Green,GSW,29,22,14,8,38.7,75.1,24.9,69.2,5.5,13.4,12.7,17.5,12.0,63.7,69.3,30.7,92.3,7.7,71.9,28.1
Dzanan Musa,BKN,20,2,0,2,7.3,66.7,33.3,100,0.0,0.0,50.0,0.0,0.0,100,50.0,50.0,0.0,0.0,50.0,50.0
