PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
Aaron McKie,LAL,33,14,9,5,8.7,83.3,16.7,85.7,57.1,0.0,0.0,14.3,0.0,28.6,66.7,33.3,0.0,0.0,66.7,33.3
Aaron Miles,GSW,23,19,13,6,6.2,100,0.0,75.0,50.0,0.0,12.5,25.0,0.0,25.0,33.3,66.7,0.0,0.0,33.3,66.7
Aaron Williams,NOK,34,48,21,27,16.5,100,0.0,82.0,16.2,0.0,2.7,18.0,13.1,65.8,69.2,30.8,0.0,0.0,69.2,30.8
Adonal Foyle,GSW,31,77,32,45,23.7,100,0.0,88.1,8.7,0.0,4.1,11.9,15.1,79.4,69.1,30.9,0.0,0.0,69.1,30.9
Adrian Griffin,DAL,31,52,40,12,23.9,99.0,1.0,82.7,29.5,0.0,9.7,17.3,15.2,53.2,57.1,42.9,0.0,0.0,57.1,42.9
Al Harrington,ATL,26,76,24,52,36.6,84.3,15.7,68.7,27.6,14.0,8.9,17.2,16.7,41.1,49.1,50.9,98.5,1.5,55.0,45.0
Al Jefferson,BOS,21,59,23,36,18.0,98.9,1.1,81.5,6.9,0.0,5.2,18.5,18.8,74.6,49.2,50.8,0.0,0.0,49.2,50.8
Alan Anderson,CHA,23,36,7,29,15.7,68.0,32.0,49.3,11.6,34.8,10.1,15.9,21.7,37.7,56.9,43.1,87.5,12.5,66.7,33.3
Alan Henderson,CLE,33,51,31,20,10.4,100,0.0,74.0,1.6,0.0,7.9,26.0,21.3,72.4,68.1,31.9,0.0,0.0,68.1,31.9
Alex Acker,DET,23,5,3,2,7.0,68.8,31.3,66.7,44.4,33.3,55.6,0.0,0.0,22.2,33.3,66.7,0.0,100,25.0,75.0
Alex Scales,SAS,27,1,1,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allen Iverson,PHI,31,72,35,37,43.1,87.8,12.2,62.5,25.9,9.1,14.3,28.4,17.7,36.6,19.9,80.1,66.7,33.3,24.0,76.0
Alonzo Mourning,MIA,36,65,43,22,20.0,99.7,0.3,73.9,4.3,0.0,4.3,26.1,9.8,69.5,62.2,37.8,0.0,0.0,62.2,37.8
Alvin Williams,TOR,31,1,0,1,9.8,33.3,66.7,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amar'e Stoudemire,PHX,23,3,2,1,16.8,96.3,3.7,69.2,15.4,0.0,7.7,30.8,26.9,53.8,33.3,66.7,0.0,0.0,33.3,66.7
Amir Johnson,DET,19,3,1,2,12.9,70.0,30.0,50.0,0.0,30.0,20.0,20.0,10.0,50.0,60.0,40.0,100,0.0,71.4,28.6
Anderson Varejao,CLE,23,48,29,19,15.8,99.3,0.7,72.1,10.0,0.0,5.9,27.9,19.6,62.1,65.8,34.2,0.0,0.0,65.8,34.2
Andray Blatche,WAS,19,29,16,13,6.1,80.6,19.4,70.8,33.8,13.8,12.3,15.4,21.5,36.9,43.5,56.5,66.7,33.3,46.2,53.8
Andre Barrett,TOR,24,19,4,15,14.9,86.5,13.5,82.8,39.1,6.9,4.6,10.3,9.2,43.7,22.2,77.8,50.0,50.0,23.7,76.3
Andre Iguodala,PHI,22,82,38,44,37.6,77.0,23.0,57.2,8.5,16.7,21.9,26.1,22.6,48.7,62.2,37.8,92.9,7.1,67.2,32.8
Andre Miller,DEN,30,82,44,38,35.8,96.9,3.1,70.9,27.0,1.3,21.8,27.8,17.4,43.9,31.6,68.4,60.0,40.0,31.9,68.1
Andre Owens,UTA,25,23,8,15,9.1,78.4,21.6,69.6,40.6,13.0,18.8,17.4,20.3,29.0,62.5,37.5,100,0.0,66.7,33.3
Andrei Kirilenko,UTA,25,69,38,31,37.7,84.0,16.0,56.9,11.4,10.2,11.5,32.8,16.3,45.5,53.3,46.7,88.9,11.1,57.1,42.9
Andres Nocioni,CHI,26,82,41,41,27.3,71.4,28.6,54.6,18.6,26.2,11.8,19.2,18.4,35.9,61.0,39.0,100,0.0,70.5,29.5
Andrew Bogut,MIL,21,82,40,42,28.6,99.5,0.5,84.1,7.3,0.0,10.4,15.9,13.5,76.8,59.8,40.2,0.0,0.0,59.8,40.2
Andrew Bynum,LAL,18,46,29,17,7.4,100,0.0,89.2,5.4,0.0,0.0,10.8,17.6,83.8,57.6,42.4,0.0,0.0,57.6,42.4
