PLAYER,TEAM,AGE,Restricted Area FGM,Restricted Area FGA,Restricted Area FG PCT,In The Paint (Non-RA) FGM,In The Paint (Non-RA) FGA,In The Paint (Non-RA) FG PCT,Mid-Range FGM,Mid-Range FGA,Mid-Range FG PCT,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG PCT,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG PCT,Corner 3 FGM,Corner 3 FGA,Corner 3 FG PCT,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG PCT
A.J. Guyton,CHI,24,0.3,0.6,55.6,0.1,0.4,33.3,0.5,1.8,27.8,0.1,0.3,28.6,0.1,0.6,23.5,0.2,0.9,22.2,0.9,2.3,40.2
Aaron McKie,PHI,29,1.3,2.0,64.9,0.5,1.3,35.5,1.8,4.3,41.7,0.5,0.7,74.1,0.3,0.6,45.0,0.8,1.3,61.5,0.5,1.7,27.5
Aaron Williams,NJN,30,1.7,2.6,64.5,0.7,1.6,42.5,0.4,1.0,39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Adonal Foyle,GSW,27,1.2,2.2,55.0,0.7,2.1,35.2,0.3,0.7,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Adrian Griffin,DAL,27,1.5,2.1,69.7,0.5,1.1,50.8,0.8,2.1,38.5,0.2,0.3,50.0,0.1,0.3,42.9,0.3,0.6,50.0,0.1,0.4,12.5
Al Harrington,IND,22,2.2,3.7,59.0,1.1,2.5,45.0,1.9,4.8,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,50.0
Alan Henderson,ATL,29,1.8,2.8,65.3,0.2,0.9,25.0,0.2,0.7,26.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,100
Allan Houston,NYK,31,0.6,1.6,39.7,0.6,1.4,45.2,4.4,9.4,46.2,0.1,0.5,28.1,0.2,0.6,39.0,0.3,1.1,27.3,1.4,3.5,40.7
Allen Iverson,PHI,27,3.9,6.8,56.3,1.2,3.7,33.5,4.7,12.8,36.6,0.1,0.4,40.0,0.1,0.1,80.0,0.2,0.5,40.0,1.1,4.1,27.2
Alonzo Mourning,MIA,32,3.2,4.5,70.7,1.1,2.8,40.1,1.6,4.2,39.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,-,0.0,0.0,0.0
Alton Ford,PHX,21,0.8,1.3,59.4,0.1,0.4,33.3,0.3,0.6,45.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Alvin Jones,PHI,23,0.3,0.5,50.0,0.0,0.0,0.0,0.1,0.4,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Alvin Williams,TOR,27,1.2,2.3,51.1,0.5,1.0,52.4,2.5,6.2,39.7,0.0,0.2,27.3,0.2,0.3,54.2,0.2,0.5,40.0,0.6,1.9,29.5
Amal McCaskill,SAS,28,0.4,0.9,52.2,0.1,0.4,33.3,0.2,0.7,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Andre Miller,CLE,26,1.9,3.5,55.7,1.2,2.7,44.1,2.5,5.7,43.4,0.0,0.0,66.7,0.0,0.1,0.0,0.0,0.1,0.0,0.2,0.9,29.0
Andrei Kirilenko,UTA,21,2.7,4.6,59.3,0.1,0.6,22.4,0.3,1.3,24.3,0.1,0.2,30.0,0.0,0.2,6.7,0.1,0.4,25.0,0.2,0.9,27.0
Andrew DeClercq,ORL,29,0.8,1.6,51.5,0.2,0.6,33.3,0.1,0.3,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Anfernee Hardaway,PHX,30,1.8,3.3,54.5,1.0,2.5,41.2,1.8,4.8,36.4,0.0,0.1,16.7,0.0,0.1,0.0,0.0,0.2,0.0,0.3,0.8,33.3
Ansu Sesay,SEA,25,1.0,1.7,60.0,0.2,0.7,33.3,1.2,2.6,47.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Antawn Jamison,GSW,26,3.3,5.0,67.2,1.7,4.5,38.3,1.6,4.7,33.8,0.1,0.3,44.4,0.1,0.4,29.6,0.2,0.7,28.6,0.6,2.0,31.9
Anthony Carter,MIA,27,0.7,1.1,57.7,0.2,0.8,18.4,1.1,3.3,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.3,7.7
Anthony Johnson,NJN,27,0.4,0.8,53.8,0.2,0.4,54.5,0.4,1.3,31.7,0.0,0.1,0.0,0.1,0.2,25.0,0.1,0.3,33.3,0.1,0.2,42.9
Anthony Mason,MIL,35,1.8,3.3,55.6,1.1,2.4,47.2,0.9,1.9,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,100
Anthony Peeler,MIN,32,0.5,0.9,54.2,0.1,0.4,30.3,1.6,3.6,43.1,0.2,0.5,34.3,0.2,0.6,38.1,0.4,1.1,36.4,1.0,2.5,40.5
Antoine Walker,BOS,25,3.5,6.9,51.4,0.9,2.7,34.2,1.0,3.3,30.7,0.2,0.8,31.0,0.0,0.3,15.0,0.2,1.1,18.2,2.5,7.0,35.5
Antonio Daniels,SAS,27,1.5,2.1,70.5,0.4,1.0,39.7,0.7,2.0,35.8,0.1,0.3,45.0,0.2,0.7,36.7,0.3,1.0,30.0,0.4,1.5,24.0
Antonio Davis,TOR,33,2.4,4.3,55.4,0.6,1.9,32.9,2.3,6.2,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Antonio Harvey,SEA,31,0.4,0.8,50.0,0.2,0.8,25.0,0.2,0.8,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Antonio McDyess,DEN,27,2.4,3.3,72.7,0.3,0.7,42.9,1.6,3.5,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Antonis Fotsis,MEM,21,0.8,1.4,56.4,0.1,0.4,30.0,0.4,1.2,31.3,0.0,0.1,0.0,0.2,0.3,50.0,0.2,0.4,50.0,0.2,0.7,27.8
Art Long,SEA,29,1.4,2.3,60.1,0.4,1.1,31.9,0.2,0.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
