PLAYER,TEAM,AGE,Restricted Area FGM,Restricted Area FGA,Restricted Area FG PCT,In The Paint (Non-RA) FGM,In The Paint (Non-RA) FGA,In The Paint (Non-RA) FG PCT,Mid-Range FGM,Mid-Range FGA,Mid-Range FG PCT,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG PCT,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG PCT,Corner 3 FGM,Corner 3 FGA,Corner 3 FG PCT,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG PCT
Aaron Brooks,CHI,31,0.8,1.8,47.2,0.5,1.2,40.5,0.4,1.1,39.0,0.0,0.1,16.7,0.1,0.2,50.0,0.1,0.3,33.3,0.9,2.4,36.4
Aaron Gordon,ORL,20,2.3,3.5,64.7,0.3,0.8,37.5,0.4,1.3,31.7,0.1,0.5,26.5,0.1,0.3,43.5,0.2,0.8,25.0,0.3,1.0,29.1
Aaron Harrison,CHA,21,0.1,0.2,40.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.3,0.0,0.2,0.2,100,0.2,0.5,40.0,0.1,0.3,33.3
Adreian Payne,MIN,25,0.4,0.8,51.3,0.2,0.6,27.6,0.3,0.9,35.6,0.1,0.2,40.0,0.0,0.1,0.0,0.1,0.3,33.3,0.1,0.5,29.2
Al Horford,ATL,30,3.0,4.1,72.5,0.6,1.5,40.3,1.8,4.1,44.4,0.0,0.2,28.6,0.1,0.5,25.6,0.1,0.7,14.3,0.9,2.4,36.7
Al Jefferson,CHA,31,2.0,3.3,61.4,1.5,3.5,41.8,1.7,4.0,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Al-Farouq Aminu,POR,25,1.4,2.5,55.1,0.3,0.9,34.7,0.4,1.1,37.6,0.4,0.9,40.5,0.3,0.9,38.0,0.7,1.8,38.9,0.8,2.5,34.2
Alan Anderson,WAS,33,0.5,0.9,54.5,0.0,0.4,0.0,0.2,0.5,50.0,0.2,0.6,28.6,0.2,0.3,50.0,0.4,0.9,44.4,0.8,2.3,33.3
Alan Williams,PHX,23,0.8,1.8,44.4,0.1,0.5,25.0,0.1,0.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Alec Burks,UTA,24,1.9,3.6,52.3,0.5,1.5,33.3,1.0,3.1,32.3,0.2,0.4,38.5,0.2,0.5,46.7,0.4,0.9,44.4,0.6,1.6,40.8
Alex Len,PHX,23,2.1,3.8,55.3,0.4,1.6,27.4,0.8,2.5,32.6,0.0,0.1,25.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Alex Stepheson,MEM,28,1.0,2.4,41.2,0.1,1.1,12.5,0.1,0.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Alexis Ajinca,NOP,28,1.1,1.8,62.7,0.4,1.2,32.9,1.1,2.4,44.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Allen Crabbe,POR,24,0.8,1.2,68.4,0.2,0.5,44.2,1.4,3.1,44.8,0.3,0.6,47.8,0.2,0.6,37.2,0.5,1.2,41.7,0.9,2.4,38.1
Alonzo Gee,NOP,29,1.4,2.1,68.2,0.1,0.2,33.3,0.1,0.4,25.0,0.1,0.4,29.6,0.1,0.4,29.6,0.2,0.8,25.0,0.0,0.1,14.3
Amar'e Stoudemire,MIA,33,1.8,2.8,62.3,0.3,0.6,45.2,0.4,0.8,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Amir Johnson,BOS,29,2.3,3.4,68.0,0.7,1.3,51.5,0.1,0.2,37.5,0.0,0.1,50.0,0.0,0.1,50.0,0.0,0.2,0.0,0.1,0.4,15.6
Anderson Varejao,GSW,33,0.5,0.9,53.1,0.3,0.6,44.8,0.3,0.8,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Andre Drummond,DET,22,4.9,8.2,59.6,1.7,4.0,42.2,0.2,0.8,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,50.0
Andre Iguodala,GSW,32,1.3,1.9,71.1,0.1,0.4,37.5,0.4,1.1,39.1,0.2,0.5,48.1,0.2,0.6,39.4,0.4,1.1,36.4,0.4,1.4,30.8
Andre Miller,SAS,40,0.8,1.3,62.0,0.3,0.5,60.0,0.4,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.1,0.1,50.0
Andre Roberson,OKC,24,1.4,2.2,64.1,0.1,0.1,40.0,0.0,0.1,0.0,0.3,0.8,31.5,0.2,0.4,44.0,0.5,1.2,41.7,0.1,0.3,18.2
Andrea Bargnani,BKN,30,0.5,1.0,48.9,0.6,1.0,54.2,1.7,3.7,44.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.1,0.3,20.0
