PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
AJ Price,MIN,27,28,15,13,3.5,52.2,47.8,59.1,40.9,40.9,11.4,0.0,11.4,18.2,23.1,76.9,83.3,16.7,42.1,57.9
Aaron Brooks,DEN,29,72,42,30,21.6,57.3,42.7,42.5,9.9,44.7,10.9,12.9,13.8,32.6,13.9,86.1,69.8,30.2,36.9,63.1
Aaron Gray,SAC,29,37,12,25,9.6,98.4,1.6,83.1,9.2,0.0,3.1,16.9,10.8,73.8,66.7,33.3,0.0,0.0,66.7,33.3
Adonis Thomas,PHI,21,6,2,4,6.3,64.3,35.7,71.4,28.6,21.4,42.9,7.1,35.7,42.9,20.0,80.0,100,0.0,33.3,66.7
Al Harrington,WAS,34,34,20,14,15.0,51.7,48.3,42.7,5.3,45.3,9.8,12.0,16.4,37.3,64.6,35.4,100,0.0,79.3,20.7
Al Horford,ATL,28,29,16,13,33.0,97.4,2.6,87.0,32.7,2.2,11.2,10.8,15.8,54.3,70.9,29.1,100,0.0,71.4,28.6
Al Jefferson,CHA,29,73,38,35,35.0,98.9,1.1,87.5,25.7,0.6,1.7,12.0,14.0,61.7,61.1,38.9,100,0.0,61.3,38.7
Al-Farouq Aminu,NOP,23,80,33,47,25.6,90.3,9.7,77.3,15.0,6.8,19.9,15.9,19.1,62.2,67.4,32.6,100,0.0,69.2,30.8
Alan Anderson,BKN,31,78,43,35,22.7,48.9,51.1,39.0,13.5,44.7,11.5,16.3,15.4,25.5,43.6,56.4,89.3,10.7,63.4,36.6
Alec Burks,UTA,22,78,24,54,28.1,82.8,17.2,60.6,15.1,13.8,16.4,25.6,15.5,45.5,32.7,67.3,82.0,18.0,39.2,60.8
Alex Len,PHX,21,42,24,18,8.6,100,0.0,76.7,9.3,0.0,5.8,23.3,11.6,67.4,48.5,51.5,0.0,0.0,48.5,51.5
Alexey Shved,MIN,25,63,28,35,10.5,57.0,43.0,36.8,3.2,36.0,23.6,27.2,16.8,33.6,39.1,60.9,63.3,36.7,48.7,51.3
Alexis Ajinca,NOP,26,56,22,34,17.0,99.6,0.4,82.9,20.1,0.0,1.8,17.1,15.2,62.8,70.6,29.4,0.0,0.0,70.6,29.4
Allen Crabbe,POR,22,15,12,3,6.7,57.6,42.4,36.4,12.1,54.5,6.1,9.1,15.2,24.2,66.7,33.3,83.3,16.7,75.0,25.0
Alonzo Gee,CLE,27,65,29,36,15.7,75.4,24.6,61.2,8.5,22.1,22.1,16.7,17.8,52.7,63.3,36.7,94.7,5.3,69.4,30.6
Amar'e Stoudemire,NYK,31,65,26,39,22.6,100,0.0,80.6,21.2,0.0,2.8,19.4,14.5,59.3,62.1,37.9,0.0,0.0,62.1,37.9
Amir Johnson,TOR,27,77,43,34,28.8,89.2,10.8,81.1,10.3,7.5,7.9,11.4,17.3,70.8,71.0,29.0,95.0,5.0,72.4,27.6
