PLAYER,TEAM,AGE,GP,W,L,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS
Jae Crowder,UTA,28,80,48,32,2166.0,18.3,17.8,20.4,29.9,31.6,15.0,15.6,13.2,20.0,18.5,11.4,12.9,18.8,11.4,13.9,17.1,16.0,18.6
Jahlil Okafor,NOP,23,59,23,36,935.0,19.8,25.4,20.5,0.5,0.9,21.1,24.4,43.6,27.7,31.0,8.4,18.2,11.4,38.5,29.4,26.2,27.6,22.6
Jake Layman,POR,25,71,46,25,1327.0,15.6,18.5,17.2,18.8,20.9,11.2,12.6,17.7,16.5,16.8,8.0,11.2,18.2,23.3,12.8,20.9,15.3,17.4
Jakob Poeltl,SAS,23,77,43,34,1273.0,12.5,16.6,12.1,0.0,0.0,12.5,18.1,62.0,24.7,33.4,14.0,15.1,17.7,54.4,17.9,28.8,18.2,14.4
Jalen Brunson,DAL,22,73,27,46,1591.0,18.6,20.4,19.5,16.0,15.0,14.3,14.7,7.1,12.7,11.4,29.2,19.8,18.4,2.9,28.1,19.5,20.7,18.9
Jalen Jones,CLE,26,16,3,13,214.0,16.2,15.8,16.4,17.5,18.4,20.4,23.5,25.0,16.8,18.8,6.7,13.3,20.9,14.3,11.1,30.3,19.4,16.9
Jamal Crawford,PHX,39,64,13,51,1211.0,19.8,17.7,20.2,29.8,28.2,19.5,17.8,3.9,9.7,8.5,39.3,24.2,16.1,8.6,6.6,11.9,16.8,19.0
Jamal Murray,DEN,22,75,49,26,2447.0,24.1,23.7,25.7,26.6,26.7,23.0,20.9,10.9,14.2,13.4,25.3,22.5,17.8,12.0,21.0,15.3,19.2,23.9
James Ennis III,PHI,28,58,35,23,1230.0,12.5,13.7,13.5,17.0,16.1,11.4,12.5,22.6,15.2,17.0,7.0,8.7,17.8,15.8,10.9,25.0,12.9,13.7
James Harden,HOU,29,78,51,27,2867.0,39.6,36.2,37.4,39.5,38.7,62.7,56.9,10.7,24.4,21.0,48.2,48.0,30.9,20.1,41.2,19.1,47.2,41.3
James Johnson,MIA,32,55,27,28,1164.0,17.7,16.9,17.8,19.2,19.4,17.8,16.1,8.6,17.7,15.6,22.6,21.1,21.9,20.5,15.0,23.1,14.4,17.2
James Nunnally,HOU,28,15,8,7,101.0,15.3,14.3,18.2,20.0,23.1,11.8,9.8,0.0,8.2,6.8,15.2,4.3,7.1,0.0,20.0,19.2,8.8,14.9
Jared Dudley,BKN,33,59,28,31,1220.0,10.4,10.1,10.9,16.7,16.9,6.7,7.2,12.7,14.5,14.1,14.2,11.9,21.1,17.0,9.6,23.6,12.8,10.3
Jared Terrell,MIN,24,14,4,10,111.0,19.7,15.4,19.3,15.4,20.2,7.5,12.0,4.2,6.8,6.1,27.9,33.3,15.8,33.3,15.4,34.8,7.9,14.0
Jarell Martin,ORL,25,42,20,22,328.0,15.3,15.7,17.1,24.1,25.6,7.8,7.5,18.3,26.5,24.8,11.7,13.6,5.5,23.5,20.0,35.4,13.0,15.4
Jaren Jackson Jr.,MEM,19,58,23,35,1515.0,23.1,25.6,22.8,17.8,17.3,33.0,32.5,30.7,19.5,21.6,8.7,22.5,19.9,42.1,27.0,31.6,32.0,26.0
Jaron Blossomgame,CLE,25,27,4,23,439.0,12.0,13.4,13.3,10.5,14.1,7.0,7.1,27.1,24.8,25.4,6.7,10.4,12.3,24.2,14.9,12.6,9.1,12.2
Jarred Vanderbilt,DEN,20,17,10,7,69.0,17.9,16.1,14.4,0.0,1.8,24.0,30.3,46.7,28.6,32.4,9.4,36.4,40.0,12.5,27.3,30.8,28.0,15.3
Jarrett Allen,BKN,21,80,42,38,2096.0,15.8,18.8,14.8,1.0,2.9,26.6,28.3,45.3,31.7,34.6,9.7,15.4,15.8,56.1,20.1,22.1,29.5,17.9
Jason Smith,NOP,33,20,10,10,191.0,16.9,14.4,16.7,22.5,19.3,19.2,18.0,39.0,25.0,28.1,14.4,21.0,13.0,31.8,10.5,32.6,17.8,16.0
