PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
Rex Walters,MIA,28,38,22,16,6.2,2.1,0.6,1.4,45.3,0.2,0.6,27.3,0.7,0.7,92.9,0.1,0.5,0.6,0.9,0.7,0.2,0.0,0.7,4.2,0,0,-1.4
Rick Brunson,POR,26,38,21,17,16.3,4.3,1.3,3.7,34.8,0.6,1.6,36.1,1.1,1.6,67.7,0.4,1.1,1.5,2.6,1.4,0.7,0.1,1.4,10.8,1,0,-0.6
Rick Fox,LAL,28,82,61,21,33.0,12.0,4.4,9.4,47.1,1.0,3.2,32.5,2.1,2.8,74.3,1.0,3.4,4.4,3.4,2.5,1.2,0.6,3.8,25.2,1,0,4.7
Rick Mahorn,DET,39,59,25,34,12.0,2.4,1.0,2.2,45.7,0.0,0.0,0.0,0.4,0.6,67.6,1.1,2.2,3.3,0.3,0.6,0.2,0.1,2.1,7.2,0,0,1.3
Ricky Pierce,MIL,38,39,11,28,11.3,3.9,1.3,3.7,36.4,0.1,0.3,30.8,1.1,1.3,82.7,0.5,0.7,1.2,0.9,0.5,0.2,0.0,0.9,6.7,0,0,-2.7
Rik Smits,IND,31,73,52,21,28.5,16.7,7.0,14.2,49.5,0.0,0.0,0.0,2.6,3.3,78.3,1.7,5.2,6.9,1.4,1.8,0.5,1.2,3.3,30.5,16,0,6.0
Robert Horry,LAL,27,72,52,20,30.5,7.4,2.8,5.8,47.6,0.3,1.3,20.4,1.6,2.3,69.2,2.6,4.9,7.5,2.3,1.4,1.6,1.3,3.3,27.1,8,0,7.0
Robert Pack,DAL,29,12,0,12,24.4,7.8,2.8,8.2,33.7,0.3,0.5,50.0,2.1,3.0,69.4,0.7,2.2,2.8,3.5,3.2,1.7,0.1,1.4,18.6,0,0,-9.2
Rod Strickland,WAS,31,76,38,38,39.7,17.8,6.4,14.9,43.4,0.2,0.6,25.0,4.7,6.5,72.6,1.5,3.9,5.3,10.5,3.5,1.7,0.3,2.4,42.4,42,3,1.3
Rodney Rogers,LAC,27,76,17,59,32.9,15.1,5.6,12.3,45.6,0.9,2.8,34.0,3.0,4.3,68.6,2.0,3.5,5.6,2.7,2.5,1.2,0.5,3.2,28.4,8,0,-6.5
Rodrick Rhodes,HOU,24,58,29,29,18.5,5.8,1.9,5.3,36.7,0.0,0.1,25.0,1.9,3.1,61.7,0.5,0.7,1.2,1.9,1.7,1.1,0.2,2.2,12.2,0,0,-1.4
Ron Harper,CHI,34,82,62,20,27.9,9.3,3.6,8.1,44.1,0.2,1.0,19.0,2.0,2.6,75.0,1.3,2.2,3.5,2.9,1.1,1.3,0.6,2.2,22.6,0,0,5.6
Ron Mercer,BOS,22,80,35,45,33.2,15.3,6.4,14.3,45.0,0.0,0.4,10.7,2.4,2.8,83.9,1.4,2.1,3.5,2.2,1.7,1.6,0.2,2.7,26.4,0,0,-1.2
Rony Seikaly,NJN,33,56,25,31,29.3,13.3,4.5,10.3,43.2,0.0,0.0,0.0,4.4,5.9,74.1,2.6,4.4,7.0,1.4,2.6,0.5,0.8,2.9,25.0,15,0,-3.3
Roy Rogers,TOR,24,15,4,11,7.1,1.3,0.6,1.7,36.0,0.0,0.0,0.0,0.1,0.4,33.3,0.5,0.6,1.1,0.1,0.3,0.2,0.5,1.2,4.8,0,0,-3.2
Rusty LaRue,CHI,24,14,10,4,9.9,3.5,1.4,3.5,40.8,0.3,1.1,25.0,0.4,0.6,62.5,0.1,0.5,0.6,0.4,0.4,0.2,0.1,0.9,5.2,0,0,2.4
Sam Cassell,NJN,28,75,38,37,34.7,19.6,6.8,15.4,44.1,0.2,1.1,18.8,5.8,6.8,86.0,1.0,2.1,3.0,8.0,3.6,1.6,0.3,3.5,37.4,20,0,1.8
Sam Mack,VAN,28,57,14,43,24.8,10.8,3.9,9.8,39.7,1.9,4.7,40.9,1.1,1.4,80.5,0.5,1.8,2.3,1.8,1.2,0.7,0.2,2.1,17.8,0,0,-4.8
Sam Mitchell,MIN,34,81,44,37,27.6,12.3,4.6,9.9,46.4,0.2,0.5,34.9,3.0,3.6,83.2,1.5,3.3,4.8,1.3,0.8,0.8,0.3,2.5,22.4,4,0,0.5
Sam Perkins,SEA,37,81,60,21,20.7,7.2,2.4,5.8,41.6,1.1,2.7,39.2,1.2,1.6,78.9,0.7,2.5,3.1,1.4,0.8,0.8,0.4,2.0,15.6,0,0,4.0
Samaki Walker,DAL,22,41,8,33,25.1,8.9,3.8,7.8,48.8,0.0,0.0,0.0,1.3,2.4,54.6,2.3,5.0,7.4,0.6,1.5,0.7,1.0,3.1,22.3,8,0,-5.2
Scot Pollard,DET,23,33,16,17,9.6,2.7,1.1,2.1,50.0,0.0,0.0,0.0,0.6,0.7,82.6,1.0,1.2,2.2,0.3,0.4,0.2,0.3,1.5,7.1,0,0,-0.2
Scott Brooks,CLE,32,43,23,20,7.2,1.8,0.7,1.5,42.4,0.1,0.3,45.5,0.4,0.5,90.0,0.1,0.6,0.7,1.1,0.3,0.4,0.1,0.6,5.6,0,0,-0.6
Scott Burrell,CHI,27,80,60,20,13.7,5.2,2.0,4.7,42.4,0.6,1.8,35.4,0.6,0.8,73.4,1.0,1.5,2.5,0.8,0.6,0.8,0.5,1.6,12.6,0,0,1.8
Scott Williams,PHI,30,58,20,38,13.8,4.1,1.6,3.7,43.7,0.0,0.1,0.0,0.9,1.1,81.0,1.5,2.1,3.6,0.5,0.5,0.3,0.4,2.3,10.7,0,0,-1.3
Scottie Pippen,CHI,32,44,36,8,37.6,19.2,7.2,16.0,44.8,1.4,4.4,31.8,3.4,4.4,77.7,1.2,4.0,5.2,5.8,2.5,1.8,1.0,2.6,39.9,4,0,7.4
Sean Elliott,SAS,30,36,24,12,28.1,9.3,3.4,8.4,40.3,0.9,2.5,37.8,1.6,2.2,71.8,0.4,3.0,3.4,1.7,1.6,0.7,0.4,2.6,17.6,0,0,1.3
Sean Higgins,POR,29,2,1,1,6.2,0.0,0.0,2.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,1.5,2.5,0,0,-7.0
Sean Rooks,LAL,28,41,33,8,10.4,3.4,1.1,2.5,45.5,0.0,0.0,0.0,1.1,1.9,59.5,1.1,1.8,2.9,0.6,0.5,0.0,0.6,1.7,9.1,0,0,0.0
Shandon Anderson,UTA,24,82,62,20,19.5,8.3,3.3,6.1,53.8,0.1,0.4,21.9,1.7,2.3,73.5,1.0,1.7,2.8,1.1,1.1,0.8,0.2,1.8,15.2,0,0,1.2
Shaquille O'Neal,LAL,26,60,46,14,36.2,28.3,11.2,19.1,58.4,0.0,0.0,0.0,6.0,11.4,52.7,3.5,7.9,11.4,2.4,2.9,0.7,2.4,3.2,51.7,39,0,10.9
Shareef Abdur-Rahim,VAN,21,82,19,63,35.9,22.3,8.0,16.4,48.4,0.3,0.6,41.2,6.1,7.8,78.4,2.8,4.3,7.1,2.6,3.1,1.1,0.9,2.5,37.6,13,0,-5.3
Sharone Wright,TOR,25,7,2,5,6.4,2.3,1.0,2.0,50.0,0.0,0.0,0.0,0.3,0.6,50.0,0.1,1.1,1.3,0.6,0.3,0.0,0.0,1.0,4.4,0,0,-0.1
Shawn Bradley,DAL,26,64,17,47,28.5,11.4,4.7,11.1,42.2,0.0,0.0,33.3,2.0,2.8,72.2,2.6,5.5,8.1,0.9,1.5,0.8,3.3,3.3,33.5,19,1,-2.0
Shawn Kemp,CLE,28,80,47,33,34.6,18.0,6.5,14.6,44.5,0.0,0.1,25.0,5.1,7.0,72.7,2.7,6.6,9.3,2.5,3.4,1.4,1.1,3.9,36.9,41,0,3.1
Shawn Respert,DAL,26,57,9,48,15.9,5.9,2.3,5.1,44.4,0.5,1.6,33.3,0.8,1.1,78.7,0.6,1.1,1.8,1.1,0.8,0.6,0.0,1.3,10.7,0,0,-3.6
Shawnelle Scott,CLE,26,41,22,19,4.6,1.1,0.4,0.9,44.4,0.0,0.0,0.0,0.3,0.4,66.7,0.5,1.0,1.4,0.2,0.2,0.1,0.2,1.1,3.9,0,0,0.2
Shea Seals,LAL,22,4,3,1,2.0,1.0,0.3,2.0,12.5,0.0,0.8,0.0,0.5,1.0,50.0,0.8,0.3,1.0,0.0,0.0,0.3,0.0,0.3,3.0,0,0,-1.0
Sherman Douglas,NJN,31,80,43,37,21.2,8.0,3.2,6.4,49.5,0.2,0.6,30.4,1.4,2.2,66.9,0.7,1.0,1.7,4.0,1.4,0.7,0.1,2.0,16.9,6,0,0.8
Spud Webb,ORL,34,4,2,2,8.6,3.0,1.3,3.0,41.7,0.0,0.3,0.0,0.5,0.5,100,0.5,0.3,0.8,1.3,1.8,0.3,0.0,1.5,4.8,0,0,-3.3
Stacey Augmon,POR,29,71,39,32,20.4,5.7,2.2,5.2,41.4,0.0,0.1,14.3,1.3,2.2,60.3,1.5,1.8,3.3,1.2,1.1,0.8,0.5,2.0,14.1,1,0,-0.6
Stanley Roberts,MIN,28,74,37,37,18.0,6.2,2.6,5.2,49.5,0.0,0.0,0.0,1.0,2.1,48.1,1.5,3.4,4.9,0.4,0.9,0.3,1.0,3.1,15.6,1,0,-0.4
Stephen Howard,SEA,27,13,9,4,4.0,1.9,0.6,1.6,38.1,0.0,0.0,0.0,0.7,1.4,50.0,0.5,0.5,0.9,0.2,0.5,0.2,0.1,1.0,3.8,0,0,-1.0
