PLAYER,TEAM,AGE,Restricted Area FGM,Restricted Area FGA,Restricted Area FG PCT,In The Paint (Non-RA) FGM,In The Paint (Non-RA) FGA,In The Paint (Non-RA) FG PCT,Mid-Range FGM,Mid-Range FGA,Mid-Range FG PCT,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG PCT,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG PCT,Corner 3 FGM,Corner 3 FGA,Corner 3 FG PCT,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG PCT
A.C. Green,DAL,35,0.8,1.5,52,0.1,0.3,46.7,1.3,3.2,39.2,0,0.1,0,0,0,0,0,0.1,0,0,0.1,0
Aaron McKie,PHI,26,0.4,0.6,70,0.1,0.4,14.3,1.3,3.1,41.9,0,0,0,0.1,0.2,40,0.1,0.2,50,0.1,0.5,16.7
Aaron Williams,SEA,27,0.9,1.6,56.3,0.3,0.9,31.4,0.1,0.6,21.7,0,0,0,0,0,0,0,0,-,0,0,0
Adam Keefe,UTA,29,0.8,1.6,53.6,0.2,0.5,35,0.3,0.7,37.5,0,0,0,0,0,0,0,0,-,0,0.1,0
Adonal Foyle,GSW,24,1,1.7,55.3,0.2,0.9,23.7,0,0.2,14.3,0,0,0,0,0,0,0,0,-,0,0,0
Adonis Jordan,MIL,28,0,0,0,0,0,0,0.5,0.5,100,0,0,0,0,1,0,0,1,0,0,0.3,0
Al Harrington,IND,19,0.5,1.2,38.5,0.3,0.7,36.4,0.2,0.8,28.6,0,0.3,0,0,0,0,0,0.3,0,0,0.3,0
Alan Henderson,ATL,26,2.8,4.5,61,0.7,2.7,26.7,1.4,3.9,36.9,0,0,0,0,0,0,0,0,-,0,0,0
Allan Houston,NYK,28,1.3,2.4,55.4,0.4,1.4,25.4,3,7.4,41,0.1,0.4,22.2,0.1,0.2,40,0.2,0.6,33.3,1,2.2,44.1
Allen Iverson,PHI,24,3.9,6.4,60.1,0.5,2.5,22,3.5,9,38.5,0.4,0.7,60.9,0.2,0.4,41.2,0.6,1.1,54.5,0.8,3.3,23.3
Alonzo Mourning,MIA,29,3.8,5.7,66.9,1.3,3,41.7,2,5,39.7,0,0,0,0,0,0,0,0,-,0,0,0
Alvin Sims,PHX,24,0.5,1,50,0.3,1,25,0,0.3,0,0,0,0,0,0,0,0,0,-,0.3,0.3,100
Alvin Williams,TOR,24,0.6,1.3,50.8,0.2,0.5,34.8,0.8,2.2,37.6,0,0.3,14.3,0,0.2,14.3,0,0.5,0,0.3,0.6,42.9
Andrae Patterson,MIN,23,0.7,1.1,66.7,0.3,0.7,38.1,0.3,1,28.1,0,0.1,0,0,0,0,0,0.1,0,0,0.2,0
Andrew DeClercq,CLE,26,2.4,4.3,56,0.4,1.1,40.4,0.1,0.5,20.8,0,0,0,0,0,0,0,0,-,0,0,0
Andrew Gaze,SAS,33,0.1,0.1,100,0.1,0.1,100,0.1,0.4,14.3,0.7,0.7,100,0,0,0,0.7,0.7,100,0.2,0.9,21.4
Andrew Lang,CHI,33,0.5,1.5,34.4,0.5,1.4,33.3,0.5,1.8,29.7,0,0,0,0,0,0,0,0,-,0,0,0
Anfernee Hardaway,ORL,27,2.9,4.7,62,0.7,2.2,33.3,1.6,4.7,34,0.1,0.2,57.1,0.1,0.3,44.4,0.2,0.5,40,0.6,2.4,26.4
Antawn Jamison,GSW,23,2.2,3.6,60.9,1,2.5,38.1,0.6,2.1,27.8,0,0,0,0,0.1,0,0,0.1,0,0.1,0.1,42.9
Anthony Avent,UTA,29,0.4,1,40,0.3,1.3,20,0.2,0.6,33.3,0,0,0,0,0,0,0,0,-,0,0,0
Anthony Johnson,ATL,24,0.6,1,52.9,0.4,1,38.8,0.8,2.1,38.1,0,0,100,0,0,0,0,0,-,0.1,0.4,22.2
Anthony Miller,HOU,27,0.8,1.6,53.3,0,0.2,16.7,0.1,0.3,37.5,0,0,0,0,0,0,0,0,-,0,0,0
Anthony Parker,PHI,24,0,0,0,0,0,0,0.5,0.5,100,-,-,-,-,-,-,0,0,-,0,0,0
