PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
AJ Price,IND,25,44,27,17,12.9,49.4,50.6,38.4,24.4,45.3,5.8,16.3,19.8,14.0,21.2,78.8,73.1,26.9,44.1,55.9
Aaron Gray,TOR,27,49,17,32,16.6,100,0.0,86.9,6.3,0.0,3.7,13.1,12.0,80.6,66.3,33.7,0.0,0.0,66.3,33.7
Al Harrington,DEN,32,64,36,28,27.5,60.8,39.2,53.6,9.7,33.3,15.2,13.1,17.8,44.0,58.6,41.4,98.0,2.0,70.1,29.9
Al Horford,ATL,26,11,7,4,31.6,99.0,1.0,83.8,20.6,0.0,5.1,16.2,9.6,63.2,57.9,42.1,0.0,0.0,57.9,42.1
Al Jefferson,UTA,27,61,32,29,34.0,99.6,0.4,88.0,29.4,0.3,1.5,11.7,13.5,58.6,52.2,47.8,100,0.0,52.3,47.7
Al-Farouq Aminu,NOH,21,66,21,45,22.4,87.1,12.9,68.7,15.0,9.8,15.8,21.6,22.8,53.6,59.1,40.9,100,0.0,62.7,37.3
Alan Anderson,TOR,29,17,7,10,27.1,57.0,43.0,38.0,17.2,44.2,8.6,17.8,12.3,20.9,45.2,54.8,87.5,12.5,63.6,36.4
Alec Burks,UTA,20,59,33,26,15.9,87.4,12.6,64.9,16.5,10.6,32.5,24.5,23.8,48.5,51.4,48.6,86.7,13.3,54.9,45.1
Alonzo Gee,CLE,25,63,20,43,29.0,75.1,24.9,55.0,11.4,19.8,17.6,25.1,23.2,43.6,47.0,53.0,95.5,4.5,56.4,43.6
Amar'e Stoudemire,NYK,29,47,22,25,32.8,96.8,3.2,75.6,20.2,1.8,6.9,22.6,12.4,55.4,61.1,38.9,80.0,20.0,61.4,38.6
Amir Johnson,TOR,25,64,22,42,24.3,98.5,1.5,85.8,15.9,1.3,8.2,12.8,15.5,69.9,69.6,30.4,50.0,50.0,69.4,30.6
Anderson Varejao,CLE,29,25,10,15,31.4,98.2,1.8,84.1,10.3,0.0,6.6,15.9,14.8,73.8,71.9,28.1,0.0,0.0,71.9,28.1
Andray Blatche,WAS,25,26,7,19,24.1,97.1,2.9,82.4,34.4,2.7,6.3,14.9,14.9,48.0,50.5,49.5,100,0.0,51.6,48.4
Andre Emmett,NJN,29,6,2,4,7.5,85.7,14.3,61.5,0.0,0.0,38.5,38.5,53.8,61.5,50.0,50.0,0.0,0.0,50.0,50.0
Andre Iguodala,PHI,28,62,33,29,35.6,69.5,30.5,54.7,20.0,29.6,26.1,15.7,25.4,34.8,41.2,58.8,75.0,25.0,50.2,49.8
