PLAYER,TEAM,AGE,Restricted Area FGM,Restricted Area FGA,Restricted Area FG PCT,In The Paint (Non-RA) FGM,In The Paint (Non-RA) FGA,In The Paint (Non-RA) FG PCT,Mid-Range FGM,Mid-Range FGA,Mid-Range FG PCT,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG PCT,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG PCT,Corner 3 FGM,Corner 3 FGA,Corner 3 FG PCT,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG PCT
A.C. Green,DAL,34,1.1,2,54.2,0.1,0.5,23.7,1.7,4,43.9,0,0,0,0,0,0,0,0,-,0,0,0
Aaron McKie,PHI,25,0.6,1.2,50.5,0.1,0.4,31,0.9,2.4,36.1,0,0.2,28.6,0.1,0.2,37.5,0.1,0.4,25,0.1,0.6,14.9
Aaron Williams,SEA,26,1.4,2.2,63.9,0.2,0.6,30.6,0.2,0.6,32.5,0,0,0,0,0,0,0,0,-,0,0,0
Adam Keefe,UTA,28,2.2,3.5,61.1,0.2,0.5,43.6,0.5,1.3,38.2,0,0,0,0,0,0,0,0,-,0,0,0
Adonal Foyle,GSW,23,0.8,1.6,48.9,0.3,1,35.3,0.1,0.6,26.7,0,0,0,0,0,0,0,0,-,0,0,0
Adrian Caldwell,DAL,31,0,0,0,-,-,-,0,0,0,-,-,-,-,-,-,0,0,-,0,0,0
Alan Henderson,ATL,25,3.2,5.2,62.2,0.7,2.1,33.3,1.3,3.6,37.4,0,0,0,0,0,100,0,0,-,0,0.1,50
Allan Houston,NYK,27,1.8,3.2,55.2,0.6,1.5,39.4,3.6,8.2,43.7,0.2,0.5,46.4,0.1,0.2,33.3,0.3,0.7,42.9,0.8,2.1,37.8
Allen Iverson,PHI,23,3.7,6.3,58.8,0.9,2.4,38.7,2.6,5.9,43.6,0.1,0.2,53.8,0.1,0.1,66.7,0.2,0.3,66.7,0.7,2.7,27.6
Alonzo Mourning,MIA,28,4.4,6.2,72.3,1.2,3.1,40.7,1.3,3.4,37.2,0,0,0,0,0,0,0,0,-,0,0,0
Alton Lister,POR,39,0.1,0.3,50,0,0.3,0,0.3,0.6,50,0,0,0,0,0,0,0,0,-,0,0,0
Alvin Williams,TOR,23,0.9,1.5,59.8,0.3,0.8,40,1,2.5,39.1,0,0.1,0,0,0.3,16.7,0,0.4,0,0.1,0.4,38.9
Andrew DeClercq,BOS,25,1.8,3.3,53.5,0.2,0.6,40.4,0.1,0.3,23.8,0,0,0,0,0,0,0,0,-,0,0,0
Andrew Lang,MIL,32,0.5,1,51.7,0.3,0.9,34,0.1,0.6,21.6,0,0,0,0,0,0,0,0,-,0,0,0
Anfernee Hardaway,ORL,26,2.5,4.4,57.8,0.5,1.9,24.3,1.6,5.5,29.8,0,0.1,0,0,0.1,0,0,0.2,0,0.8,2.4,33.3
Anthony Bowie,NYK,34,0.4,0.5,78.6,0.1,0.1,50,0.7,1.6,43.6,0.2,0.3,66.7,0,0.1,0,0.2,0.4,50,0.1,0.1,100
Anthony Goldwire,DEN,26,1.1,2,54.2,0,0.3,19,1.4,3.4,39.4,0.2,0.3,56.3,0.1,0.2,54.5,0.3,0.5,60,0.6,1.6,36.1
Anthony Johnson,SAC,23,1,1.8,53.6,0.5,1.5,35.7,0.9,3,30.1,0.1,0.2,50,0.1,0.3,26.7,0.2,0.5,40,0.4,1.3,31.7
Anthony Mason,CHH,31,3,5.1,59.7,1,2.2,43.1,0.8,2.1,38.9,0,0,0,0,0,0,0,0,-,0,0,0
Anthony Miller,ATL,26,0.7,1.2,60.5,0.1,0.2,33.3,0,0.1,33.3,0,0,0,0,0,0,0,0,-,0,0,0
Anthony Parker,PHI,23,0.2,0.4,53.8,0,0.1,0,0.3,0.6,45,0.3,0.5,66.7,0.1,0.4,33.3,0.4,0.9,44.4,0.2,0.7,23.8
Anthony Peeler,MIN,28,1.1,1.8,64.2,0.5,1.3,38,2,4.7,42.1,0.2,0.4,45.5,0.3,0.7,50,0.5,1.1,45.5,1,2.5,40.4
Antoine Carr,UTA,36,0.9,1.5,60.8,0.3,0.8,38.8,1.1,2.7,40.8,0,0,0,0,0,0,0,0,-,0,0,0
Antoine Walker,BOS,21,4.8,8.6,55.9,1.5,4.3,34.8,1.4,4.3,32.2,0.1,0.3,27.3,0.1,0.2,77.8,0.2,0.5,40,1,3.2,29.8
