PLAYER,TEAM,AGE,Restricted Area FGM,Restricted Area FGA,Restricted Area FG PCT,In The Paint (Non-RA) FGM,In The Paint (Non-RA) FGA,In The Paint (Non-RA) FG PCT,Mid-Range FGM,Mid-Range FGA,Mid-Range FG PCT,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG PCT,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG PCT,Corner 3 FGM,Corner 3 FGA,Corner 3 FG PCT,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG PCT
A.J. Guyton,GSW,25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-,-,-,0.0,0.0,-,0.0,0.0,0.0
Aaron McKie,PHI,30,1.5,2.7,57.2,0.4,1.1,38.1,1.2,3.2,36.9,0.2,0.7,34.1,0.1,0.3,40.9,0.3,1.0,30.0,0.2,0.6,29.5
Aaron Williams,NJN,31,1.4,2.7,52.8,0.7,1.5,44.2,0.4,1.2,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Adam Harrington,DEN,22,0.1,0.4,25.0,0.0,0.1,0.0,0.3,0.9,28.6,0.0,0.2,0.0,0.2,0.2,100,0.2,0.4,50.0,0.3,1.0,33.3
Adonal Foyle,GSW,28,1.3,2.1,62.6,0.6,1.4,43.6,0.3,0.6,47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Adrian Griffin,DAL,28,0.5,0.9,59.4,0.5,1.0,44.0,0.9,2.4,39.7,0.0,0.1,40.0,0.0,0.1,25.0,0.0,0.2,0.0,0.0,0.1,20.0
Al Harrington,IND,23,1.9,3.6,53.0,0.4,1.3,30.9,2.2,5.4,41.6,0.1,0.2,41.7,0.0,0.1,40.0,0.1,0.3,33.3,0.1,0.3,21.4
Alan Henderson,ATL,30,1.2,1.9,65.8,0.2,0.9,22.4,0.4,1.2,37.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Allan Houston,NYK,32,0.5,1.3,37.9,0.7,1.4,45.8,4.6,9.7,48.0,0.2,0.5,32.4,0.5,1.0,47.4,0.7,1.5,46.7,1.6,4.0,39.0
Allen Iverson,PHI,28,3.7,6.8,54.0,0.9,2.3,39.8,4.2,10.9,38.7,0.1,0.5,26.5,0.0,0.1,0.0,0.1,0.6,16.7,0.9,3.2,28.0
Alton Ford,PHX,22,0.1,0.2,50.0,0.0,0.2,0.0,0.2,0.6,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Alvin Williams,TOR,28,0.9,1.8,52.5,0.6,1.4,43.1,2.9,6.6,44.6,0.0,0.0,0.0,0.1,0.1,50.0,0.1,0.1,100,0.6,1.7,31.9
Amal McCaskill,ATL,29,0.4,1.3,28.6,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Amar'e Stoudemire,PHX,20,3.5,5.9,58.4,1.0,2.9,35.3,0.3,1.1,23.4,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,33.3
Andre Miller,LAC,27,1.7,3.1,54.6,1.1,2.9,39.6,1.6,4.3,37.2,0.0,0.1,28.6,0.0,0.0,33.3,0.0,0.1,0.0,0.3,1.1,22.7
Andrei Kirilenko,UTA,22,2.7,4.0,68.6,0.0,0.4,10.3,0.7,2.3,31.3,0.0,0.2,15.4,0.1,0.2,46.2,0.1,0.4,25.0,0.4,1.1,34.1
Andrew DeClercq,ORL,30,1.7,2.8,59.3,0.2,0.5,39.0,0.1,0.3,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Anfernee Hardaway,PHX,31,1.3,2.2,57.8,0.4,1.3,33.8,2.3,5.1,44.4,0.1,0.1,60.0,0.1,0.2,30.0,0.2,0.3,66.7,0.3,1.0,32.1
Ansu Sesay,SEA,26,0.5,1.0,53.3,0.1,0.2,22.2,0.4,1.3,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Antawn Jamison,GSW,27,2.5,3.6,70.7,2.3,4.8,47.5,2.8,7.0,40.2,0.1,0.4,19.2,0.3,0.7,43.4,0.4,1.1,36.4,0.5,1.6,28.7
Anthony Carter,MIA,28,0.7,1.2,56.1,0.2,0.5,34.8,0.9,3.0,29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.1,0.0
