PLAYER,TEAM,AGE,Restricted Area FGM,Restricted Area FGA,Restricted Area FG PCT,In The Paint (Non-RA) FGM,In The Paint (Non-RA) FGA,In The Paint (Non-RA) FG PCT,Mid-Range FGM,Mid-Range FGA,Mid-Range FG PCT,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG PCT,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG PCT,Corner 3 FGM,Corner 3 FGA,Corner 3 FG PCT,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG PCT
A.C. Green,LAL,36,0.9,1.7,53.6,0.2,0.6,41.7,1,2.4,39.6,0,0,0,0,0,0,0,0,-,0,0,50
A.J. Bramlett,CLE,23,0.5,1.9,26.7,0,0.6,0,0,0.3,0,0,0,0,0,0,0,0,0,-,0,0,0
Aaron McKie,PHI,27,0.7,1.1,61.5,0.1,0.7,17.9,1.6,4,41.4,0.2,0.4,47.4,0.2,0.5,40.9,0.4,0.9,44.4,0.3,1,32.1
Aaron Williams,WAS,28,2.1,3.2,66.5,0.5,1.5,32.5,0.3,0.9,35.6,0,0,0,0,0,0,0,0,-,0,0,0
Adam Keefe,UTA,30,0.6,1,62.3,0.1,0.5,18.5,0.2,0.7,24.4,0,0,0,0,0,0,0,0,-,0,0,0
Adonal Foyle,GSW,25,1.5,2.8,55,0.9,1.8,50,0.1,0.4,27.3,0,0,0,0,0,0,0,0,-,0,0,0
Adrian Griffin,BOS,25,1.4,2.5,57,0.2,0.7,26.5,0.6,1.8,34.4,0.1,0.3,21.4,0.1,0.4,40,0.2,0.7,28.6,0.1,0.3,22.7
Al Harrington,IND,20,1.3,2,64.7,0.4,1.1,34.6,0.6,1.5,38.2,0.2,0.4,50,0,0.3,11.1,0.2,0.7,28.6,0,0.3,7.7
Alan Henderson,ATL,27,3.2,5,63.5,0.7,2.2,31.1,1.3,4,33.4,0,0,0,0,0,0,0,0,-,0,0.1,12.5
Aleksandar Radojevic,TOR,23,0.7,1.7,40,0,0,0,0,0.7,0,0,0,0,-,-,-,0,0,-,0,0,0
Allan Houston,NYK,29,1,2.1,46,0.7,1.4,47.4,4.5,9,50.4,0.2,0.5,47.2,0.2,0.5,42.5,0.4,1,40,0.9,2,44.4
