PLAYER,TEAM,AGE,GP,W,L,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS
Aaron Brooks,IND,32,1,0,1,7.0,21.1,22.2,18.8,33.3,33.3,0.0,0.0,0.0,50.0,20.0,16.7,100,0.0,0.0,0.0,0.0,0.0,21.7
Al Horford,BOS,31,18,9,9,610.0,17.5,22.9,17.9,17.2,12.0,12.2,12.4,24.8,25.1,25.1,28.9,19.5,14.9,30.4,13.4,13.0,16.9,20.8
Al-Farouq Aminu,POR,26,4,0,4,113.0,18.5,21.3,18.1,29.2,22.7,13.0,16.2,20.8,26.9,25.5,11.8,23.7,15.8,40.0,17.4,18.8,16.3,20.2
Alex Abrines,OKC,23,5,1,4,80.0,12.6,12.7,15.2,31.3,34.0,11.1,8.7,8.7,15.6,13.2,15.4,0.0,0.0,0.0,10.0,19.0,14.3,14.2
Allen Crabbe,POR,25,4,0,4,92.0,11.5,12.3,13.6,15.0,21.0,2.4,5.8,0.0,20.7,15.4,6.9,3.7,6.7,0.0,14.3,19.1,7.7,10.6
Amir Johnson,BOS,30,14,6,8,142.0,12.4,15.2,12.6,2.8,3.5,13.2,16.0,60.7,14.4,25.4,4.6,12.2,25.0,50.0,33.3,38.7,15.0,13.2
Andre Iguodala,GSW,33,16,15,1,419.0,12.9,12.9,13.5,8.0,14.6,6.9,9.7,11.1,17.6,16.3,21.9,15.5,20.9,12.5,0.0,14.7,14.6,11.2
Andre Roberson,OKC,25,5,1,4,185.0,14.2,16.8,14.1,23.3,16.5,4.2,19.6,36.0,10.3,17.6,13.0,12.3,32.4,54.8,6.7,18.8,16.7,15.0
Andrew Harrison,MEM,22,6,2,4,119.0,15.1,16.0,15.8,25.0,22.4,20.5,20.0,20.0,11.5,13.6,27.1,10.3,27.3,14.3,12.5,22.6,26.2,17.6
Anthony Morrow,CHI,31,3,0,3,29.0,15.9,22.7,19.6,0.0,0.0,16.7,16.7,0.0,14.3,11.5,11.8,0.0,0.0,0.0,25.0,22.2,20.0,18.8
