PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
Pat Connaughton,POR,24,39,18,21,8.1,54.2,45.8,40.8,2.0,52.0,25.5,7.1,11.2,38.8,80.0,20.0,94.1,5.9,86.5,13.5
Patricio Garino,ORL,24,5,2,3,8.6,28.6,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Beverley,HOU,28,67,46,21,30.7,47.0,53.0,36.9,3.4,51.6,13.3,11.4,20.3,33.5,29.7,70.3,83.6,16.4,55.7,44.3
Patrick McCaw,GSW,21,71,57,14,15.1,49.8,50.2,46.1,4.3,43.6,20.6,10.3,18.1,41.8,72.3,27.7,92.7,7.3,80.2,19.8
Patrick Patterson,TOR,28,65,42,23,24.6,34.1,65.9,27.0,6.7,63.4,3.6,9.7,14.8,20.2,51.7,48.3,97.9,2.1,79.9,20.1
Patty Mills,SAS,28,80,60,20,21.9,42.8,57.2,33.2,16.1,58.1,16.2,8.7,18.3,17.1,54.0,46.0,82.3,17.7,69.2,30.8
Pau Gasol,SAS,36,64,47,17,25.4,82.8,17.2,62.4,24.2,21.2,4.7,16.4,11.4,38.1,66.8,33.2,100,0.0,72.9,27.1
Paul George,IND,27,75,39,36,35.9,63.2,36.8,48.1,26.7,33.0,11.0,18.9,17.6,21.4,37.5,62.5,81.5,18.5,51.3,48.7
Paul Millsap,ATL,32,69,40,29,34.0,75.2,24.8,57.0,15.7,18.1,5.2,25.0,13.6,41.3,55.8,44.2,94.7,5.3,62.6,37.4
Paul Pierce,LAC,39,25,16,9,11.1,38.6,61.4,32.1,17.3,55.6,4.9,12.3,14.8,14.8,61.5,38.5,100,0.0,82.1,17.9
Paul Zipser,CHI,23,44,21,23,19.2,55.2,44.8,45.8,14.2,41.3,18.8,12.9,18.3,31.7,81.8,18.2,100,0.0,88.6,11.4
Pierre Jackson,DAL,25,9,4,5,9.4,71.8,28.2,57.1,17.1,25.7,20.0,17.1,31.4,40.0,10.0,90.0,66.7,33.3,23.1,76.9
Quincy Acy,BKN,26,38,11,27,14.7,47.1,52.9,29.7,5.4,50.0,2.7,20.3,17.1,24.3,72.7,27.3,97.3,2.7,85.7,14.3
