PLAYER,TEAM,AGE,Restricted Area FGM,Restricted Area FGA,Restricted Area FG PCT,In The Paint (Non-RA) FGM,In The Paint (Non-RA) FGA,In The Paint (Non-RA) FG PCT,Mid-Range FGM,Mid-Range FGA,Mid-Range FG PCT,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG PCT,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG PCT,Corner 3 FGM,Corner 3 FGA,Corner 3 FG PCT,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG PCT
A.C. Green,DAL,33,1.6,2.8,58.5,0.2,0.5,34.1,1,2.4,41.6,0,0,0,0,0,0,0,0,-,0,0.1,14.3
Aaron McKie,DET,24,0.9,1.5,55.5,0.1,0.4,20.7,0.7,1.9,36.3,0.1,0.2,40,0.1,0.3,33.3,0.2,0.5,40,0.1,0.3,29.2
Aaron Williams,VAN,25,2.2,3.3,67.3,0.3,0.7,40.9,0.1,0.5,12.5,0,0,0,0,0,0,0,0,-,0,0,0
Acie Earl,MIL,27,0.6,1.3,44.3,0.6,1.2,48.9,0.4,1.5,25,0,0.1,0,0,0,0,0,0.1,0,0,0,0
Adam Keefe,UTA,27,1,1.7,57.1,0.1,0.3,38.9,0.2,0.6,41.7,0,0,0,0,0,0,0,0,-,0,0,0
Adrian Caldwell,PHI,30,0.8,1.6,52.9,0.1,0.3,18.2,0,0.2,10,0,0,0,0,0,0,0,0,-,0,0,0
Alan Henderson,ATL,24,2.1,3.5,61,0.1,0.5,14.3,0.4,1.4,25.6,0,0,0,0,0,0,0,0,-,0,0,0
Aleksandar Djordjevic,POR,29,0.1,0.3,50,0.1,0.6,20,0.6,1,62.5,0.3,0.3,100,0,0,0,0.3,0.3,100,0,0,0
Allan Houston,NYK,26,1.1,2.3,46.3,0.5,1.1,47.7,3.1,7.3,42.5,0.2,0.5,44,0.1,0.4,38.1,0.3,0.9,33.3,0.5,1.5,32
Allen Iverson,PHI,22,4.1,8.6,48.2,0.6,1.3,50.5,2.1,5.7,37.2,0.3,0.6,55.2,0.1,0.2,45.5,0.4,0.8,50,1.1,3.7,28.6
Alonzo Mourning,MIA,27,4,6.2,64.8,1.5,3.4,44.5,1.6,3.7,43.2,0,0,0,0,0,0,0,0,-,0,0,0
Alton Lister,BOS,38,0.4,1,39.2,0.1,0.1,40,0.2,0.4,47.6,0,0,0,0,0,0,0,0,-,0,0,0
Amal McCaskill,ORL,23,0.3,0.6,45.5,0.1,0.3,50,0.2,0.9,20,0,0,0,0,0,0,0,0,-,0,0.1,0
Andrew DeClercq,GSW,24,1.7,2.9,58.1,0.2,0.6,38.5,0.1,0.4,29,0,0,0,0,0,0,0,0,-,0,0,0
Andrew Lang,MIL,31,1.3,2.3,55.4,0.6,1.3,42.6,0.4,1.1,32.2,0,0,0,0,0,0,0,0,-,0,0,0
