PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
Aaron McKie,PHI,32,68,35,33,16.6,56.3,43.7,53.9,28.9,39.5,15.8,6.6,20.4,25.0,73.2,26.8,95.0,5.0,80.3,19.7
Aaron Williams,TOR,33,42,13,29,7.4,100,0.0,79.5,16.4,0.0,8.2,20.5,17.8,63.0,82.8,17.2,0.0,0.0,82.8,17.2
Adonal Foyle,GSW,30,78,31,47,21.8,100,0.0,88.6,9.1,0.0,6.3,11.4,12.5,79.5,64.1,35.9,0.0,0.0,64.1,35.9
Adrian Griffin,CHI,30,69,38,31,9.5,94.4,5.6,74.2,41.1,4.0,12.6,21.9,23.2,33.1,51.8,48.2,100,0.0,53.4,46.6
Al Harrington,ATL,25,66,10,56,38.6,92.5,7.5,75.5,21.9,4.1,11.6,20.4,18.0,53.5,45.3,54.7,93.8,6.3,47.0,53.0
Al Jefferson,BOS,20,71,39,32,14.7,99.2,0.8,82.1,8.4,0.0,5.3,17.9,16.2,73.7,58.5,41.5,0.0,0.0,58.5,41.5
Alan Henderson,DAL,32,78,55,23,15.3,99.1,0.9,85.0,5.1,0.0,11.7,15.0,14.7,79.9,55.2,44.8,0.0,0.0,55.2,44.8
Aleksandar Radojevic,UTA,28,12,1,11,10.7,100,0.0,63.2,31.6,0.0,0.0,36.8,31.6,31.6,66.7,33.3,0.0,0.0,66.7,33.3
Alex Garcia,NOH,25,8,0,8,18.2,65.4,34.6,59.1,13.6,34.1,34.1,6.8,20.5,45.5,46.2,53.8,80.0,20.0,55.6,44.4
Allan Houston,NYK,34,20,8,12,26.7,61.0,39.0,45.6,40.5,39.2,5.1,15.2,10.5,5.1,64.8,35.2,93.5,6.5,75.3,24.7
Allen Iverson,PHI,30,75,41,34,42.3,81.4,18.6,57.9,22.7,13.6,19.1,28.5,17.7,35.3,16.9,83.1,56.7,43.3,22.3,77.7
Alonzo Mourning,MIA,35,37,17,20,19.0,100,0.0,70.9,17.0,0.0,2.1,29.1,16.0,53.9,67.0,33.0,0.0,0.0,67.0,33.0
Amar'e Stoudemire,PHX,22,80,60,20,36.1,98.8,1.2,71.5,17.4,0.4,14.8,28.0,12.8,54.1,59.7,40.3,66.7,33.3,59.7,40.3
Anderson Varejao,CLE,22,54,27,27,16.1,99.0,1.0,74.4,15.0,0.0,14.7,25.6,24.4,59.4,60.6,39.4,0.0,0.0,60.6,39.4
Andre Barrett,ORL,23,38,17,21,12.6,58.1,41.9,52.5,30.5,35.6,13.6,11.9,16.1,22.0,45.2,54.8,85.7,14.3,57.8,42.2
Andre Emmett,MEM,22,8,5,3,3.2,100,0.0,57.1,28.6,0.0,14.3,42.9,0.0,28.6,50.0,50.0,0.0,0.0,50.0,50.0
Andre Iguodala,PHI,21,82,43,39,32.7,74.0,26.0,59.9,8.4,19.0,28.2,21.1,26.3,51.6,66.2,33.8,95.7,4.3,71.4,28.6
Andre Miller,DEN,29,82,49,33,34.7,95.6,4.4,75.7,28.4,1.6,27.0,22.7,20.0,47.3,45.1,54.9,33.3,66.7,45.0,55.0
Andrei Kirilenko,UTA,24,41,15,26,33.0,81.7,18.3,57.5,14.1,10.8,14.4,31.7,21.4,43.4,65.2,34.8,91.3,8.7,68.1,31.9
Andres Nocioni,CHI,25,81,47,34,23.4,83.9,16.1,63.8,22.7,11.1,15.2,25.1,17.7,41.1,62.0,38.0,100,0.0,66.0,34.0
Andrew DeClercq,ORL,32,8,4,4,6.3,100,0.0,88.9,0.0,0.0,0.0,11.1,0.0,88.9,75.0,25.0,0.0,0.0,75.0,25.0
Andris Biedrins,GSW,19,30,17,13,12.7,98.7,1.3,82.6,0.0,0.0,3.7,17.4,23.9,82.6,66.7,33.3,0.0,0.0,66.7,33.3
Anfernee Hardaway,NYK,33,37,17,20,24.2,80.8,19.2,70.6,40.1,16.7,2.6,12.6,17.1,30.5,48.4,51.6,100,0.0,55.5,44.5
Ansu Sesay,GSW,28,16,5,11,8.0,81.0,19.0,61.2,28.6,12.2,8.2,26.5,20.4,32.7,66.7,33.3,100,0.0,70.6,29.4
Antawn Jamison,WAS,29,68,38,30,38.4,82.5,17.5,67.2,27.0,16.0,15.8,16.9,16.6,40.2,66.3,33.7,94.4,5.6,70.1,29.9
Anthony Carter,MIN,30,66,36,30,10.8,90.4,9.6,77.3,36.5,3.3,30.9,19.3,21.5,40.9,57.1,42.9,100,0.0,58.3,41.7
Anthony Goldwire,MIL,33,33,10,23,16.1,41.2,58.8,29.1,11.6,55.8,15.1,15.1,22.7,17.4,44.0,56.0,93.8,6.3,71.9,28.1
