PLAYER,ESV
Damon Jones,12.26
Shaquille O'Neal,12.03
Mike Miller,11.92
Matt Bonner,11.51
DerMarr Johnson,11.47
Jason Terry,11.45
Wesley Person,11.44
Kyle Korver,11.41
Donyell Marshall,11.38
Amar'e Stoudemire,11.23
Brendan Haywood,11.19
Raef LaFrentz,11.14
Steve Nash,11.14
Erick Dampier,11.08
Yao Ming,11.03
Leandro Barbosa,11.02
Joe Johnson,10.83
Udonis Haslem,10.83
Jon Barry,10.81
Wally Szczerbiak,10.81
Eddy Curry,10.8
Rashard Lewis,10.79
Chris Andersen,10.78
Dan Gadzuric,10.77
Andre Iguodala,10.72
Jumaine Jones,10.72
Ruben Patterson,10.72
Eddie House,10.7
Chauncey Billups,10.68
Jim Jackson,10.67
Michael Sweetney,10.67
Manu Ginobili,10.66
Peja Stojakovic,10.63
Al Jefferson,10.62
Darius Songaila,10.59
Mark Blount,10.59
Beno Udrih,10.58
Jeff Foster,10.58
Brent Barry,10.57
Chucky Atkins,10.57
Brad Miller,10.53
Samuel Dalembert,10.53
Carlos Boozer,10.43
Dwight Howard,10.41
Cuttino Mobley,10.39
Shawn Marion,10.39
Andrei Kirilenko,10.33
Pau Gasol,10.32
Eddie Jones,10.31
Shareef Abdur-Rahim,10.31
Joe Smith,10.29
Antonio McDyess,10.28
Vladimir Radmanovic,10.27
Chris Wilcox,10.25
Grant Hill,10.25
Primoz Brezec,10.24
Othella Harrington,10.23
Steven Smith,10.22
Brian Cook,10.2
Chris Mihm,10.2
Tayshaun Prince,10.2
Mike Dunleavy,10.19
Mike James,10.17
Lamond Murray,10.15
Bruce Bowen,10.14
LeBron James,10.12
Stephon Marbury,10.12
Keith Van Horn,10.11
Reggie Miller,10.11
Kevin Garnett,10.1
Tim Thomas,10.09
Elton Brand,10.08
Nene,10.08
Etan Thomas,10.04
Jalen Rose,10.03
Tony Parker,10.03
Jason Williams,10.02
Raja Bell,10.02
Quentin Richardson,10.01
Ray Allen,10.0
Shane Battier,10.0
Paul Pierce,9.99
Devin Harris,9.98
Chris Kaman,9.97
Lamar Odom,9.96
Bobby Jackson,9.95
Drew Gooden,9.95
Morris Peterson,9.95
Tim Duncan,9.94
Tony Allen,9.94
Gilbert Arenas,9.92
Fred Jones,9.91
Gary Payton,9.91
Josh Howard,9.9
Mike Bibby,9.9
Tyson Chandler,9.9
Jameer Nelson,9.89
Ricky Davis,9.89
Mickael Pietrus,9.88
Nenad Krstic,9.88
Kenyon Martin,9.87
Vince Carter,9.87
Tyronn Lue,9.86
Bobby Simmons,9.85
Matt Harpring,9.85
Michael Finley,9.85
Jason Richardson,9.83
Allan Houston,9.82
Robert Horry,9.81
Bostjan Nachbar,9.8
Darius Miles,9.8
Anthony Johnson,9.79
Dirk Nowitzki,9.78
Sam Cassell,9.76
Andre Miller,9.75
Casey Jacobsen,9.75
Josh Childress,9.71
Rafer Alston,9.69
Devin Brown,9.68
Jamal Crawford,9.68
Jared Jeffries,9.68
Kobe Bryant,9.68
Mehmet Okur,9.64
Nazr Mohammed,9.63
Dwyane Wade,9.62
Eric Williams,9.62
Jason Hart,9.62
Antonio Daniels,9.61
Maurice Evans,9.61
Bob Sura,9.59
Lee Nailon,9.59
Tony Delk,9.59
Ben Gordon,9.58
Hedo Turkoglu,9.57
Michael Redd,9.55
Jason Collier,9.54
Trenton Hassell,9.53
