PLAYER,ESV
Brent Barry,12.23
Jon Barry,12.15
Shaquille O'Neal,11.59
Wesley Person,11.43
Eric Piatkowski,11.33
Ray Allen,11.32
Michael Redd,11.19
Chucky Atkins,11.1
Jamal Crawford,11.08
Reggie Miller,11.08
Scott Padgett,11.08
Steve Nash,11.07
Jamaal Magloire,10.97
Monty Williams,10.97
John Crotty,10.96
Steven Smith,10.93
Wally Szczerbiak,10.88
Peja Stojakovic,10.87
Tony Battie,10.87
Hubert Davis,10.86
Tracy Murray,10.76
Ben Wallace,10.73
John Stockton,10.73
Pat Garrity,10.73
Rashard Lewis,10.64
Dirk Nowitzki,10.63
Todd MacCulloch,10.61
Othella Harrington,10.59
Rodney Rogers,10.59
Aaron Williams,10.58
Donyell Marshall,10.58
Adrian Griffin,10.55
Elton Brand,10.54
Ruben Patterson,10.54
Derek Fisher,10.5
Doug Christie,10.45
Walt Williams,10.44
Chris Whitney,10.43
Kerry Kittles,10.35
Pau Gasol,10.35
Alonzo Mourning,10.33
Raef LaFrentz,10.29
Samaki Walker,10.28
Horace Grant,10.27
Aaron McKie,10.26
Corliss Williamson,10.24
Rasheed Wallace,10.24
Mike Miller,10.22
Dale Davis,10.21
Vladimir Radmanovic,10.21
Joe Smith,10.2
Paul Pierce,10.18
Mark Jackson,10.17
Quentin Richardson,10.16
Tim Duncan,10.16
Gary Trent,10.15
Darrell Armstrong,10.12
David Robinson,10.12
Gilbert Arenas,10.09
Anthony Mason,10.08
Lucious Harris,10.08
Anthony Peeler,10.07
Bonzi Wells,10.07
Zeljko Rebraca,10.07
Bobby Jackson,10.06
Chauncey Billups,10.03
Jacque Vaughn,10.03
Dikembe Mutombo,10.02
Ira Newble,10.02
Brad Miller,10.01
Jason Terry,10.0
Eddy Curry,9.99
Eddie Jones,9.97
Chris Webber,9.93
Michael Finley,9.93
Morris Peterson,9.91
Kurt Thomas,9.9
Rasho Nesterovic,9.89
Glenn Robinson,9.88
Sam Cassell,9.88
Cuttino Mobley,9.86
Keon Clark,9.86
