PLAYER,ESV
Bo Outlaw,12.15
Gheorghe Muresan,12.09
Tyrone Hill,12.03
Steve Kerr,11.88
Chris Mullin,11.61
Dean Garrett,11.46
Will Perdue,11.41
John Stockton,11.36
Rasheed Wallace,11.25
Shaquille O'Neal,11.18
Mark Bryant,11.05
Karl Malone,11.02
Mario Elie,10.95
Reggie Slater,10.87
Dale Davis,10.75
Danny Manning,10.73
Alonzo Mourning,10.72
Gary Trent,10.69
Terry Mills,10.68
Otis Thorpe,10.67
Jason Caffey,10.66
Rex Walters,10.64
Bryon Russell,10.63
Carlos Rogers,10.61
Chris Webber,10.58
Chris Gatling,10.55
Voshon Lenard,10.55
Dikembe Mutombo,10.53
Anthony Mason,10.51
Sherman Douglas,10.51
Larry Johnson,10.46
Ricky Pierce,10.44
Eric Piatkowski,10.43
Ervin Johnson,10.41
Glen Rice,10.35
Horace Grant,10.34
Greg Ostertag,10.33
Henry James,10.26
Hakeem Olajuwon,10.22
Scott Williams,10.22
Vin Baker,10.22
Arvydas Sabonis,10.21
Kevin Johnson,10.2
Shawn Kemp,10.2
Elliot Perry,10.18
Monty Williams,10.18
Joe Dumars,10.16
Rony Seikaly,10.16
Dell Curry,10.13
Charles Barkley,10.1
Detlef Schrempf,10.08
Jeff Hornacek,10.08
Calbert Cheaney,10.07
Roy Rogers,10.07
Hersey Hawkins,10.06
Ike Austin,10.06
Kevin Garnett,10.03
David Wesley,10.01
Grant Hill,10.0
Corliss Williamson,9.99
Loy Vaught,9.98
Michael Jordan,9.98
Scottie Pippen,9.97
Vlade Divac,9.97
Dana Barros,9.96
Gary Payton,9.91
Matt Maloney,9.91
Eldridge Recasner,9.9
Chris Carr,9.89
Sam Perkins,9.89
Toni Kukoc,9.88
Christian Laettner,9.85
Reggie Miller,9.85
Hot Rod Williams,9.84
Mookie Blaylock,9.83
Wesley Person,9.83
Mark Davis,9.82
Ron Harper,9.82
Charles Oakley,9.8
Clar. Weatherspoon,9.8
Terry Cummings,9.8
Patrick Ewing,9.79
Mitch Richmond,9.78
Mark Price,9.77
Tracy Murray,9.76
A.C. Green,9.75
Byron Scott,9.75
Bryant Reeves,9.74
Matt Geiger,9.74
Rick Fox,9.74
Juwan Howard,9.73
Rik Smits,9.73
Popeye Jones,9.72
Tony Massenburg,9.72
Duane Ferrell,9.71
Eddie Johnson,9.71
John Starks,9.71
Eddie Jones,9.7
Kenny Smith,9.7
Antoine Carr,9.69
Antonio Davis,9.68
Kevin Willis,9.67
Marcus Camby,9.67
Ray Allen,9.66
Isaiah Rider,9.63
Greg Minor,9.62
Glenn Robinson,9.61
Tom Hammonds,9.61
Lorenzen Wright,9.6
Rex Chapman,9.6
Avery Johnson,9.59
Rodney Rogers,9.59
Robert Horry,9.57
Vinny Del Negro,9.57
Muggsy Bogues,9.56
Brooks Thompson,9.54
George Lynch,9.53
Alan Henderson,9.5
Billy Owens,9.48
James Robinson,9.48
Johnny Newman,9.48
Marty Conlon,9.46
Michael Finley,9.45
Anthony Goldwire,9.43
Armen Gilliam,9.43
Clyde Drexler,9.41
Doug West,9.41
George McCloud,9.4
Steven Smith,9.4
Chris Mills,9.39
Elden Campbell,9.39
Rod Strickland,9.38
Tony Smith,9.38
Anfernee Hardaway,9.37
Latrell Sprewell,9.37
Sasha Danilovic,9.36
Cedric Ceballos,9.3
Walt Williams,9.3
Dale Ellis,9.29
Travis Best,9.29
Kerry Kittles,9.28
B.J. Armstrong,9.26
Antonio McDyess,9.25
Jalen Rose,9.25
Shandon Anderson,9.25
Derek Harper,9.24
Melvin Booker,9.24
Lindsey Hunter,9.23
Dan Majerle,9.22
Mahmoud Abdul-Rauf,9.22
LaPhonso Ellis,9.19
Don MacLean,9.18
P.J. Brown,9.17
Nick Van Exel,9.16
Danny Ferry,9.15
Terrell Brandon,9.15
Dennis Scott,9.13
Eric Williams,9.13
Khalid Reeves,9.13
Olden Polynice,9.13
Allan Houston,9.12
Joe Smith,9.12
Lamond Murray,9.12
Kendall Gill,9.11
Luc Longley,9.11
Shareef Abdur-Rahim,9.11
Allen Iverson,9.1
Cory Alexander,9.1
Kobe Bryant,9.1
Tim Hardaway,9.1
Brent Barry,9.09
Gerald Wilkins,9.09
Jim Jackson,9.09
Stephon Marbury,9.06
Bobby Phills,9.05
Derrick Coleman,9.04
Mark Jackson,9.04
Terry Porter,9.04
Doug Christie,9.03
Sam Cassell,9.03
Derek Strong,9.02
Tyrone Corbin,9.02
Bob Sura,9.01
Sam Mitchell,9.01
Chris Childs,8.98
Dennis Rodman,8.97
Shawn Bradley,8.96
Lucious Harris,8.95
Todd Day,8.95
Tom Gugliotta,8.94
Greg Anthony,8.88
Nick Anderson,8.86
Darrick Martin,8.85
Dino Radja,8.83
Scott Burrell,8.83
Vitaly Potapenko,8.82
Brian Grant,8.79
Dominique Wilkins,8.78
