PLAYER,ESV
Brent Barry,12.72
Rasual Butler,11.88
Shaquille O'Neal,11.69
Fred Hoiberg,11.36
Peja Stojakovic,11.34
Mark Blount,11.32
Reggie Miller,11.03
James Posey,10.99
Antawn Jamison,10.9
Samuel Dalembert,10.84
Kedrick Brown,10.77
Erick Dampier,10.75
Leandro Barbosa,10.75
Brian Cardinal,10.71
Steve Nash,10.69
Nene,10.66
Aaron McKie,10.63
Donyell Marshall,10.53
Charlie Ward,10.5
Carlos Boozer,10.47
Yao Ming,10.47
Walter McCarty,10.45
Antonio Daniels,10.43
Chris Wilcox,10.43
Nazr Mohammed,10.41
Richard Jefferson,10.4
Bobby Jackson,10.39
Brad Miller,10.39
Sam Cassell,10.37
Jim Jackson,10.35
Mike Dunleavy,10.32
Brendan Haywood,10.31
Jamaal Tinsley,10.3
Morris Peterson,10.29
Ray Allen,10.29
Mike Bibby,10.28
Ruben Patterson,10.23
Tayshaun Prince,10.21
Vladimir Radmanovic,10.21
Michael Finley,10.2
Jonathan Bender,10.16
Shane Battier,10.15
Keith Van Horn,10.14
Corliss Williamson,10.11
Kerry Kittles,10.06
Kevin Garnett,10.06
Cuttino Mobley,10.05
Marquis Daniels,10.03
Dirk Nowitzki,10.02
Tim Duncan,10.02
Ricky Davis,10.01
Bruce Bowen,9.99
Doug Christie,9.99
Gary Payton,9.99
Kareem Rush,9.98
Brian Skinner,9.95
Chris Crawford,9.95
Mickael Pietrus,9.95
Mike Miller,9.95
Wesley Person,9.94
Mike James,9.93
Rashard Lewis,9.93
Eddy Curry,9.91
Wally Szczerbiak,9.9
Damon Jones,9.88
Jason Williams,9.88
Rodney White,9.88
Tim Thomas,9.87
Elton Brand,9.86
Kenyon Martin,9.86
Hedo Turkoglu,9.85
Allan Houston,9.84
Tyronn Lue,9.81
Darius Miles,9.79
Jon Barry,9.79
Kyle Korver,9.79
Vitaly Potapenko,9.78
Etan Thomas,9.77
Kwame Brown,9.77
Calbert Cheaney,9.76
Chris Mihm,9.75
Eddie Jones,9.74
Darrell Armstrong,9.72
Jiri Welsch,9.72
Zach Randolph,9.71
Corey Maggette,9.7
Keith Bogans,9.7
Michael Redd,9.69
Pau Gasol,9.69
Chucky Atkins,9.68
Eddie Robinson,9.68
Rafer Alston,9.68
Zydrunas Ilgauskas,9.68
Theo Ratliff,9.67
Gordan Giricek,9.66
Karl Malone,9.66
Vin Baker,9.65
Andrei Kirilenko,9.64
Steve Blake,9.64
Jeff McInnis,9.63
Stephen Jackson,9.63
Tony Parker,9.63
Christian Laettner,9.62
Shareef Abdur-Rahim,9.62
Maurice Taylor,9.61
Mehmet Okur,9.61
Jason Collier,9.6
Voshon Lenard,9.6
Jason Terry,9.59
Marcus Camby,9.59
Rasheed Wallace,9.59
Damon Stoudamire,9.56
Glenn Robinson,9.56
Manu Ginobili,9.56
Desmond Mason,9.55
Dwyane Wade,9.55
Greg Ostertag,9.54
P.J. Brown,9.54
Amar'e Stoudemire,9.53
Matt Harpring,9.52
Al Harrington,9.5
Shawn Marion,9.5
Kurt Thomas,9.49
Jamaal Magloire,9.48
Kirk Hinrich,9.47
Brian Grant,9.46
Antonio McDyess,9.44
Tracy McGrady,9.44
Vlade Divac,9.44
Stromile Swift,9.43
Troy Hudson,9.42
Carlos Arroyo,9.41
Kobe Bryant,9.41
Jason Richardson,9.38
Kenny Thomas,9.38
Rasho Nesterovic,9.38
Toni Kukoc,9.38
Flip Murray,9.34
Rodney Rogers,9.33
Andre Miller,9.31
Devean George,9.31
Joe Johnson,9.31
Stephon Marbury,9.3
Antoine Walker,9.29
Jannero Pargo,9.29
Baron Davis,9.27
Chris Kaman,9.26
Anthony Johnson,9.25
Richard Hamilton,9.25
Gilbert Arenas,9.23
Chris Bosh,9.22
Udonis Haslem,9.22
Chauncey Billups,9.2
George Lynch,9.19
Luke Ridnour,9.19
Lamar Odom,9.17
Raul Lopez,9.16
Earl Boykins,9.11
Metta World Peace,9.1
Quentin Richardson,9.1
Lee Nailon,9.07
Troy Murphy,9.07
Juwan Howard,9.05
Drew Gooden,9.02
Raja Bell,9.01
Vince Carter,9.0
Latrell Sprewell,8.99
Carmelo Anthony,8.98
Jamal Crawford,8.98
Lucious Harris,8.97
Shandon Anderson,8.97
David Wesley,8.96
DerMarr Johnson,8.95
Clifford Robinson,8.94
Kelvin Cato,8.94
Josh Howard,8.93
Marko Jaric,8.93
Slava Medvedenko,8.89
Tony Battie,8.89
Kenny Anderson,8.88
DeShawn Stevenson,8.87
John Salmons,8.87
Jerry Stackhouse,8.85
Rod Strickland,8.85
Bonzi Wells,8.84
Derek Anderson,8.84
Paul Pierce,8.83
Nick Van Exel,8.8
Juan Dixon,8.79
Joe Smith,8.78
LeBron James,8.78
Tony Delk,8.78
Jalen Rose,8.77
Steve Francis,8.77
Lorenzen Wright,8.76
Bob Sura,8.72
Jason Kidd,8.71
Larry Hughes,8.71
Jermaine O'Neal,8.7
Alvin Williams,8.68
Anfernee Hardaway,8.67
Speedy Claxton,8.67
Malik Rose,8.64
Howard Eisley,8.62
Jarvis Hayes,8.62
Derrick Coleman,8.6
Dion Glover,8.58
Marcus Banks,8.58
Willie Green,8.56
Eddie House,8.52
Rick Fox,8.52
Ron Mercer,8.52
Michael Olowokandi,8.5
Ben Wallace,8.49
Sasha Pavlovic,8.48
Scottie Pippen,8.45
Eric Williams,8.36
