PLAYER,ESV
Brandan Wright,13.59
DeAndre Jordan,13.52
Andrew Bogut,12.54
Kyle Korver,12.51
Andre Drummond,12.45
LeBron James,12.21
Mike Miller,12.1
Tyson Chandler,11.93
Dwight Howard,11.88
Anthony Tolliver,11.7
Jose Calderon,11.69
Marco Belinelli,11.57
Amir Johnson,11.55
Kawhi Leonard,11.53
Al Horford,11.41
Patty Mills,11.37
Stephen Curry,11.37
Martell Webster,11.33
Terrence Jones,11.29
Danny Green,11.28
Trevor Ariza,11.27
Goran Dragic,11.21
Kevin Durant,11.2
Drew Gooden,11.19
Boris Diaw,11.18
Amar'e Stoudemire,11.14
Hollis Thompson,11.13
Chris Bosh,11.11
Jodie Meeks,11.11
Nicolas Batum,11.08
Robin Lopez,11.06
Dwyane Wade,11.05
Mirza Teletovic,11.03
Trevor Booker,11.03
Ray Allen,11.02
Andre Iguodala,11.01
Jordan Hill,11.01
Gerald Green,10.95
JJ Redick,10.95
Anthony Morrow,10.94
Chris Douglas-Roberts,10.94
Serge Ibaka,10.94
Dirk Nowitzki,10.93
CJ Miles,10.92
DeMarre Carroll,10.92
Kenneth Faried,10.92
Richard Jefferson,10.91
Lance Stephenson,10.85
Marcin Gortat,10.84
Courtney Lee,10.81
Manu Ginobili,10.81
Nikola Pekovic,10.81
Wesley Matthews,10.81
John Henson,10.77
Channing Frye,10.73
Joe Johnson,10.71
Jon Leuer,10.71
Klay Thompson,10.71
Chandler Parsons,10.7
DeJuan Blair,10.7
Blake Griffin,10.67
Terrence Ross,10.67
Jonas Valanciunas,10.66
Mario Chalmers,10.65
Ryan Anderson,10.65
Jared Dudley,10.63
Josh McRoberts,10.61
Matt Barnes,10.6
Paul Pierce,10.59
James Harden,10.58
Mike Scott,10.57
Michael Beasley,10.56
Tiago Splitter,10.56
Jeremy Evans,10.54
Kyle Singler,10.54
Maurice Harkless,10.54
Spencer Hawes,10.53
Tim Hardaway Jr.,10.53
Kevin Love,10.51
Marvin Williams,10.5
Timofey Mozgov,10.5
Arron Afflalo,10.48
Darren Collison,10.47
David Lee,10.47
Randy Foye,10.47
C.J. Watson,10.45
Derrick Favors,10.45
Anthony Davis,10.44
Marcus Morris,10.44
George Hill,10.43
Shawn Marion,10.43
Deron Williams,10.41
Eric Bledsoe,10.4
Francisco Garcia,10.39
JR Smith,10.36
Jeff Adrien,10.36
Miles Plumlee,10.35
Patrick Patterson,10.35
Corey Brewer,10.34
CJ McCollum,10.33
Nick Young,10.28
Chris Paul,10.26
James Anderson,10.24
Nate Robinson,10.24
Pero Antic,10.24
Tony Parker,10.24
Al Jefferson,10.23
Khris Middleton,10.23
D.J. Augustin,10.22
Kyle Lowry,10.22
Isaiah Thomas,10.2
Jordan Farmar,10.2
Tony Allen,10.2
Luke Babbitt,10.19
Damian Lillard,10.18
Kelly Olynyk,10.18
Mike Dunleavy,10.18
JJ Hickson,10.17
Jeremy Lin,10.16
Chris Kaman,10.15
Markieff Morris,10.15
Patrick Beverley,10.15
Jason Thompson,10.14
Nikola Vucevic,10.14
Nene,10.13
Wesley Johnson,10.13
Greivis Vasquez,10.12
Kyle O'Quinn,10.12
Carmelo Anthony,10.11
Evan Fournier,10.11
Jeremy Lamb,10.1
Jermaine O'Neal,10.07
Chris Johnson,10.06
Mike Conley,10.06
Kris Humphries,10.05
James Johnson,10.04
Wilson Chandler,10.04
Shawne Williams,10.02
Eric Gordon,10.01
Vince Carter,9.99
Kent Bazemore,9.98
Omri Casspi,9.96
Greg Monroe,9.95
DeMarcus Cousins,9.94
Jamal Crawford,9.94
Paul Millsap,9.94
Anderson Varejao,9.91
Kosta Koufos,9.88
Paul George,9.88
Alec Burks,9.86
PJ Tucker,9.85
Enes Kanter,9.83
Jordan Hamilton,9.83
Reggie Jackson,9.82
Andray Blatche,9.81
Steve Blake,9.81
Al Harrington,9.8
E'Twaun Moore,9.79
Caron Butler,9.78
Thabo Sefolosha,9.78
Tim Duncan,9.78
Al-Farouq Aminu,9.77
Alan Anderson,9.77
David West,9.77
Ryan Kelly,9.77
Thaddeus Young,9.77
O.J. Mayo,9.74
Brandon Bass,9.72
Donatas Motiejunas,9.72
Shaun Livingston,9.72
Kendall Marshall,9.71
Kevin Martin,9.71
Aaron Brooks,9.7
Avery Bradley,9.7
Tobias Harris,9.7
Gary Neal,9.66
Jameer Nelson,9.66
Rudy Gay,9.66
Lou Williams,9.65
Taj Gibson,9.65
Pau Gasol,9.64
Russell Westbrook,9.63
Marcus Thornton,9.62
Chase Budinger,9.61
Dion Waiters,9.61
Jrue Holiday,9.61
Kyrie Irving,9.61
Brian Roberts,9.6
Mo Williams,9.59
Bradley Beal,9.58
Henry Sims,9.56
Shelvin Mack,9.55
Tristan Thompson,9.55
Monta Ellis,9.54
Joakim Noah,9.53
Ty Lawson,9.53
Jeff Teague,9.51
Jordan Crawford,9.51
Marc Gasol,9.51
Norris Cole,9.5
Draymond Green,9.49
Michael Kidd-Gilchrist,9.49
Andrea Bargnani,9.47
John Wall,9.47
Luis Scola,9.46
Larry Sanders,9.45
Brandon Knight,9.44
Jeff Green,9.44
Zach Randolph,9.38
Elliot Williams,9.37
Dante Cunningham,9.36
Giannis Antetokounmpo,9.36
Jason Smith,9.29
Jerryd Bayless,9.29
Willie Green,9.29
Luol Deng,9.28
Nate Wolters,9.28
Travis Outlaw,9.27
Andrew Nicholson,9.26
Kirk Hinrich,9.26
Kentavious Caldwell-Pope,9.25
Iman Shumpert,9.24
Xavier Henry,9.24
Victor Oladipo,9.22
Jared Sullinger,9.21
LaMarcus Aldridge,9.2
Jarrett Jack,9.19
Glen Davis,9.17
Carlos Boozer,9.13
Gerald Henderson,9.13
Metta World Peace,9.13
Marreese Speights,9.08
Gordon Hayward,9.07
Tony Wroten,9.07
Derrick Williams,9.06
DeMar DeRozan,9.05
Ramon Sessions,9.05
Tyreke Evans,9.05
Luke Ridnour,9.03
Rodney Stuckey,9.03
Ben McLemore,9.02
Will Bynum,9.02
Evan Turner,9.01
Austin Rivers,9.0
Danny Granger,8.99
Earl Clark,8.99
Harrison Barnes,8.98
Raymond Felton,8.98
Jimmy Butler,8.96
Leandro Barbosa,8.96
John Salmons,8.93
Josh Smith,8.93
Kemba Walker,8.91
Brandon Jennings,8.89
Kevin Garnett,8.89
Trey Burke,8.89
J.J. Barea,8.88
Rajon Rondo,8.83
Devin Harris,8.82
Ersan Ilyasova,8.81
Roy Hibbert,8.78
Michael Carter-Williams,8.62
Zaza Pachulia,8.59
Darrell Arthur,8.58
Quincy Miller,8.57
Tayshaun Prince,8.55
Jeffery Taylor,8.47
Ray McCallum,8.38
Andrew Bynum,8.36
Ricky Rubio,8.29
