PLAYER,ESV
Derek Fisher,8.85
Markieff Morris,8.85
Alexey Shved,8.79
Gerald Green,8.74
Michael Beasley,8.72
Tyler Zeller,8.71
Tyler Hansbrough,8.69
Ramon Sessions,8.66
James Johnson,8.37
Luc Mbah a Moute,8.37
Austin Rivers,8.22
Linas Kleiza,8.18
Marquis Daniels,8.17
Hakim Warrick,8.13
Ricky Rubio,7.73
Tyrus Thomas,7.32
