PLAYER,ESV
Shaquille O'Neal,12.2
Matt Bonner,12.13
Steve Novak,12.12
Nene,12.07
Eddie House,11.7
Bobby Simmons,11.65
Kendrick Perkins,11.61
Troy Murphy,11.61
Jameer Nelson,11.6
Andris Biedrins,11.57
Andrew Bogut,11.56
Carl Landry,11.53
Ray Allen,11.48
Dwight Howard,11.45
Nick Collison,11.39
Pau Gasol,11.33
Jose Calderon,11.3
Greg Oden,11.29
Steve Nash,11.29
Anthony Morrow,11.27
Craig Smith,11.26
Tyson Chandler,11.25
Emeka Okafor,11.24
Andrew Bynum,11.2
Mike Miller,11.19
Rudy Fernandez,11.07
David Lee,11.01
Mo Williams,11.0
Boris Diaw,10.99
Yao Ming,10.97
Jason Richardson,10.91
JR Smith,10.87
Shane Battier,10.86
Leandro Barbosa,10.85
Amar'e Stoudemire,10.84
Jamario Moon,10.82
Maurice Evans,10.82
Steve Blake,10.82
Grant Hill,10.81
Rashard Lewis,10.79
Vladimir Radmanovic,10.77
Wally Szczerbiak,10.76
Paul Millsap,10.75
Anderson Varejao,10.74
Jason Terry,10.72
Mehmet Okur,10.72
Michael Finley,10.68
Luis Scola,10.67
Darius Songaila,10.66
Brook Lopez,10.65
Eric Gordon,10.65
Kevin Garnett,10.65
LeBron James,10.64
Marco Belinelli,10.64
Kyle Korver,10.63
Courtney Lee,10.61
Marc Gasol,10.61
Delonte West,10.6
Jarvis Hayes,10.57
John Salmons,10.57
Brandan Wright,10.56
Chris Kaman,10.56
Chris Paul,10.56
Tim Thomas,10.55
Roger Mason Jr.,10.53
Al Horford,10.52
Manu Ginobili,10.52
Ronnie Brewer,10.52
Jason Kidd,10.5
Kirk Hinrich,10.5
Rasual Butler,10.5
James Posey,10.48
D.J. Augustin,10.46
Thaddeus Young,10.46
Keyon Dooling,10.45
Raja Bell,10.45
Ben Gordon,10.43
Kelenna Azubuike,10.4
Michael Redd,10.39
Mike Bibby,10.39
CJ Miles,10.38
Danny Granger,10.38
Udonis Haslem,10.37
Dwyane Wade,10.36
Chris Duhon,10.33
Lamar Odom,10.33
Rasho Nesterovic,10.3
Andrea Bargnani,10.29
Andres Nocioni,10.29
Jason Kapono,10.29
Marcus Camby,10.29
Brandon Roy,10.28
Rajon Rondo,10.28
Rodney Carney,10.28
Trevor Ariza,10.28
Derek Fisher,10.27
Linas Kleiza,10.27
Tony Parker,10.27
Matt Barnes,10.24
Von Wafer,10.23
Kevin Durant,10.21
Mario Chalmers,10.2
Al Harrington,10.19
Antonio McDyess,10.19
Francisco Garcia,10.19
Mickael Pietrus,10.18
Andre Iguodala,10.17
Josh Smith,10.17
Marreese Speights,10.17
Paul Pierce,10.17
Travis Outlaw,10.15
Antawn Jamison,10.14
Deron Williams,10.14
C.J. Watson,10.11
Flip Murray,10.11
Marvin Williams,10.11
Mike Conley,10.1
Tim Duncan,10.1
Gerald Wallace,10.07
Charlie Bell,10.06
Brandon Bass,10.05
Chauncey Billups,10.04
Kobe Bryant,10.04
Jason Thompson,10.02
Nate Robinson,10.01
Peja Stojakovic,10.0
Al Jefferson,9.98
Jarrett Jack,9.98
Kenyon Martin,9.97
Samuel Dalembert,9.97
Daequan Cook,9.96
Hakim Warrick,9.96
Rasheed Wallace,9.96
Dirk Nowitzki,9.95
Chris Wilcox,9.94
Fred Jones,9.92
Daniel Gibson,9.91
O.J. Mayo,9.91
Brad Miller,9.9
Zach Randolph,9.88
J.J. Barea,9.87
Tony Allen,9.87
Brandon Rush,9.86
Vince Carter,9.86
Chris Bosh,9.85
Spencer Hawes,9.84
Jeff Green,9.83
Anthony Parker,9.82
Kevin Martin,9.82
Joe Johnson,9.81
Carlos Boozer,9.8
JaVale McGee,9.8
Joey Graham,9.8
Ryan Gomes,9.8
Beno Udrih,9.79
Shawn Marion,9.79
Josh Howard,9.78
Michael Beasley,9.78
Sasha Vujacic,9.78
Charlie Villanueva,9.75
Richard Jefferson,9.75
Rudy Gay,9.75
LaMarcus Aldridge,9.73
Keith Bogans,9.72
Zydrunas Ilgauskas,9.72
Quentin Richardson,9.69
Aaron Brooks,9.68
Caron Butler,9.68
Andre Miller,9.67
Nick Young,9.67
Derrick Rose,9.66
Wilson Chandler,9.66
Corey Maggette,9.64
Jamal Crawford,9.64
Hedo Turkoglu,9.61
Richard Hamilton,9.61
Ryan Anderson,9.6
Andray Blatche,9.57
Tayshaun Prince,9.56
Willie Green,9.55
David West,9.52
Metta World Peace,9.5
Gerald Green,9.49
Joe Smith,9.49
Jermaine O'Neal,9.48
Drew Gooden,9.44
T.J. Ford,9.44
Anthony Roberson,9.43
Roy Hibbert,9.42
Carmelo Anthony,9.41
Larry Hughes,9.39
Antoine Wright,9.38
Devin Harris,9.38
Nenad Krstic,9.38
Bobby Brown,9.36
Stephen Jackson,9.36
Marquis Daniels,9.34
Kyle Lowry,9.32
Andrei Kirilenko,9.31
Kevin Love,9.31
Randy Foye,9.29
Will Bynum,9.28
Anthony Randolph,9.27
Luc Mbah a Moute,9.27
Luke Walton,9.27
Bobby Jackson,9.26
Monta Ellis,9.23
Thabo Sefolosha,9.19
Rashad McCants,9.16
Al Thornton,9.14
Luol Deng,9.13
Mardy Collins,9.12
Tyrus Thomas,9.12
Rafer Alston,9.09
Rodney Stuckey,9.08
Mike James,8.99
Jordan Farmar,8.98
Luke Ridnour,8.97
Stephen Graham,8.97
Ramon Sessions,8.95
Elton Brand,8.92
Glen Davis,8.86
Darrell Arthur,8.81
George Hill,8.81
Mike Taylor,8.8
Juan Dixon,8.79
Sebastian Telfair,8.79
Raymond Felton,8.75
Lou Williams,8.72
Allen Iverson,8.69
Yi Jianlian,8.69
Tracy McGrady,8.63
Desmond Mason,8.62
Damien Wilkins,8.58
Baron Davis,8.47
Russell Westbrook,8.3
Ricky Davis,8.29
Earl Watson,8.13
Devin Brown,7.98
DeShawn Stevenson,7.74
Stephon Marbury,7.34
