PLAYER,ESV
DeAndre Jordan,14.19
Troy Daniels,13.02
Stephen Curry,12.66
Dwight Howard,12.37
Steven Adams,12.24
Hassan Whiteside,12.14
James Ennis III,12.14
Amir Johnson,12.0
JJ Redick,11.91
Ian Mahinmi,11.85
Tristan Thompson,11.8
Seth Curry,11.77
Enes Kanter,11.67
Jared Dudley,11.66
Clint Capela,11.6
Omri Casspi,11.48
Chandler Parsons,11.47
Kevin Durant,11.44
Klay Thompson,11.41
Channing Frye,11.37
Marcin Gortat,11.34
Kawhi Leonard,11.32
Willie Cauley-Stein,11.32
Jonas Valanciunas,11.3
Carl Landry,11.29
John Henson,11.29
Kyle Korver,11.24
Rudy Gobert,11.22
Boris Diaw,11.18
Josh Richardson,11.17
Andre Iguodala,11.16
Kenneth Faried,11.16
Marvin Williams,11.14
Jose Calderon,11.12
Karl-Anthony Towns,11.1
LeBron James,11.04
Draymond Green,11.02
Evan Fournier,11.01
David West,11.0
Meyers Leonard,11.0
Nene,10.99
Al Horford,10.93
Mike Scott,10.93
Tyler Johnson,10.92
Mirza Teletovic,10.9
Otto Porter Jr.,10.88
Allen Crabbe,10.87
Darren Collison,10.87
E'Twaun Moore,10.87
Festus Ezeli,10.87
Terrence Ross,10.83
Robin Lopez,10.82
Andrew Nicholson,10.78
Doug McDermott,10.78
Patrick Beverley,10.76
Gary Harris,10.75
Jerryd Bayless,10.73
Gorgui Dieng,10.72
JR Smith,10.71
Nikola Jokic,10.71
T.J. Warren,10.71
Manu Ginobili,10.69
Kosta Koufos,10.66
Anthony Morrow,10.65
David Lee,10.65
Gary Neal,10.65
Harrison Barnes,10.63
Jason Terry,10.6
Cody Zeller,10.59
Michael Beasley,10.58
Taj Gibson,10.58
Sean Kilpatrick,10.57
Tim Hardaway Jr.,10.57
George Hill,10.56
Joffrey Lauvergne,10.55
Devin Harris,10.54
Kelly Olynyk,10.54
Patty Mills,10.53
Trevor Ariza,10.52
CJ Miles,10.49
Nikola Mirotic,10.49
Greg Monroe,10.46
Patrick Patterson,10.46
Jon Leuer,10.44
Maurice Harkless,10.44
Bojan Bogdanovic,10.43
Eric Gordon,10.43
Nerlens Noel,10.43
Andre Drummond,10.42
Giannis Antetokounmpo,10.42
Mario Hezonja,10.42
Avery Bradley,10.4
Mason Plumlee,10.4
Chris Bosh,10.39
Jae Crowder,10.39
Courtney Lee,10.38
Thaddeus Young,10.38
Chris Paul,10.37
D.J. Augustin,10.37
Derrick Favors,10.37
Kent Bazemore,10.36
Leandro Barbosa,10.36
CJ McCollum,10.35
Mike Dunleavy,10.35
Zach LaVine,10.35
Bradley Beal,10.34
Dante Cunningham,10.34
J.J. Barea,10.34
Kyle Lowry,10.33
Norman Powell,10.33
Raul Neto,10.3
Aaron Gordon,10.29
Luol Deng,10.29
Tobias Harris,10.28
Goran Dragic,10.26
Serge Ibaka,10.26
Tony Parker,10.26
Brook Lopez,10.25
James Harden,10.24
Nikola Vucevic,10.23
Joe Johnson,10.22
Lance Stephenson,10.22
Hollis Thompson,10.21
Jahlil Okafor,10.2
LaMarcus Aldridge,10.2
T.J. McConnell,10.2
Anthony Davis,10.18
Trevor Booker,10.17
Luis Scola,10.16
Jordan Hill,10.15
Khris Middleton,10.15
Toney Douglas,10.15
Nicolas Batum,10.14
Ronnie Price,10.13
Jeremy Lamb,10.11
Al-Farouq Aminu,10.1
Dirk Nowitzki,10.1
Lance Thomas,10.1
Robert Covington,10.1
Rodney Hood,10.09
Blake Griffin,10.08
Ramon Sessions,10.07
Ben McLemore,10.06
Shabazz Muhammad,10.06
Austin Rivers,10.05
Paul Millsap,10.05
Arron Afflalo,10.04
Matthew Dellavedova,10.04
Darrell Arthur,10.02
Eric Bledsoe,10.02
Rudy Gay,10.01
Ryan Anderson,10.0
Myles Turner,9.99
Damian Lillard,9.98
Ersan Ilyasova,9.98
Wesley Matthews,9.98
Kevin Love,9.96
Trey Lyles,9.96
Jabari Parker,9.95
Kyrie Irving,9.93
Mo Williams,9.9
Jeff Teague,9.89
Kemba Walker,9.89
Wesley Johnson,9.89
Donald Sloan,9.88
Gordon Hayward,9.87
Rajon Rondo,9.87
Luke Babbitt,9.86
Derrick Williams,9.83
Marcus Morris,9.83
Will Barton,9.83
Victor Oladipo,9.82
Garrett Temple,9.79
Isaiah Thomas,9.79
Paul George,9.79
Russell Westbrook,9.79
Tim Duncan,9.79
Marcus Thornton,9.76
Shelvin Mack,9.76
Jimmy Butler,9.74
Trey Burke,9.74
Gerald Henderson,9.73
Jason Smith,9.73
Lou Williams,9.72
Al Jefferson,9.71
Tyreke Evans,9.71
