PLAYER,ESV
Brent Barry,12.76
Andrew Bynum,12.72
Tyson Chandler,12.47
Andris Biedrins,12.46
Carl Landry,12.41
Dwight Howard,12.05
Steve Nash,11.96
Mike Miller,11.93
Amar'e Stoudemire,11.88
Josh Childress,11.82
Shaquille O'Neal,11.81
JR Smith,11.68
Sasha Vujacic,11.65
Mikki Moore,11.61
Damon Jones,11.56
James Jones,11.55
Jose Calderon,11.48
Ronnie Brewer,11.46
Craig Smith,11.44
Daniel Gibson,11.33
Marcus Banks,11.3
Vladimir Radmanovic,11.29
Anthony Parker,11.17
Rashard Lewis,11.14
Maurice Evans,11.13
Jordan Farmar,11.07
Roger Mason Jr.,11.06
David Lee,11.05
Rasho Nesterovic,11.05
Jason Kapono,11.04
Peja Stojakovic,11.04
Mike Dunleavy,11.03
Shawn Marion,10.99
Josh Boone,10.96
Andrei Kirilenko,10.93
Carlos Boozer,10.93
Deron Williams,10.93
Linas Kleiza,10.92
Eddy Curry,10.91
Leandro Barbosa,10.91
James Posey,10.9
Thaddeus Young,10.9
Lamar Odom,10.86
Kyle Korver,10.85
Shane Battier,10.84
Kevin Garnett,10.82
Manu Ginobili,10.82
Francisco Garcia,10.81
Kenyon Martin,10.8
Ray Allen,10.8
Raja Bell,10.77
Jason Maxiell,10.76
Pau Gasol,10.76
Monta Ellis,10.75
Jason Terry,10.72
Keith Bogans,10.72
Emeka Okafor,10.69
Tyronn Lue,10.69
Mo Williams,10.64
Morris Peterson,10.6
Paul Pierce,10.6
Rashad McCants,10.6
Mickael Pietrus,10.56
Brendan Haywood,10.54
Jameer Nelson,10.54
Chauncey Billups,10.53
Eddie House,10.52
Grant Hill,10.52
Hedo Turkoglu,10.52
Chris Paul,10.51
Chris Wilcox,10.51
Jason Richardson,10.49
Jamario Moon,10.46
Kirk Snyder,10.46
Matt Carroll,10.44
Troy Murphy,10.44
Martell Webster,10.43
Al Harrington,10.38
Bruce Bowen,10.37
LeBron James,10.36
Richard Hamilton,10.35
Danny Granger,10.33
Chris Quinn,10.32
Luis Scola,10.32
Nazr Mohammed,10.32
Luther Head,10.3
Rudy Gay,10.3
Kevin Martin,10.29
Mehmet Okur,10.29
Carmelo Anthony,10.28
Samuel Dalembert,10.28
Derek Fisher,10.24
Fred Jones,10.23
Gordan Giricek,10.23
Hakim Warrick,10.2
Andrew Bogut,10.19
Devin Harris,10.19
Dirk Nowitzki,10.19
Anthony Carter,10.18
Steve Blake,10.17
Yao Ming,10.17
Juan Carlos Navarro,10.16
Paul Millsap,10.16
Kelenna Azubuike,10.14
Jarvis Hayes,10.12
Kobe Bryant,10.11
Andres Nocioni,10.1
Beno Udrih,10.1
Anthony Johnson,10.09
Nick Collison,10.09
Michael Finley,10.06
Ricky Davis,10.06
Caron Butler,10.05
Al Jefferson,10.04
Ime Udoka,10.04
Al Horford,10.03
Ben Gordon,10.03
John Salmons,10.03
