PLAYER,ESV
DeAndre Jordan,14.23
Kyle Korver,13.42
Tyson Chandler,13.35
Hassan Whiteside,12.56
Rudy Gobert,12.23
Ed Davis,12.06
James Johnson,11.98
Stephen Curry,11.95
Dwight Howard,11.88
Amir Johnson,11.8
JJ Redick,11.69
Kevin Durant,11.57
DeMarre Carroll,11.56
Anthony Morrow,11.55
Mason Plumlee,11.53
Jonas Valanciunas,11.45
John Henson,11.36
Marcin Gortat,11.36
Danny Green,11.34
Jason Terry,11.31
Andrew Bogut,11.25
Wesley Matthews,11.24
Anderson Varejao,11.19
Tiago Splitter,11.18
Klay Thompson,11.16
Timofey Mozgov,11.16
Jared Dudley,11.15
Amar'e Stoudemire,11.1
Matt Barnes,11.07
Terrence Jones,11.07
Alexis Ajinca,11.02
Tyler Zeller,10.99
Harrison Barnes,10.98
Mike Dunleavy,10.98
Patrick Patterson,10.98
Goran Dragic,10.92
Steven Adams,10.92
Tristan Thompson,10.92
Anthony Tolliver,10.91
Chris Paul,10.91
Al Horford,10.86
Andre Iguodala,10.85
George Hill,10.84
Chandler Parsons,10.82
T.J. Warren,10.82
Leandro Barbosa,10.81
Ersan Ilyasova,10.8
Donatas Motiejunas,10.78
Robin Lopez,10.76
Anthony Davis,10.75
Paul Pierce,10.74
Mitch McGary,10.72
Alan Anderson,10.69
Kelly Olynyk,10.69
LeBron James,10.68
Tony Snell,10.68
Channing Frye,10.67
Bojan Bogdanovic,10.66
Kyrie Irving,10.62
Darren Collison,10.61
Khris Middleton,10.61
Omri Casspi,10.6
JR Smith,10.56
Enes Kanter,10.55
Quincy Pondexter,10.55
Cory Joseph,10.54
Charlie Villanueva,10.51
Derrick Favors,10.49
Nikola Vucevic,10.49
Serge Ibaka,10.48
Ben McLemore,10.47
C.J. Watson,10.46
Kawhi Leonard,10.44
Marvin Williams,10.42
Mike Scott,10.42
Trevor Booker,10.42
Jonas Jerebko,10.4
Luol Deng,10.4
Courtney Lee,10.39
Marco Belinelli,10.37
Hollis Thompson,10.36
Beno Udrih,10.35
Paul Millsap,10.35
Evan Fournier,10.34
Caron Butler,10.32
Andre Drummond,10.31
Omer Asik,10.31
Chris Kaman,10.3
Shabazz Muhammad,10.3
CJ McCollum,10.29
Draymond Green,10.29
Kevin Seraphin,10.29
Rasual Butler,10.29
Tim Duncan,10.29
Carl Landry,10.28
David Lee,10.28
Devin Harris,10.28
Shawne Williams,10.27
Tobias Harris,10.27
Eric Gordon,10.26
James Harden,10.24
PJ Tucker,10.24
Brandon Bass,10.23
Brook Lopez,10.23
Kenneth Faried,10.22
Marcus Morris,10.22
Terrence Ross,10.21
Isaiah Canaan,10.19
Gorgui Dieng,10.18
Kevin Love,10.18
Mike Conley,10.18
Tony Parker,10.18
Trevor Ariza,10.18
Robert Covington,10.17
Alex Len,10.16
Ben Gordon,10.16
Blake Griffin,10.15
Damian Lillard,10.14
Gerald Green,10.14
Nene,10.14
