PLAYER,ESV
Tyson Chandler,13.69
Steve Novak,13.61
DeAndre Jordan,12.63
Manu Ginobili,12.38
Tiago Splitter,12.38
Brandon Rush,12.2
Matt Bonner,11.85
Amir Johnson,11.72
Kenneth Faried,11.72
Stephen Curry,11.64
James Harden,11.63
Steve Nash,11.62
Dwight Howard,11.56
Kyle Korver,11.49
Raja Bell,11.38
Ray Allen,11.31
Mike Miller,11.3
Nikola Pekovic,11.29
Willie Green,11.28
Andrew Bynum,11.16
Danny Green,11.14
Marcin Gortat,11.14
Mike Dunleavy,11.14
Jordan Farmar,11.13
JaVale McGee,11.12
Gerald Green,11.1
LeBron James,11.08
Blake Griffin,11.05
Mario Chalmers,11.02
Jared Dudley,10.98
Ryan Anderson,10.98
Kawhi Leonard,10.94
Kevin Durant,10.92
Chase Budinger,10.9
Serge Ibaka,10.77
Avery Bradley,10.76
Ersan Ilyasova,10.75
Nene,10.75
Ty Lawson,10.75
Jason Thompson,10.74
Richard Jefferson,10.72
Arron Afflalo,10.69
DeJuan Blair,10.68
Nicolas Batum,10.68
Rudy Fernandez,10.66
Carlos Boozer,10.65
Emeka Okafor,10.65
Trevor Booker,10.65
Kevin Seraphin,10.62
Dorell Wright,10.55
Jannero Pargo,10.55
Klay Thompson,10.54
Roger Mason Jr.,10.54
Isaiah Thomas,10.5
Ivan Johnson,10.5
JJ Redick,10.47
Joe Johnson,10.46
Chris Paul,10.44
Derrick Brown,10.44
Devin Harris,10.43
Greg Monroe,10.43
Jason Smith,10.43
Kyrie Irving,10.42
Gary Neal,10.39
Goran Dragic,10.37
Andre Iguodala,10.35
Jose Calderon,10.35
George Hill,10.32
Jason Terry,10.31
Luc Mbah a Moute,10.31
Jeff Teague,10.29
Ed Davis,10.28
Jerryd Bayless,10.27
LaMarcus Aldridge,10.27
Anthony Parker,10.25
Al Harrington,10.24
Courtney Lee,10.24
Matt Barnes,10.24
Anderson Varejao,10.22
Jodie Meeks,10.21
Joakim Noah,10.2
Paul George,10.18
Chandler Parsons,10.16
Jason Kidd,10.16
Samuel Dalembert,10.16
Thaddeus Young,10.16
Daequan Cook,10.15
Carl Landry,10.14
Dwyane Wade,10.14
Marcus Thornton,10.12
Pau Gasol,10.12
Hedo Turkoglu,10.11
Jonas Jerebko,10.1
Kevin Garnett,10.1
Mo Williams,10.09
Gordon Hayward,10.07
David Lee,10.06
Mickael Pietrus,10.06
Delonte West,10.05
Von Wafer,10.05
Ben Gordon,10.04
Derrick Favors,9.98
Kevin Love,9.98
JR Smith,9.97
Jameer Nelson,9.97
Paul Pierce,9.97
Zaza Pachulia,9.97
Paul Millsap,9.96
Roy Hibbert,9.96
Henry Walker,9.95
Marco Belinelli,9.95
Randy Foye,9.95
Wesley Matthews,9.95
Anthony Morrow,9.92
