PLAYER,ESV
Rudy Gobert,13.43
Clint Capela,12.96
Thomas Bryant,12.94
DeAndre Jordan,12.84
Dwight Powell,12.71
JaVale McGee,12.58
Danny Green,12.53
Joe Harris,12.45
Montrezl Harrell,12.38
Davis Bertans,12.35
Danuel House Jr.,12.29
Kenneth Faried,12.16
Stephen Curry,12.16
Richaun Holmes,12.12
Giannis Antetokounmpo,12.02
Mason Plumlee,12.02
Jarrett Allen,11.99
Domantas Sabonis,11.96
Derrick Favors,11.95
Doug McDermott,11.93
Steven Adams,11.92
John Collins,11.85
Pascal Siakam,11.85
Bam Adebayo,11.78
Deandre Ayton,11.76
Al Horford,11.7
Malik Beasley,11.7
Jahlil Okafor,11.67
Landry Shamet,11.61
Seth Curry,11.61
Taj Gibson,11.54
Malcolm Brogdon,11.51
Robin Lopez,11.51
Bojan Bogdanovic,11.5
Luol Deng,11.47
Karl-Anthony Towns,11.46
Bryn Forbes,11.44
D.J. Augustin,11.42
Jake Layman,11.42
Brook Lopez,11.41
Kevin Durant,11.41
Norman Powell,11.41
Dewayne Dedmon,11.4
Hassan Whiteside,11.4
Jonas Valanciunas,11.4
Tony Snell,11.37
Joe Ingles,11.36
Jerami Grant,11.33
James Ennis III,11.3
Kelly Olynyk,11.29
Nemanja Bjelica,11.29
Ben Simmons,11.25
Kyle Anderson,11.22
Buddy Hield,11.21
Ivica Zubac,11.21
Monte Morris,11.21
Quinn Cook,11.21
Cody Zeller,11.2
LeBron James,11.2
Kyle Korver,11.19
JaMychal Green,11.15
Jeff Green,11.15
Willie Cauley-Stein,11.15
Kyrie Irving,11.14
Serge Ibaka,11.14
Thaddeus Young,11.14
JJ Redick,11.13
Pat Connaughton,11.13
Sterling Brown,11.13
Rudy Gay,11.11
Danilo Gallinari,11.1
Nicolas Batum,11.1
Enes Kanter,11.09
Julius Randle,11.09
Larry Nance Jr.,11.07
Klay Thompson,11.06
Maxi Kleber,11.06
Terrance Ferguson,11.06
Wayne Ellington,11.06
Vince Carter,11.04
Alex Len,11.03
Troy Daniels,11.03
Tobias Harris,11.02
Ante Zizic,11.01
T.J. Warren,11.01
E'Twaun Moore,11.0
Nikola Vucevic,11.0
Willy Hernangomez,10.98
Taurean Prince,10.97
Christian Wood,10.96
Dwayne Bacon,10.96
Jaren Jackson Jr.,10.96
Nikola Mirotic,10.96
Patty Mills,10.96
Eric Bledsoe,10.94
Frank Kaminsky,10.94
Tomas Satoransky,10.92
Kawhi Leonard,10.91
Nikola Jokic,10.91
Otto Porter Jr.,10.91
Robert Covington,10.9
Luke Kennard,10.87
Ryan Arcidiacono,10.87
Derrick Jones Jr.,10.83
T.J. McConnell,10.83
James Harden,10.82
Anthony Davis,10.81
Bradley Beal,10.81
Justin Jackson,10.8
Andre Drummond,10.79
Reggie Bullock,10.77
Terrence Ross,10.77
Bruno Caboclo,10.74
PJ Tucker,10.74
Gerald Green,10.72
Miles Bridges,10.72
Marcus Morris,10.71
Myles Turner,10.7
Jabari Parker,10.68
Blake Griffin,10.65
Marcus Smart,10.65
Kentavious Caldwell-Pope,10.64
OG Anunoby,10.64
Dion Waiters,10.6
Tristan Thompson,10.59
David Nwaba,10.58
Maurice Harkless,10.58
Paul George,10.58
Darius Miller,10.57
Darren Collison,10.57
Marvin Williams,10.57
Paul Millsap,10.57
Gordon Hayward,10.54
Mike Scott,10.54
Mo Bamba,10.54
CJ McCollum,10.53
Eric Gordon,10.5
Marco Belinelli,10.5
Patrick Beverley,10.5
Jaylen Brown,10.49
Kevin Huerter,10.49
Marvin Bagley III,10.48
Mike Muscala,10.48
Wilson Chandler,10.48
Derrick White,10.47
Noah Vonleh,10.46
Torrey Craig,10.46
LaMarcus Aldridge,10.45
Damian Lillard,10.44
Devin Booker,10.44
Jalen Brunson,10.44
Lance Stephenson,10.44
Mikal Bridges,10.44
Jrue Holiday,10.43
Zach LaVine,10.42
Joakim Noah,10.41
Dario Saric,10.4
Derrick Rose,10.39
Khris Middleton,10.39
Kyle Lowry,10.38
Joel Embiid,10.37
Ersan Ilyasova,10.35
Brandon Ingram,10.34
George Hill,10.34
Spencer Dinwiddie,10.34
DeMarcus Cousins,10.33
Kyle Kuzma,10.32
Rodions Kurucs,10.32
Zach Collins,10.32
Al-Farouq Aminu,10.31
Garrett Temple,10.3
Yogi Ferrell,10.3
Kemba Walker,10.28
Shai Gilgeous-Alexander,10.27
Alex Caruso,10.25
D'Angelo Russell,10.22
Jordan McRae,10.22
Jusuf Nurkic,10.22
Evan Fournier,10.21
