PLAYER,ESV
Brent Price,11.89
Dell Curry,11.72
Chris Mullin,11.62
Shaquille O'Neal,11.54
Lawrence Funderburke,11.27
Dale Ellis,11.22
Dana Barros,10.99
George McCloud,10.98
Danny Ferry,10.97
Jud Buechler,10.97
Otis Thorpe,10.97
Terry Porter,10.95
Wesley Person,10.94
Bo Outlaw,10.9
Sam Mack,10.89
Joe Dumars,10.88
Michael Dickerson,10.83
Mitchell Butler,10.76
Clar. Weatherspoon,10.68
Mario Elie,10.68
Dale Davis,10.64
Rasheed Wallace,10.56
Greg Anthony,10.48
Clifford Robinson,10.46
Walt Williams,10.44
Bryon Russell,10.43
Jeff Hornacek,10.43
Reggie Miller,10.42
Hubert Davis,10.39
Marcus Camby,10.39
Dee Brown,10.37
Tony Battie,10.32
Eric Piatkowski,10.31
Hakeem Olajuwon,10.31
Alonzo Mourning,10.29
John Stockton,10.28
Othella Harrington,10.26
Dikembe Mutombo,10.23
Darrell Armstrong,10.21
David Robinson,10.19
Paul Pierce,10.18
Rick Fox,10.16
Ray Allen,10.15
Dan Majerle,10.12
Glen Rice,10.08
Tim Thomas,10.07
David Wesley,10.06
Chuck Person,10.05
Detlef Schrempf,10.03
Andrew DeClercq,10.02
Bison Dele,10.01
Bobby Phills,10.01
Eric Washington,9.99
Jerome Williams,9.99
Danny Fortson,9.98
Larry Johnson,9.94
Tyrone Nesby,9.92
Vitaly Potapenko,9.92
Scottie Pippen,9.9
Lindsey Hunter,9.89
Tim Duncan,9.89
Arvydas Sabonis,9.88
Chris Childs,9.88
Dennis Scott,9.88
Karl Malone,9.88
Jaren Jackson,9.82
Rik Smits,9.82
Chucky Brown,9.8
Derek Harper,9.79
Chris Webber,9.78
Corliss Williamson,9.78
Danny Manning,9.78
Howard Eisley,9.78
Tony Massenburg,9.77
Johnny Taylor,9.74
Charlie Ward,9.73
Hersey Hawkins,9.73
Charles Barkley,9.72
Tom Gugliotta,9.71
Mark Bryant,9.7
Vernon Maxwell,9.69
Cuttino Mobley,9.68
Luc Longley,9.66
Vlade Divac,9.66
Shawn Kemp,9.65
Grant Hill,9.64
Gary Payton,9.63
Kobe Bryant,9.63
Matt Geiger,9.62
Haywoode Workman,9.6
P.J. Brown,9.6
