PLAYER,ESV
Dale Ellis,11.76
Shaquille O'Neal,11.71
Matt Bullard,11.41
John Stockton,11.36
Wesley Person,11.26
Bo Outlaw,11.18
Reggie Miller,11.16
Chris Mullin,11.14
Eric Piatkowski,11.11
Eddie Jones,11.1
Dan Majerle,11.06
Alonzo Mourning,11.04
Dale Davis,10.99
Tim Duncan,10.99
Shandon Anderson,10.9
Steve Kerr,10.88
Vin Baker,10.87
Dana Barros,10.84
Hersey Hawkins,10.8
Mark Strickland,10.8
Greg Anthony,10.79
Adam Keefe,10.77
Charlie Ward,10.77
Dikembe Mutombo,10.75
Antonio McDyess,10.72
Ervin Johnson,10.71
Dee Brown,10.7
Rasheed Wallace,10.68
Terry Porter,10.67
Eldridge Recasner,10.64
Karl Malone,10.63
Rick Fox,10.59
Steve Nash,10.59
Dell Curry,10.58
Tracy Murray,10.58
Bryant Reeves,10.51
Hubert Davis,10.5
Anthony Peeler,10.42
Detlef Schrempf,10.4
Jeff Hornacek,10.38
Zydrunas Ilgauskas,10.38
Cedric Ceballos,10.34
Danny Manning,10.3
Jalen Rose,10.3
Voshon Lenard,10.3
Joe Dumars,10.28
Sam Mack,10.28
Theo Ratliff,10.27
Matt Maloney,10.25
Anthony Mason,10.23
David Robinson,10.23
Sam Perkins,10.23
Bison Dele,10.21
Brent Barry,10.21
Mario Elie,10.21
Sherman Douglas,10.21
Arvydas Sabonis,10.19
Kevin Willis,10.17
Brian Grant,10.16
Matt Geiger,10.16
Nick Anderson,10.15
Lamond Murray,10.14
Chris Webber,10.13
Glen Rice,10.13
Patrick Ewing,10.13
Cory Alexander,10.1
Tom Gugliotta,10.09
George Lynch,10.08
Gary Payton,10.07
Shawn Respert,10.05
Nick Van Exel,10.04
Scott Burrell,10.03
Jayson Williams,10.01
Robert Horry,10.01
Mitch Richmond,10.0
Bryon Russell,9.99
Cherokee Parks,9.99
Vlade Divac,9.99
Charles Barkley,9.98
Tyrone Hill,9.95
Howard Eisley,9.94
Lawrence Funderburke,9.93
Rik Smits,9.93
Rodney Rogers,9.9
Corliss Williamson,9.89
Larry Johnson,9.89
Toni Kukoc,9.88
Clifford Robinson,9.86
Kerry Kittles,9.86
George McCloud,9.85
Shareef Abdur-Rahim,9.85
Stanley Roberts,9.85
Kevin Garnett,9.84
Rex Chapman,9.83
Tim Hardaway,9.83
Bobby Phills,9.82
