PLAYER,ESV
Henry Walker,12.53
Nicolas Batum,12.41
Dwight Howard,12.33
Kyle Korver,12.17
Greg Oden,12.09
Daniel Gibson,12.05
Kendrick Perkins,12.05
Mike Miller,11.99
Rodrigue Beaubois,11.81
Nene,11.8
Robin Lopez,11.69
Jared Dudley,11.67
Marc Gasol,11.63
Craig Smith,11.51
Channing Frye,11.5
Anderson Varejao,11.48
Andrew Bynum,11.41
Steve Nash,11.4
Anthony Morrow,11.38
Matt Bonner,11.36
Shaquille O'Neal,11.35
Quentin Richardson,11.29
Brendan Haywood,11.27
Arron Afflalo,11.26
Carlos Boozer,11.25
Ty Lawson,11.25
Amar'e Stoudemire,11.17
Reggie Williams,11.17
DeJuan Blair,11.13
Jason Kidd,11.12
JJ Hickson,11.08
Jason Richardson,11.08
Jason Williams,11.04
Nazr Mohammed,11.04
Toney Douglas,11.03
Ray Allen,11.01
Troy Murphy,11.0
Al Horford,10.99
Matt Barnes,10.98
Anthony Parker,10.96
JJ Redick,10.96
Jarrett Jack,10.92
LeBron James,10.92
David Lee,10.89
Jose Calderon,10.88
Mickael Pietrus,10.87
Wesley Matthews,10.87
Samuel Dalembert,10.85
Beno Udrih,10.84
Dorell Wright,10.84
Rashard Lewis,10.84
Serge Ibaka,10.84
Stephen Curry,10.79
Francisco Garcia,10.78
Paul Millsap,10.77
Ryan Anderson,10.74
Carl Landry,10.73
Mo Williams,10.72
Paul Pierce,10.72
Pau Gasol,10.71
Andrei Kirilenko,10.68
Goran Dragic,10.67
Chris Paul,10.65
George Hill,10.65
Steve Blake,10.63
Emeka Okafor,10.62
Jason Kapono,10.61
Luke Ridnour,10.61
Jermaine O'Neal,10.59
Nate Robinson,10.56
Eric Gordon,10.51
Andrea Bargnani,10.49
Boris Diaw,10.49
Corey Maggette,10.49
Jamal Crawford,10.49
Sergio Rodriguez,10.49
Danilo Gallinari,10.48
Lou Williams,10.48
Chase Budinger,10.46
Marcus Thornton,10.45
Shaun Livingston,10.44
Chris Bosh,10.43
Andrew Bogut,10.41
Jordan Farmar,10.41
Tim Duncan,10.41
Sonny Weems,10.4
Brandon Rush,10.38
O.J. Mayo,10.38
Rajon Rondo,10.36
Maurice Evans,10.35
Kevin Garnett,10.34
Deron Williams,10.31
Luis Scola,10.31
Jarvis Hayes,10.3
Mike Bibby,10.29
Kevin Durant,10.28
Manu Ginobili,10.28
Shawn Marion,10.26
Aaron Brooks,10.25
Jonas Jerebko,10.24
Shane Battier,10.24
Marquis Daniels,10.23
Mehmet Okur,10.23
C.J. Watson,10.21
Juwan Howard,10.21
Omri Casspi,10.21
Brandon Roy,10.2
Gerald Wallace,10.19
Jameer Nelson,10.19
Jason Maxiell,10.19
Tayshaun Prince,10.19
Lamar Odom,10.16
Darren Collison,10.15
David West,10.15
Josh Smith,10.15
Richard Jefferson,10.14
JaVale McGee,10.13
Jrue Holiday,10.12
Joe Johnson,10.1
Martell Webster,10.09
Nenad Krstic,10.09
Jason Terry,10.08
Joakim Noah,10.08
Wayne Ellington,10.08
Carlos Delfino,10.07
Willie Green,10.07
Jeff Green,10.06
Luther Head,10.06
Wilson Chandler,10.06
Al Harrington,10.05
Antawn Jamison,10.05
Peja Stojakovic,10.04
Grant Hill,10.03
DeMar DeRozan,10.02
Chauncey Billups,10.01
Dwyane Wade,10.01
Ryan Gomes,10.01
Thaddeus Young,10.01
Donte Greene,10.0
Al Jefferson,9.99
Charlie Villanueva,9.99
Brook Lopez,9.98
John Salmons,9.98
Danny Granger,9.97
Marco Belinelli,9.97
Morris Peterson,9.97
LaMarcus Aldridge,9.95
Dirk Nowitzki,9.94
Ronnie Brewer,9.94
Rudy Fernandez,9.94
Ersan Ilyasova,9.93
JR Smith,9.93
Keyon Dooling,9.92
Hedo Turkoglu,9.91
J.J. Barea,9.9
Mike Conley,9.9
Taj Gibson,9.9
Tony Parker,9.9
Derrick Rose,9.89
Raymond Felton,9.89
Roy Hibbert,9.89
CJ Miles,9.88
Rudy Gay,9.88
Darius Songaila,9.87
Udonis Haslem,9.87
AJ Price,9.86
Chris Kaman,9.86
Zach Randolph,9.85
Mario Chalmers,9.84
James Harden,9.83
Rasual Butler,9.82
Darko Milicic,9.81
Luc Mbah a Moute,9.8
Antoine Wright,9.78
Thabo Sefolosha,9.78
Kobe Bryant,9.77
Marvin Williams,9.77
Vince Carter,9.77
Andre Iguodala,9.75
Nick Young,9.75
Spencer Hawes,9.75
Andray Blatche,9.74
Anthony Tolliver,9.73
Courtney Lee,9.72
Leandro Barbosa,9.72
Metta World Peace,9.71
Kevin Love,9.69
Andres Nocioni,9.68
Luol Deng,9.66
Al Thornton,9.64
Drew Gooden,9.63
Elton Brand,9.63
Roger Mason Jr.,9.63
Shannon Brown,9.63
Jerry Stackhouse,9.61
Antonio McDyess,9.59
Carlos Arroyo,9.59
Hakim Warrick,9.59
Kirk Hinrich,9.59
Mike Dunleavy,9.58
Carmelo Anthony,9.55
Marreese Speights,9.54
D.J. Augustin,9.53
Delonte West,9.53
Earl Watson,9.53
Marcus Camby,9.53
Monta Ellis,9.53
Corey Brewer,9.49
David Andersen,9.49
Tyreke Evans,9.49
Rasheed Wallace,9.45
Ben Gordon,9.43
Charlie Bell,9.43
Chris Duhon,9.43
Jason Thompson,9.43
Stephen Jackson,9.41
Travis Outlaw,9.41
Kevin Martin,9.38
Randy Foye,9.37
Tyrus Thomas,9.32
Eddie House,9.31
Michael Beasley,9.29
Trevor Ariza,9.29
Kenyon Martin,9.28
Devin Brown,9.25
Gilbert Arenas,9.25
Dahntay Jones,9.23
Brad Miller,9.22
Andre Miller,9.19
Jonny Flynn,9.16
Chris Douglas-Roberts,9.15
Sam Young,9.15
Will Bynum,9.14
Ramon Sessions,9.12
T.J. Ford,9.09
Jodie Meeks,9.07
Zydrunas Ilgauskas,9.07
Derek Fisher,9.05
Anthony Randolph,9.01
Caron Butler,8.99
Earl Boykins,8.99
Baron Davis,8.96
Flip Murray,8.93
Jerryd Bayless,8.9
Glen Davis,8.88
Allen Iverson,8.86
Bobby Simmons,8.86
Kris Humphries,8.86
Kyle Lowry,8.85
Josh Howard,8.78
Richard Hamilton,8.76
Devin Harris,8.75
Brandon Jennings,8.61
Vladimir Radmanovic,8.59
Russell Westbrook,8.56
Terrence Williams,8.52
Tracy McGrady,8.41
Bobby Brown,8.36
Larry Hughes,8.31
Yi Jianlian,8.29
Rodney Stuckey,8.28
Rafer Alston,8.27
Daequan Cook,8.13
Jannero Pargo,7.95
Tyler Hansbrough,7.24
