PLAYER,TEAM,AGE,Restricted Area FGM,Restricted Area FGA,Restricted Area FG PCT,In The Paint (Non-RA) FGM,In The Paint (Non-RA) FGA,In The Paint (Non-RA) FG PCT,Mid-Range FGM,Mid-Range FGA,Mid-Range FG PCT,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG PCT,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG PCT,Corner 3 FGM,Corner 3 FGA,Corner 3 FG PCT,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG PCT
Aaron McKie,LAL,34,0.2,0.2,100,0.1,0.1,100,0.8,1.4,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Aaron Williams,LAC,35,0.4,0.6,73.9,0.2,0.4,40.0,0.2,0.4,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Adam Morrison,CHA,22,0.8,1.5,50.8,0.8,2.0,38.2,1.9,5.3,35.9,0.1,0.2,29.4,0.1,0.3,43.5,0.2,0.5,40.0,0.9,2.8,32.9
Adonal Foyle,GSW,32,0.6,1.0,62.5,0.4,0.7,55.6,0.1,0.2,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Adrian Griffin,CHI,32,0.5,0.9,52.0,0.3,0.5,50.0,0.4,0.9,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.1,0.0
Al Harrington,GSW,27,2.8,5.1,55.3,0.4,1.1,38.8,1.5,3.9,37.4,0.3,0.7,46.0,0.2,0.3,52.0,0.5,1.0,50.0,1.2,2.8,42.3
Al Jefferson,BOS,22,3.7,5.9,62.2,2.0,4.4,45.4,0.9,2.4,36.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Alan Anderson,CHA,24,1.1,1.8,61.3,0.2,0.4,42.9,0.6,1.4,43.5,0.0,0.2,0.0,0.3,0.6,50.0,0.3,0.8,37.5,0.1,0.6,18.2
Alan Henderson,PHI,34,1.0,1.4,71.7,0.2,0.4,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Alexander Johnson,MEM,24,1.2,1.8,64.5,0.2,0.5,42.9,0.2,0.6,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Allan Ray,BOS,23,0.5,1.3,40.3,0.1,0.3,20.0,0.6,1.7,35.2,0.4,1.0,44.1,0.2,0.5,37.5,0.6,1.5,40.0,0.6,1.5,40.9
Allen Iverson,DEN,32,3.3,5.7,58.0,1.4,3.4,41.9,3.3,8.1,40.4,0.1,0.4,21.4,0.0,0.1,12.5,0.1,0.5,20.0,0.8,2.4,34.0
Alonzo Mourning,MIA,37,2.0,2.9,69.2,1.0,2.1,46.6,0.1,0.5,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
